Time (s), esn 0 average surface potential (V), esn 0 ground potential (V), esn 0 min surface potential (V), esn 0 max surface potential (V)
10.442997, -101.98269, -106.54773, -148.11089, -60.092262
20.983475, -339.24533, -335.34036, -450.8859, -238.87816
32.641376, -567.3653, -565.7373, -755.6541, -393.7736
49.23741, -831.9006, -813.48975, -1080.0714, -602.4135
68.72825, -1213.3113, -1203.6923, -1558.6052, -868.6372
79.26487, -1507.7297, -1489.9016, -1924.6283, -1089.2466
117.57017, -1817.4886, -1809.0831, -2562.9873, -1211.4503
128.20407, -2278.2258, -2243.5757, -2946.477, -1646.9778
142.90712, -2560.363, -2516.7676, -3279.7664, -1897.9998
210.2775, -2960.7732, -2956.643, -4073.2693, -2003.8313
221.10936, -3468.3552, -3447.5352, -4436.5815, -2570.8394
231.47845, -3723.45, -3715.874, -4704.9346, -2777.3982
322.2836, -4255.323, -4291.347, -5972.215, -2922.8938
335.1345, -4882.52, -4873.542, -6205.9146, -3620.9724
416.29874, -5289.2407, -5298.6553, -6866.519, -3740.528
428.19492, -5647.6216, -5633.145, -7141.7114, -4132.4814
512.8701, -6048.519, -6030.277, -7775.3584, -4140.669
524.379, -6484.642, -6457.279, -8104.865, -4714.615
602.626, -6827.4053, -6868.763, -8740.686, -4656.2036
686.9368, -7473.7983, -7457.2266, -9490.614, -5090.7075
786.9368, -7893.6606, -7862.9614, -10227.365, -5382.637
886.9368, -8290.105, -8278.132, -11036.645, -5313.1553
986.9368, -8810.388, -8714.973, -11848.513, -5866.63
1086.9369, -9125.635, -9140.773, -12626.142, -5743.2275
