Time (s), variation of the average surface potential of esn 1 (s-1.V)
10.442997, -19.731276
20.983475, -17.48528
32.641376, -17.583609
49.23741, -15.149213
68.72825, -22.765099
79.26487, -20.270304
117.57017, -8.629037
128.20407, -52.580624
142.90712, -11.627817
210.2775, -5.817841
221.10936, -60.78251
231.47845, -15.612332
322.2836, -6.177591
335.1345, -48.001564
416.29874, -4.237315
428.19492, -32.860165
512.8701, -4.0237746
524.379, -44.53296
602.626, -4.165766
686.9368, -7.394539
786.9368, -3.7075684
886.9368, -4.1517043
986.9368, -4.3683987
1086.9369, -4.258037
