Energy (in eV), backscattering yield of material gr2k-NASCAP at incidence 60.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.10010637
70.0, 0.13591167
80.0, 0.160536
90.0, 0.1794203
100.0, 0.19472183
110.0, 0.20755412
120.0, 0.21857631
130.0, 0.22821356
140.0, 0.23675701
150.0, 0.24441501
160.0, 0.25134197
170.0, 0.25765556
180.0, 0.2634473
190.0, 0.26879007
200.0, 0.2737426
210.0, 0.27835292
220.0, 0.28266096
230.0, 0.28670007
240.0, 0.2904985
250.0, 0.29408032
260.0, 0.29746625
270.0, 0.3006742
280.0, 0.3037198
290.0, 0.30661675
300.0, 0.3093771
310.0, 0.31201154
320.0, 0.31452954
330.0, 0.31693956
340.0, 0.31924933
350.0, 0.32146555
360.0, 0.32359448
370.0, 0.32564175
380.0, 0.32761234
390.0, 0.329511
400.0, 0.33134192
410.0, 0.33310902
420.0, 0.33481583
430.0, 0.33646566
440.0, 0.33806145
450.0, 0.33960617
460.0, 0.3411022
470.0, 0.34255213
480.0, 0.3439581
490.0, 0.34532222
500.0, 0.34664643
510.0, 0.3479325
520.0, 0.34918213
530.0, 0.35039696
540.0, 0.3515784
550.0, 0.35272792
560.0, 0.3538468
570.0, 0.3549362
580.0, 0.35599747
590.0, 0.35703152
600.0, 0.3580395
610.0, 0.35902232
620.0, 0.35998094
630.0, 0.36091626
640.0, 0.36182907
650.0, 0.3627202
660.0, 0.3635904
670.0, 0.36444032
680.0, 0.3652707
690.0, 0.3660822
700.0, 0.36687538
710.0, 0.36765084
720.0, 0.3684092
730.0, 0.36915085
740.0, 0.3698765
750.0, 0.3705865
760.0, 0.37128136
770.0, 0.3719615
780.0, 0.37262744
790.0, 0.37327945
800.0, 0.37391803
810.0, 0.37454352
820.0, 0.37515628
830.0, 0.37575668
840.0, 0.37634504
850.0, 0.37692165
860.0, 0.3774869
870.0, 0.378041
880.0, 0.37858433
890.0, 0.37911707
900.0, 0.37963957
910.0, 0.38015202
920.0, 0.3806547
930.0, 0.38114783
940.0, 0.38163164
950.0, 0.38210642
960.0, 0.38257232
970.0, 0.38302958
980.0, 0.38347837
990.0, 0.3839189
1000.0, 0.38435134
1010.0, 0.3841385
1020.0, 0.38392594
1030.0, 0.3837137
