Energy (in eV), SEEP yield of material np2k-NASCAP at incidence 90.0 degree
   X,       Y
57600.0, 893.76215
57800.0, 901.1322
58000.0, 901.7781
58200.0, 902.4199
58400.0, 909.7971
58600.0, 910.436
58800.0, 911.0707
59000.0, 918.45496
59200.0, 919.08673
59400.0, 919.71436
59600.0, 927.10565
59800.0, 927.7302
60000.0, 935.1273
60200.0, 935.74884
60400.0, 936.3665
60600.0, 943.7701
60800.0, 944.38464
61000.0, 944.9955
61200.0, 952.4053
61400.0, 953.01294
61600.0, 953.6167
61800.0, 961.03284
62000.0, 961.6336
62200.0, 969.05493
62400.0, 969.65265
62600.0, 970.2465
62800.0, 977.6737
63000.0, 978.26447
63200.0, 978.85175
63400.0, 986.2845
63600.0, 986.8686
63800.0, 994.30634
64000.0, 994.88727
64200.0, 995.4645
64400.0, 1002.90765
64600.0, 1003.48193
64800.0, 1004.0525
65000.0, 1011.5007
65200.0, 1012.06824
65400.0, 1012.63226
65600.0, 1020.0854
65800.0, 1020.64636
66000.0, 1028.1041
66200.0, 1028.6619
66400.0, 1029.2163
66600.0, 1036.6785
66800.0, 1037.2299
67000.0, 1037.7777
67200.0, 1045.2444
67400.0, 1045.7892
67600.0, 1053.2601
67800.0, 1053.8018
68000.0, 1054.3401
68200.0, 1061.8152
68400.0, 1062.3505
68600.0, 1062.8824
68800.0, 1070.3615
69000.0, 1070.8903
69200.0, 1071.4159
69400.0, 1078.899
69600.0, 1079.4215
69800.0, 1086.9082
70000.0, 1087.4276
70200.0, 1087.9438
70400.0, 1095.4341
70600.0, 1095.9473
70800.0, 1096.4574
71000.0, 1103.951
71200.0, 1104.458
71400.0, 1111.9551
71600.0, 1112.459
71800.0, 1112.9597
72000.0, 1120.4602
72200.0, 1120.9578
72400.0, 1121.4523
72600.0, 1128.956
72800.0, 1129.4474
73000.0, 1136.9539
73200.0, 1137.4423
73400.0, 1137.9277
73600.0, 1145.4373
73800.0, 1145.9194
74000.0, 1146.3988
74200.0, 1153.911
74400.0, 1154.3875
74600.0, 1161.9025
74800.0, 1162.3757
75000.0, 1162.8458
75200.0, 1170.3634
75400.0, 1170.8306
75600.0, 1171.2948
75800.0, 1178.815
76000.0, 1179.2761
76200.0, 1186.7988
76400.0, 1187.257
76600.0, 1187.7124
76800.0, 1195.2372
77000.0, 1195.6895
77200.0, 1196.1387
77400.0, 1203.6658
77600.0, 1204.1123
77800.0, 1211.6414
78000.0, 1212.0847
78200.0, 1212.5253
78400.0, 1220.0564
78600.0, 1220.4939
78800.0, 1220.9286
79000.0, 1228.4617
79200.0, 1228.8933
79400.0, 1236.4283
79600.0, 1236.857
79800.0, 1237.2828
80000.0, 1244.8195
80200.0, 1245.2424
80400.0, 1245.6628
80600.0, 1253.2009
80800.0, 1253.6183
81000.0, 1261.1582
81200.0, 1261.5725
81400.0, 1261.9841
81600.0, 1269.5251
81800.0, 1269.934
82000.0, 1270.34
82200.0, 1277.8826
82400.0, 1278.2856
82600.0, 1285.8293
82800.0, 1286.2296
83000.0, 1286.6272
83200.0, 1294.1722
83400.0, 1294.5669
83600.0, 1302.1133
83800.0, 1302.5049
84000.0, 1302.8939
84200.0, 1310.4413
84400.0, 1310.8274
84600.0, 1311.2108
84800.0, 1318.7592
85000.0, 1319.1396
85200.0, 1326.6891
85400.0, 1327.0668
85600.0, 1327.442
85800.0, 1334.992
86000.0, 1335.3643
86200.0, 1335.7339
86400.0, 1343.2848
86600.0, 1343.6517
86800.0, 1351.2032
87000.0, 1351.5673
87200.0, 1351.9287
87400.0, 1359.4808
87600.0, 1359.8394
87800.0, 1367.3923
88000.0, 1367.7482
88200.0, 1368.1016
88400.0, 1375.6548
88600.0, 1376.0051
88800.0, 1376.3531
89000.0, 1383.9066
89200.0, 1384.2518
89400.0, 1391.8059
89600.0, 1392.1483
89800.0, 1392.4882
90000.0, 1400.0424
90200.0, 1400.3794
90400.0, 1400.7141
90600.0, 1408.2686
90800.0, 1408.6002
91000.0, 1416.155
91200.0, 1416.4841
91400.0, 1416.8107
91600.0, 1424.3655
91800.0, 1424.6895
92000.0, 1432.2445
92200.0, 1432.5654
92400.0, 1432.8842
92600.0, 1440.4391
92800.0, 1440.7549
93000.0, 1441.0686
93200.0, 1448.6233
93400.0, 1448.9341
93600.0, 1456.489
93800.0, 1456.7969
94000.0, 1457.1025
94200.0, 1464.6572
94400.0, 1464.9601
94600.0, 1472.5146
94800.0, 1472.815
95000.0, 1473.1129
95200.0, 1480.6669
95400.0, 1480.962
95600.0, 1488.5161
95800.0, 1488.8085
96000.0, 1489.0988
96200.0, 1496.6522
96400.0, 1496.9396
96600.0, 1497.225
96800.0, 1504.7777
97000.0, 1505.0604
97200.0, 1512.613
97400.0, 1512.8928
97600.0, 1513.1704
97800.0, 1520.7224
98000.0, 1520.9972
98200.0, 1528.5488
98400.0, 1528.8208
98600.0, 1529.091
98800.0, 1536.6417
99000.0, 1536.909
99200.0, 1544.4597
99400.0, 1544.7242
99600.0, 1544.9868
99800.0, 1552.5363
100000.0, 1552.7959
