Energy (in eV), backscattering yield of material gr2k-NASCAP at incidence 0.0 degree
   X,       Y
2720.0, 0.123895064
2730.0, 0.123779096
2740.0, 0.12366336
2750.0, 0.12354785
2760.0, 0.12343258
2770.0, 0.12331753
2780.0, 0.12320272
2790.0, 0.12308813
2800.0, 0.12297378
2810.0, 0.12285965
2820.0, 0.12274575
2830.0, 0.12263208
2840.0, 0.12251863
2850.0, 0.12240541
2860.0, 0.12229242
2870.0, 0.12217966
2880.0, 0.122067116
2890.0, 0.1219548
2900.0, 0.121842705
2910.0, 0.12173084
2920.0, 0.121619195
2930.0, 0.12150777
2940.0, 0.12139657
2950.0, 0.121285595
2960.0, 0.12117484
2970.0, 0.12106431
2980.0, 0.120954
2990.0, 0.1208439
3000.0, 0.120734036
3010.0, 0.12062438
3020.0, 0.120514944
3030.0, 0.12040573
3040.0, 0.12029674
3050.0, 0.12018795
3060.0, 0.1200794
3070.0, 0.11997105
3080.0, 0.11986292
3090.0, 0.11975501
3100.0, 0.11964732
3110.0, 0.119539835
3120.0, 0.11943257
3130.0, 0.11932551
3140.0, 0.11921868
3150.0, 0.11911205
3160.0, 0.119005635
3170.0, 0.118899435
3180.0, 0.11879345
3190.0, 0.118687674
3200.0, 0.118582115
3210.0, 0.118476756
3220.0, 0.11837161
3230.0, 0.11826669
3240.0, 0.11816196
3250.0, 0.118057445
3260.0, 0.117953144
3270.0, 0.117849045
3280.0, 0.11774516
3290.0, 0.11764148
3300.0, 0.117538005
3310.0, 0.11743473
3320.0, 0.117331676
3330.0, 0.11722882
3340.0, 0.117126174
3350.0, 0.11702373
3360.0, 0.116921484
3370.0, 0.116819456
3380.0, 0.11671762
3390.0, 0.116615996
3400.0, 0.11651457
3410.0, 0.11641335
3420.0, 0.116312325
3430.0, 0.11621151
3440.0, 0.11611089
3450.0, 0.11601048
3460.0, 0.11591026
3470.0, 0.115810245
3480.0, 0.11571043
3490.0, 0.115610816
3500.0, 0.1155114
3510.0, 0.11541218
3520.0, 0.115313165
3530.0, 0.11521434
3540.0, 0.11511572
3550.0, 0.11501729
3560.0, 0.11491906
3570.0, 0.114821024
3580.0, 0.11472318
3590.0, 0.11462554
3600.0, 0.1145281
3610.0, 0.114430845
3620.0, 0.114333786
3630.0, 0.11423692
3640.0, 0.11414025
3650.0, 0.11404377
3660.0, 0.11394748
3670.0, 0.11385139
3680.0, 0.11375549
3690.0, 0.11365978
3700.0, 0.11356426
3710.0, 0.11346893
3720.0, 0.11337379
3730.0, 0.11327885
3740.0, 0.113184094
3750.0, 0.113089524
3760.0, 0.11299515
3770.0, 0.11290096
3780.0, 0.11280695
3790.0, 0.112713136
3800.0, 0.11261951
3810.0, 0.112526074
3820.0, 0.11243282
3830.0, 0.11233975
3840.0, 0.11224687
3850.0, 0.11215418
3860.0, 0.112061664
3870.0, 0.111969344
3880.0, 0.1118772
3890.0, 0.11178524
3900.0, 0.11169347
3910.0, 0.11160188
3920.0, 0.11151048
3930.0, 0.11141925
3940.0, 0.11132821
3950.0, 0.11123735
3960.0, 0.11114667
3970.0, 0.11105617
3980.0, 0.110965855
3990.0, 0.11087572
4000.0, 0.11078577
4010.0, 0.11069599
4020.0, 0.110606395
4030.0, 0.11051697
4040.0, 0.11042774
4050.0, 0.11033867
4060.0, 0.110249795
4070.0, 0.11016109
4080.0, 0.11007256
4090.0, 0.10998421
4100.0, 0.109896034
4110.0, 0.109808035
4120.0, 0.109720215
4130.0, 0.10963257
4140.0, 0.1095451
4150.0, 0.1094578
4160.0, 0.10937068
4170.0, 0.10928373
4180.0, 0.10919695
4190.0, 0.10911035
4200.0, 0.10902392
4210.0, 0.108937666
4220.0, 0.10885158
4230.0, 0.10876567
4240.0, 0.10867993
4250.0, 0.108594365
4260.0, 0.10850897
4270.0, 0.10842374
4280.0, 0.108338684
4290.0, 0.10825379
4300.0, 0.10816908
4310.0, 0.10808453
4320.0, 0.10800015
4330.0, 0.10791594
4340.0, 0.107831895
4350.0, 0.107748024
4360.0, 0.10766432
4370.0, 0.10758078
4380.0, 0.10749741
4390.0, 0.1074142
4400.0, 0.107331164
4410.0, 0.107248284
4420.0, 0.10716558
4430.0, 0.10708304
4440.0, 0.10700066
4450.0, 0.10691845
4460.0, 0.10683639
4470.0, 0.10675451
4480.0, 0.106672786
