Energy (in eV), backscattering yield of material bk2k-NASCAP at incidence 10.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.010061216
70.0, 0.018372577
80.0, 0.025501672
90.0, 0.03174416
100.0, 0.037293598
110.0, 0.04228535
120.0, 0.046818234
130.0, 0.050966717
140.0, 0.05478842
150.0, 0.058328807
160.0, 0.061624434
170.0, 0.06470513
180.0, 0.067595564
190.0, 0.07031636
200.0, 0.07288497
210.0, 0.075316235
220.0, 0.07762297
230.0, 0.079816215
240.0, 0.08190564
250.0, 0.0838997
260.0, 0.08580585
270.0, 0.08763072
280.0, 0.08938022
290.0, 0.0910596
300.0, 0.09267362
310.0, 0.09422654
320.0, 0.09572221
330.0, 0.09716416
340.0, 0.0985556
350.0, 0.099899404
360.0, 0.10119828
370.0, 0.10245466
380.0, 0.10367081
390.0, 0.104848795
400.0, 0.10599057
410.0, 0.10709788
420.0, 0.10817241
430.0, 0.109215684
440.0, 0.110229105
450.0, 0.11121407
460.0, 0.11217176
470.0, 0.11310339
480.0, 0.11401004
490.0, 0.11489275
500.0, 0.11575246
510.0, 0.11659009
520.0, 0.1174065
530.0, 0.11820249
540.0, 0.11897881
550.0, 0.11973621
560.0, 0.120475374
570.0, 0.121196896
580.0, 0.12190145
590.0, 0.12258959
600.0, 0.12326186
610.0, 0.12391879
620.0, 0.124560885
630.0, 0.12518863
640.0, 0.12580246
650.0, 0.12640284
660.0, 0.12699014
670.0, 0.12756477
680.0, 0.12812713
690.0, 0.12867756
700.0, 0.1292164
710.0, 0.129744
720.0, 0.13026066
730.0, 0.13076667
740.0, 0.13126239
750.0, 0.13174804
760.0, 0.13222387
770.0, 0.13269019
780.0, 0.13314725
790.0, 0.13359527
800.0, 0.13403447
810.0, 0.1344651
820.0, 0.13488734
830.0, 0.13530143
840.0, 0.13570754
850.0, 0.13610588
860.0, 0.13649665
870.0, 0.13687998
880.0, 0.13725609
890.0, 0.13762513
900.0, 0.13798729
910.0, 0.13834265
920.0, 0.13869146
930.0, 0.13903378
940.0, 0.13936979
950.0, 0.13969964
960.0, 0.14002347
970.0, 0.14034137
980.0, 0.1406535
990.0, 0.14095993
1000.0, 0.14126085
1010.0, 0.1410948
1020.0, 0.14092912
1030.0, 0.14076373
