Time (s), variation of the average surface potential of esn 7 (s-1.V)
10.442997, -22.459135
20.983475, -21.052153
32.641376, -20.07653
49.23741, -17.119902
68.72825, -25.100048
79.26487, -22.440317
117.57017, -10.316023
128.20407, -55.23068
142.90712, -13.27134
210.2775, -7.566337
221.10936, -62.225914
231.47845, -17.88353
322.2836, -9.722376
335.1345, -48.571846
416.29874, -5.2948256
428.19492, -33.4545
512.8701, -4.772546
524.379, -45.10622
602.626, -4.912756
686.9368, -7.6998925
786.9368, -3.7652442
886.9368, -4.4663477
986.9368, -4.544287
1086.9369, -4.384922
