Time (s), esn 1 average surface potential (V), esn 1 ground potential (V), esn 1 min surface potential (V), esn 1 max surface potential (V)
10.442997, -106.54771, -106.54773, -106.54773, -106.54773
20.983475, -335.3404, -335.34036, -335.34036, -335.34036
32.641376, -565.7372, -565.7373, -565.7373, -565.7373
49.23741, -813.4897, -813.48975, -813.48975, -813.48975
68.72825, -1203.692, -1203.6923, -1203.6923, -1203.6923
79.26487, -1489.9016, -1489.9016, -1489.9016, -1489.9016
117.57017, -1809.0833, -1809.0831, -1809.0831, -1809.0831
128.20407, -2243.5754, -2243.5757, -2243.5757, -2243.5757
142.90712, -2516.7676, -2516.7676, -2516.7676, -2516.7676
210.2775, -2956.6423, -2956.643, -2956.643, -2956.643
221.10936, -3447.535, -3447.5352, -3447.5352, -3447.5352
231.47845, -3715.875, -3715.874, -3715.874, -3715.874
322.2836, -4291.347, -4291.347, -4291.347, -4291.347
335.1345, -4873.542, -4873.542, -4873.542, -4873.542
416.29874, -5298.654, -5298.6553, -5298.6553, -5298.6553
428.19492, -5633.1445, -5633.145, -5633.145, -5633.145
512.8701, -6030.278, -6030.277, -6030.277, -6030.277
524.379, -6457.2793, -6457.279, -6457.279, -6457.279
602.626, -6868.7637, -6868.763, -6868.763, -6868.763
686.9368, -7457.2275, -7457.2266, -7457.2266, -7457.2266
786.9368, -7862.9604, -7862.9614, -7862.9614, -7862.9614
886.9368, -8278.131, -8278.132, -8278.132, -8278.132
986.9368, -8714.971, -8714.973, -8714.973, -8714.973
1086.9369, -9140.774, -9140.773, -9140.773, -9140.773
