Energy (in eV), SEEE yield of material np2k-NASCAP at isotropic incidence
   X,       Y
2310.0, 7.8128787E-10
2320.0, 7.5214623E-10
2330.0, 7.2420986E-10
2340.0, 6.9742423E-10
2350.0, 6.7173717E-10
2360.0, 6.4709926E-10
2370.0, 6.2346367E-10
2380.0, 6.0078487E-10
2390.0, 5.790215E-10
2400.0, 5.5813254E-10
2410.0, 5.380793E-10
2420.0, 5.1882526E-10
2430.0, 5.003353E-10
2440.0, 4.8257615E-10
2450.0, 4.6551615E-10
2460.0, 4.4912513E-10
2470.0, 4.333743E-10
2480.0, 4.1823617E-10
2490.0, 4.0368453E-10
2500.0, 3.8969453E-10
2510.0, 3.7624234E-10
2520.0, 3.6330525E-10
2530.0, 3.5086162E-10
2540.0, 3.388908E-10
2550.0, 3.2737305E-10
2560.0, 3.1628947E-10
2570.0, 3.0562225E-10
2580.0, 2.9535416E-10
2590.0, 2.8546876E-10
2600.0, 2.7595043E-10
2610.0, 2.6678418E-10
2620.0, 2.579557E-10
2630.0, 2.494512E-10
2640.0, 2.4125799E-10
2650.0, 2.3336327E-10
2660.0, 2.2575526E-10
2670.0, 2.1842238E-10
2680.0, 2.1135382E-10
2690.0, 2.0453905E-10
2700.0, 1.979681E-10
2710.0, 1.9163135E-10
2720.0, 1.8551968E-10
2730.0, 1.796243E-10
2740.0, 1.7393678E-10
2750.0, 1.684491E-10
2760.0, 1.6315355E-10
2770.0, 1.5804272E-10
2780.0, 1.5310954E-10
2790.0, 1.4834721E-10
2800.0, 1.437493E-10
2810.0, 1.3930954E-10
2820.0, 1.3502194E-10
2830.0, 1.3088079E-10
2840.0, 1.2688056E-10
2850.0, 1.2301603E-10
2860.0, 1.1928214E-10
2870.0, 1.15674026E-10
2880.0, 1.1218697E-10
2890.0, 1.08816615E-10
2900.0, 1.05558666E-10
2910.0, 1.0240896E-10
2920.0, 9.9363566E-11
2930.0, 9.641869E-11
2940.0, 9.357068E-11
2950.0, 9.081605E-11
2960.0, 8.815141E-11
2970.0, 8.5573555E-11
2980.0, 8.307937E-11
2990.0, 8.066589E-11
3000.0, 7.833022E-11
3010.0, 7.606962E-11
3020.0, 7.388143E-11
3030.0, 7.1763116E-11
3040.0, 6.9712215E-11
3050.0, 6.772637E-11
3060.0, 6.580333E-11
3070.0, 6.39409E-11
3080.0, 6.213698E-11
3090.0, 6.0389554E-11
3100.0, 5.8696686E-11
3110.0, 5.705649E-11
3120.0, 5.5467176E-11
3130.0, 5.3926977E-11
3140.0, 5.2434286E-11
3150.0, 5.0987457E-11
3160.0, 4.9584958E-11
3170.0, 4.8225278E-11
3180.0, 4.6906996E-11
3190.0, 4.5628723E-11
3200.0, 4.4389117E-11
3210.0, 4.3186902E-11
3220.0, 4.202083E-11
3230.0, 4.088972E-11
3240.0, 3.9792405E-11
3250.0, 3.8727795E-11
3260.0, 3.7694806E-11
3270.0, 3.6692403E-11
3280.0, 3.5719597E-11
3290.0, 3.477543E-11
3300.0, 3.3858975E-11
3310.0, 3.2969325E-11
3320.0, 3.210564E-11
3330.0, 3.126707E-11
3340.0, 3.0452824E-11
3350.0, 2.966212E-11
3360.0, 2.889421E-11
3370.0, 2.8148376E-11
3380.0, 2.7423903E-11
3390.0, 2.6720149E-11
3400.0, 2.6036453E-11
3410.0, 2.5372175E-11
3420.0, 2.4726724E-11
3430.0, 2.4099498E-11
3440.0, 2.3489946E-11
3450.0, 2.2897514E-11
3460.0, 2.2321672E-11
3470.0, 2.1761907E-11
3480.0, 2.1217736E-11
3490.0, 2.0688671E-11
3500.0, 2.0174258E-11
3510.0, 1.9674049E-11
3520.0, 1.9187615E-11
3530.0, 1.8714532E-11
3540.0, 1.8254407E-11
3550.0, 1.7806843E-11
3560.0, 1.7371465E-11
3570.0, 1.6947912E-11
3580.0, 1.6535825E-11
3590.0, 1.6134864E-11
3600.0, 1.5744704E-11
3610.0, 1.5365022E-11
3620.0, 1.4995505E-11
3630.0, 1.4635852E-11
3640.0, 1.4285784E-11
3650.0, 1.3945019E-11
3660.0, 1.3613279E-11
3670.0, 1.3290305E-11
3680.0, 1.2975843E-11
3690.0, 1.2669641E-11
3700.0, 1.2371465E-11
3710.0, 1.2081084E-11
3720.0, 1.1798273E-11
3730.0, 1.1522816E-11
3740.0, 1.1254501E-11
3750.0, 1.0993127E-11
3760.0, 1.0738493E-11
3770.0, 1.04904115E-11
3780.0, 1.0248694E-11
3790.0, 1.0013165E-11
3800.0, 9.783646E-12
3810.0, 9.559973E-12
3820.0, 9.341977E-12
3830.0, 9.129506E-12
3840.0, 8.922399E-12
3850.0, 8.720514E-12
3860.0, 8.5237E-12
3870.0, 8.331821E-12
3880.0, 8.1447375E-12
3890.0, 7.9623235E-12
3900.0, 7.784447E-12
3910.0, 7.610984E-12
3920.0, 7.441815E-12
3930.0, 7.276824E-12
3940.0, 7.1158955E-12
3950.0, 6.958921E-12
3960.0, 6.805792E-12
3970.0, 6.6564068E-12
3980.0, 6.510664E-12
3990.0, 6.3684665E-12
4000.0, 6.2297194E-12
4010.0, 6.094326E-12
4020.0, 5.962208E-12
4030.0, 5.8332657E-12
4040.0, 5.7074276E-12
4050.0, 5.584599E-12
4060.0, 5.464713E-12
4070.0, 5.3476798E-12
4080.0, 5.233437E-12
4090.0, 5.1219003E-12
4100.0, 5.0130087E-12
4110.0, 4.9066853E-12
4120.0, 4.802871E-12
4130.0, 4.7014927E-12
4140.0, 4.6024968E-12
4150.0, 4.5058115E-12
4160.0, 4.411387E-12
4170.0, 4.319157E-12
4180.0, 4.2290733E-12
4190.0, 4.1410733E-12
4200.0, 4.0551113E-12
