Time (s), esn 6 average surface potential (V), esn 6 ground potential (V), esn 6 min surface potential (V), esn 6 max surface potential (V)
10.442997, -149.26556, -106.54773, -153.63835, -148.5348
20.983475, -458.40964, -335.34036, -465.62585, -456.7921
32.641376, -774.59717, -565.7373, -789.7938, -771.8438
49.23741, -1114.8342, -813.48975, -1127.1099, -1111.4088
68.72825, -1622.8014, -1203.6923, -1656.2106, -1616.566
79.26487, -2000.3809, -1489.9016, -2027.2201, -1994.0793
117.57017, -2524.926, -1809.0831, -2575.3318, -2514.016
128.20407, -3021.695, -2243.5757, -3050.3127, -3012.5498
142.90712, -3367.4163, -2516.7676, -3419.617, -3357.536
210.2775, -4163.78, -2956.643, -4369.2886, -4078.5098
221.10936, -4689.5503, -3447.5352, -4773.194, -4668.1533
231.47845, -5019.7935, -3715.874, -5101.857, -4998.712
322.2836, -5945.1084, -4291.347, -6172.7227, -5862.8076
335.1345, -6597.77, -4873.542, -6652.673, -6564.8887
416.29874, -7325.019, -5298.6553, -7510.345, -7281.457
428.19492, -7691.57, -5633.145, -7768.8765, -7660.652
512.8701, -8367.313, -6030.277, -8599.951, -8303.488
524.379, -8822.0, -6457.279, -8908.763, -8788.417
602.626, -9462.783, -6868.763, -9703.074, -9420.351
686.9368, -10249.373, -7457.2266, -10547.143, -10170.651
786.9368, -10912.977, -7862.9614, -11430.76, -10726.993
886.9368, -11550.658, -8278.132, -12438.003, -11095.252
986.9368, -12192.319, -8714.973, -13141.494, -11682.472
1086.9369, -12809.073, -9140.773, -13869.144, -12193.21
