Energy (in eV), backscattering yield of material te2k-NASCAP at incidence 30.0 degree
   X,       Y
0.0, 0.5486563
10.0, 0.23077585
20.0, 0.097068936
30.0, 0.04082914
40.0, 0.017173555
50.0, 0.007223541
60.0, 0.021550305
70.0, 0.03394351
80.0, 0.044638254
90.0, 0.053923067
100.0, 0.062072437
110.0, 0.069309026
120.0, 0.07580423
130.0, 0.08168858
140.0, 0.08706218
150.0, 0.092002735
160.0, 0.09657163
170.0, 0.100818105
180.0, 0.10478218
190.0, 0.10849686
200.0, 0.111989714
210.0, 0.115283914
220.0, 0.11839925
230.0, 0.12135258
240.0, 0.124158636
250.0, 0.12683012
260.0, 0.12937815
270.0, 0.13181265
280.0, 0.13414222
290.0, 0.13637467
300.0, 0.13851687
310.0, 0.14057507
320.0, 0.14255482
330.0, 0.14446117
340.0, 0.14629872
350.0, 0.1480716
360.0, 0.14978366
370.0, 0.15143836
380.0, 0.15303883
390.0, 0.15458804
400.0, 0.15608871
410.0, 0.1575433
420.0, 0.15895414
430.0, 0.16032335
440.0, 0.16165292
450.0, 0.1629447
460.0, 0.16420041
470.0, 0.16542168
480.0, 0.16660997
490.0, 0.16776673
500.0, 0.16889326
510.0, 0.16999081
520.0, 0.17106053
530.0, 0.17210355
540.0, 0.17312086
550.0, 0.17411347
560.0, 0.1750823
570.0, 0.17602818
580.0, 0.176952
590.0, 0.1778545
600.0, 0.17873642
610.0, 0.1795985
620.0, 0.18044136
630.0, 0.18126568
640.0, 0.18207206
650.0, 0.18286105
660.0, 0.18363322
670.0, 0.18438908
680.0, 0.18512917
690.0, 0.18585393
700.0, 0.18656383
710.0, 0.18725929
720.0, 0.18794078
730.0, 0.18860862
740.0, 0.18926328
750.0, 0.18990506
760.0, 0.19053437
770.0, 0.1911515
780.0, 0.19175684
790.0, 0.19235066
800.0, 0.19293326
810.0, 0.19350494
820.0, 0.19406597
830.0, 0.19461663
840.0, 0.19515719
850.0, 0.19568788
860.0, 0.19620897
870.0, 0.19672064
880.0, 0.19722317
890.0, 0.19771674
900.0, 0.19820161
910.0, 0.1986779
920.0, 0.1991459
930.0, 0.19960572
940.0, 0.20005758
950.0, 0.20050167
960.0, 0.20093814
970.0, 0.20136715
980.0, 0.2017889
990.0, 0.2022035
1000.0, 0.2026111
1010.0, 0.20242976
1020.0, 0.20224872
1030.0, 0.20206803
1040.0, 0.20188767
1050.0, 0.20170765
1060.0, 0.20152797
1070.0, 0.20134862
1080.0, 0.2011696
1090.0, 0.20099092
1100.0, 0.20081256
1110.0, 0.20063454
1120.0, 0.20045684
1130.0, 0.20027949
1140.0, 0.20010246
1150.0, 0.19992577
1160.0, 0.1997494
1170.0, 0.19957335
1180.0, 0.19939764
1190.0, 0.19922225
1200.0, 0.1990472
1210.0, 0.19887246
1220.0, 0.19869806
1230.0, 0.19852397
1240.0, 0.1983502
1250.0, 0.19817677
1260.0, 0.19800365
1270.0, 0.19783087
1280.0, 0.1976584
1290.0, 0.19748625
1300.0, 0.19731443
1310.0, 0.19714291
1320.0, 0.19697173
1330.0, 0.19680087
1340.0, 0.19663033
1350.0, 0.19646008
1360.0, 0.19629018
1370.0, 0.19612058
1380.0, 0.19595131
1390.0, 0.19578233
1400.0, 0.19561368
1410.0, 0.19544534
1420.0, 0.19527733
1430.0, 0.19510962
1440.0, 0.19494222
1450.0, 0.19477515
1460.0, 0.19460838
1470.0, 0.19444191
1480.0, 0.19427577
1490.0, 0.19410993
1500.0, 0.1939444
1510.0, 0.19377919
1520.0, 0.19361427
1530.0, 0.19344966
1540.0, 0.19328538
1550.0, 0.19312139
1560.0, 0.19295768
1570.0, 0.19279432
1580.0, 0.19263123
1590.0, 0.19246848
1600.0, 0.19230601
1610.0, 0.19214386
1620.0, 0.191982
1630.0, 0.19182043
1640.0, 0.19165918
1650.0, 0.19149823
1660.0, 0.19133757
1670.0, 0.19117722
1680.0, 0.19101717
1690.0, 0.19085743
1700.0, 0.19069795
1710.0, 0.1905388
1720.0, 0.19037995
1730.0, 0.19022138
1740.0, 0.19006312
1750.0, 0.18990515
1760.0, 0.18974747
1770.0, 0.18959008
1780.0, 0.189433
1790.0, 0.1892762
1800.0, 0.18911971
1810.0, 0.1889635
1820.0, 0.18880759
1830.0, 0.18865198
1840.0, 0.18849665
1850.0, 0.1883416
1860.0, 0.18818685
1870.0, 0.18803239
1880.0, 0.18787822
1890.0, 0.18772434
1900.0, 0.18757075
1910.0, 0.18741743
1920.0, 0.18726441
1930.0, 0.18711168
1940.0, 0.18695922
1950.0, 0.18680707
1960.0, 0.1866552
1970.0, 0.1865036
1980.0, 0.1863523
1990.0, 0.18620126
2000.0, 0.18605052
2010.0, 0.18590006
2020.0, 0.18574987
2030.0, 0.18559998
2040.0, 0.18545036
2050.0, 0.18530104
2060.0, 0.18515196
2070.0, 0.18500319
2080.0, 0.1848547
2090.0, 0.18470646
2100.0, 0.18455853
2110.0, 0.18441087
2120.0, 0.18426348
2130.0, 0.18411636
2140.0, 0.18396953
2150.0, 0.18382296
2160.0, 0.18367669
2170.0, 0.18353067
2180.0, 0.18338493
2190.0, 0.18323946
2200.0, 0.18309428
2210.0, 0.18294935
2220.0, 0.1828047
2230.0, 0.18266033
2240.0, 0.18251622
2250.0, 0.18237238
2260.0, 0.18222882
2270.0, 0.18208551
2280.0, 0.1819425
2290.0, 0.18179974
2300.0, 0.18165724
2310.0, 0.18151502
2320.0, 0.18137306
2330.0, 0.18123136
2340.0, 0.18108995
2350.0, 0.1809488
2360.0, 0.18080789
2370.0, 0.18066728
2380.0, 0.18052691
2390.0, 0.18038681
2400.0, 0.18024696
2410.0, 0.18010738
2420.0, 0.17996807
2430.0, 0.17982902
2440.0, 0.17969023
2450.0, 0.1795517
2460.0, 0.17941344
2470.0, 0.17927542
2480.0, 0.17913768
2490.0, 0.1790002
2500.0, 0.17886296
2510.0, 0.17872597
2520.0, 0.17858927
2530.0, 0.1784528
2540.0, 0.17831661
2550.0, 0.17818065
2560.0, 0.17804496
