Energy (in eV), SEEP yield of material te2k-NASCAP at isotropic incidence
   X,       Y
54200.0, 4.8544345
54400.0, 4.858408
54600.0, 4.8623557
54800.0, 4.8662796
55000.0, 4.8701787
55200.0, 4.874054
55400.0, 4.8779054
55600.0, 4.881733
55800.0, 4.885537
56000.0, 4.8893175
56200.0, 4.8930745
56400.0, 4.896808
56600.0, 4.9005184
56800.0, 4.9042068
57000.0, 4.907872
57200.0, 4.911514
57400.0, 4.915135
57600.0, 4.918733
57800.0, 4.9223094
58000.0, 4.925863
58200.0, 4.929395
58400.0, 4.9329047
58600.0, 4.9363933
58800.0, 4.9398613
59000.0, 4.9433074
59200.0, 4.9467325
59400.0, 4.950136
59600.0, 4.953519
59800.0, 4.956881
60000.0, 4.9602227
60200.0, 4.9635444
60400.0, 4.966845
60600.0, 4.970125
60800.0, 4.973386
61000.0, 4.9766264
61200.0, 4.9798474
61400.0, 4.983048
61600.0, 4.9862294
61800.0, 4.989392
62000.0, 4.992533
62200.0, 4.995657
62400.0, 4.9987607
62600.0, 5.0018454
62800.0, 5.004913
63000.0, 5.007959
63200.0, 5.010988
63400.0, 5.0139985
63600.0, 5.01699
63800.0, 5.0199647
64000.0, 5.02292
64200.0, 5.025857
64400.0, 5.0287766
64600.0, 5.031678
64800.0, 5.034562
65000.0, 5.0374284
65200.0, 5.0402765
65400.0, 5.043108
65600.0, 5.0459213
65800.0, 5.048718
66000.0, 5.0514975
66200.0, 5.0542607
66400.0, 5.0570054
66600.0, 5.059735
66800.0, 5.0624475
67000.0, 5.0651426
67200.0, 5.0678215
67400.0, 5.070483
67600.0, 5.07313
67800.0, 5.0757604
68000.0, 5.0783734
68200.0, 5.080972
68400.0, 5.0835533
68600.0, 5.086119
68800.0, 5.0886693
69000.0, 5.091204
69200.0, 5.0937233
69400.0, 5.0962276
69600.0, 5.098715
69800.0, 5.101188
70000.0, 5.1036463
70200.0, 5.1060886
70400.0, 5.108516
70600.0, 5.110929
70800.0, 5.1133275
71000.0, 5.11571
71200.0, 5.118078
71400.0, 5.1204324
71600.0, 5.1227717
71800.0, 5.1250963
72000.0, 5.1274066
72200.0, 5.129703
72400.0, 5.1319847
72600.0, 5.134253
72800.0, 5.1365066
73000.0, 5.1387467
73200.0, 5.1409736
73400.0, 5.1431856
73600.0, 5.145384
73800.0, 5.147569
74000.0, 5.14974
74200.0, 5.1518984
74400.0, 5.1540422
74600.0, 5.1561728
74800.0, 5.158291
75000.0, 5.160396
75200.0, 5.1624875
75400.0, 5.1645665
75600.0, 5.1666317
75800.0, 5.1686845
76000.0, 5.1707244
76200.0, 5.172753
76400.0, 5.1747665
76600.0, 5.176769
76800.0, 5.178758
77000.0, 5.180735
77200.0, 5.182699
77400.0, 5.184652
77600.0, 5.1865916
77800.0, 5.188519
78000.0, 5.190435
78200.0, 5.1923385
78400.0, 5.1942296
78600.0, 5.196109
78800.0, 5.1979775
79000.0, 5.1998334
79200.0, 5.2016773
79400.0, 5.2035103
79600.0, 5.2053313
79800.0, 5.2071404
80000.0, 5.208938
80200.0, 5.210725
80400.0, 5.2124996
80600.0, 5.2142634
80800.0, 5.2160163
81000.0, 5.217757
81200.0, 5.2194877
81400.0, 5.221207
81600.0, 5.2229156
81800.0, 5.2246127
82000.0, 5.226299
82200.0, 5.227975
82400.0, 5.2296395
82600.0, 5.2312937
82800.0, 5.2329373
83000.0, 5.2345705
83200.0, 5.236192
83400.0, 5.2378044
83600.0, 5.239406
83800.0, 5.2409964
84000.0, 5.242578
84200.0, 5.2441483
84400.0, 5.245708
84600.0, 5.247258
84800.0, 5.248799
85000.0, 5.250328
85200.0, 5.251848
85400.0, 5.2533584
85600.0, 5.2548575
85800.0, 5.2563486
86000.0, 5.2578287
86200.0, 5.259299
86400.0, 5.260761
86600.0, 5.262212
86800.0, 5.2636533
87000.0, 5.2650857
87200.0, 5.2665086
87400.0, 5.2679224
87600.0, 5.2693257
87800.0, 5.2707205
88000.0, 5.2721057
88200.0, 5.2734814
88400.0, 5.2748485
88600.0, 5.276207
88800.0, 5.2775545
89000.0, 5.278894
89200.0, 5.2802243
89400.0, 5.281546
89600.0, 5.2828593
89800.0, 5.2841625
90000.0, 5.2854576
90200.0, 5.286744
90400.0, 5.288021
90600.0, 5.28929
90800.0, 5.2905493
91000.0, 5.291801
91200.0, 5.293044
91400.0, 5.294278
91600.0, 5.295504
91800.0, 5.2967215
92000.0, 5.2979302
92200.0, 5.29913
92400.0, 5.3003225
92600.0, 5.301507
92800.0, 5.3026824
93000.0, 5.30385
93200.0, 5.3050094
93400.0, 5.306161
93600.0, 5.307304
93800.0, 5.308439
94000.0, 5.3095665
94200.0, 5.310686
94400.0, 5.311797
94600.0, 5.3129015
94800.0, 5.313997
95000.0, 5.3150854
95200.0, 5.3161645
95400.0, 5.3172374
95600.0, 5.3183017
95800.0, 5.319359
96000.0, 5.320408
96200.0, 5.3214507
96400.0, 5.322486
96600.0, 5.323512
96800.0, 5.3245316
97000.0, 5.3255444
97200.0, 5.326548
97400.0, 5.327546
97600.0, 5.328536
97800.0, 5.329519
98000.0, 5.330495
98200.0, 5.3314624
98400.0, 5.332423
98600.0, 5.3333774
98800.0, 5.3343244
99000.0, 5.335264
99200.0, 5.3361983
99400.0, 5.3371234
99600.0, 5.3380427
99800.0, 5.3389544
100000.0, 5.339859
