Time (s), esn 3 average surface potential (V), esn 3 ground potential (V), esn 3 min surface potential (V), esn 3 max surface potential (V)
10.442997, -95.7989, -106.54773, -122.36124, -62.490345
20.983475, -300.50256, -335.34036, -378.1104, -206.19232
32.641376, -512.6958, -565.7373, -651.6689, -359.66736
49.23741, -739.4969, -813.48975, -886.88696, -576.2833
68.72825, -1097.4862, -1203.6923, -1279.176, -896.19977
79.26487, -1372.75, -1489.9016, -1638.4633, -1123.6798
117.57017, -1610.3518, -1809.0831, -1978.7734, -1231.87
128.20407, -2018.8458, -2243.5757, -2204.0476, -1806.8533
142.90712, -2268.2585, -2516.7676, -2472.4421, -2037.6525
210.2775, -2579.8396, -2956.643, -2940.7285, -2124.807
221.10936, -3047.752, -3447.5352, -3202.3198, -2860.6855
231.47845, -3283.8472, -3715.874, -3493.9458, -3028.2766
322.2836, -3720.4373, -4291.347, -4089.0015, -3214.134
335.1345, -4257.617, -4873.542, -4420.741, -4060.5654
416.29874, -4540.2, -5298.6553, -4832.647, -4137.226
428.19492, -4860.455, -5633.145, -5059.2466, -4616.274
512.8701, -5177.7363, -6030.277, -5507.3184, -4691.957
524.379, -5583.073, -6457.279, -5750.7993, -5371.044
602.626, -5840.874, -6868.763, -6227.2715, -5340.0825
686.9368, -6566.6084, -7457.2266, -6944.38, -6004.614
786.9368, -6885.1914, -7862.9614, -7397.6665, -6136.8936
886.9368, -7397.8394, -8278.132, -7955.951, -6527.71
986.9368, -7701.995, -8714.973, -8366.101, -6733.7954
1086.9369, -8226.974, -9140.773, -8953.149, -7165.9453
