Time (s), esn 6 surface potential difference wrt to esn ground(V)
10.004141, -62.530025
20.60349, -179.8274
31.736023, -308.2051
42.584393, -423.83997
54.993843, -559.05
65.314285, -662.67755
75.379776, -775.53687
89.25104, -886.37683
102.321465, -991.2867
112.98028, -1105.9652
126.77251, -1218.0367
142.59341, -1341.9034
169.59946, -1535.3257
181.3832, -1650.8962
193.43687, -1712.7474
212.64473, -1828.9851
224.34773, -1933.4653
241.98785, -2037.8926
260.51187, -2143.1904
271.9116, -2188.4167
283.54352, -2248.3628
298.2867, -2316.5552
309.19302, -2378.2725
320.75186, -2430.9849
332.57407, -2481.5366
347.3159, -2541.795
363.04065, -2602.8823
384.21808, -2662.2341
399.2076, -2729.664
415.37927, -2770.285
430.5317, -2819.4285
443.5159, -2868.3477
457.58667, -2912.1343
468.32144, -2939.6704
479.4181, -2966.629
493.498, -2999.9375
508.62622, -3033.917
528.36865, -3068.2324
542.2951, -3105.8203
577.1393, -3158.9873
606.07697, -3207.7554
619.93677, -3231.8967
632.38696, -3251.001
645.91327, -3267.7422
745.91327, -3378.421
766.0475, -3393.6155
777.7898, -3408.3604
877.7898, -3457.879
977.7898, -3513.6152
1077.7898, -3554.0303
