Time (s), variation of the average surface potential of esn 2 (s-1.V)
10.004141, -18.17726
20.60349, -45.964123
31.736023, -36.695324
42.584393, -27.549715
54.993843, -30.335176
65.314285, -46.38094
75.379776, -13.523998
89.25104, -37.8455
102.321465, -18.957146
112.98028, -22.377855
126.77251, -24.59229
142.59341, -25.030884
169.59946, -15.836624
181.3832, -26.25679
193.43687, -39.9653
212.64473, -15.824188
224.34773, -9.76876
241.98785, -16.113855
260.51187, -9.098466
271.9116, -42.012585
283.54352, -18.455086
298.2867, -15.315343
309.19302, -5.854282
320.75186, -16.568432
332.57407, -6.3709965
347.3159, -15.479701
363.04065, -6.503411
384.21808, -17.361645
399.2076, -6.2860265
415.37927, -12.5921955
430.5317, -11.854389
443.5159, -13.073982
457.58667, -4.3530593
468.32144, -12.434584
479.4181, -22.07618
493.498, -11.772945
508.62622, -2.7138438
528.36865, -11.842788
542.2951, -2.9869561
577.1393, -4.252276
606.07697, -5.809152
619.93677, -6.5544
632.38696, -9.974221
645.91327, -0.9387791
745.91327, -1.4324902
766.0475, -10.069146
777.7898, -1.079747
877.7898, -0.65558594
977.7898, -0.4157129
1077.7898, -0.18017578
