Time (s), variation of the average surface potential of esn 1 (s-1.V)
10.004141, -14.03716
20.60349, -39.68832
31.736023, -32.66947
42.584393, -24.079283
54.993843, -26.291834
65.314285, -42.769115
75.379776, -9.987007
89.25104, -34.3501
102.321465, -16.660158
112.98028, -17.875458
126.77251, -21.765053
142.59341, -22.207209
169.59946, -13.485019
181.3832, -23.877403
193.43687, -37.302128
212.64473, -13.8761835
224.34773, -7.681287
241.98785, -14.191857
260.51187, -7.5065966
271.9116, -40.38237
283.54352, -16.970926
298.2867, -14.018894
309.19302, -4.538566
320.75186, -15.545767
332.57407, -5.3824334
347.3159, -14.217181
363.04065, -5.435511
384.21808, -16.575941
399.2076, -5.79887
415.37927, -12.070057
430.5317, -11.137457
443.5159, -12.823076
457.58667, -3.8921504
468.32144, -12.231079
479.4181, -4.325101
493.498, -11.405206
508.62622, -2.527352
528.36865, -11.509641
542.2951, -2.89229
577.1393, -4.4910345
606.07697, -4.8293734
619.93677, -7.1893854
632.38696, -10.493322
645.91327, -1.2695863
745.91327, -2.011084
766.0475, -10.668251
777.7898, -1.6855296
877.7898, -1.4453906
977.7898, -1.4233105
1077.7898, -1.309004
