Energy (in eV), SEEE yield of material osr2k-NASCAP at incidence 0.0 degree
   X,       Y
2760.0, 1.2710444
2770.0, 1.267515
2780.0, 1.2640066
2790.0, 1.2605191
2800.0, 1.2570523
2810.0, 1.253606
2820.0, 1.2501798
2830.0, 1.246774
2840.0, 1.2433878
2850.0, 1.2400215
2860.0, 1.2366747
2870.0, 1.2333473
2880.0, 1.2300391
2890.0, 1.22675
2900.0, 1.2234796
2910.0, 1.2202282
2920.0, 1.2169952
2930.0, 1.2137805
2940.0, 1.2105843
2950.0, 1.2074059
2960.0, 1.2042457
2970.0, 1.201103
2980.0, 1.197978
2990.0, 1.1948705
3000.0, 1.1917803
