Time (s), esn 3 surface potential difference wrt to esn ground(V)
10.004141, -4.3159585
20.60349, 9.962175
31.736023, 27.294548
42.584393, 32.124153
54.993843, 42.910805
65.314285, 66.806305
75.379776, 94.12807
89.25104, 115.23225
102.321465, 128.46272
112.98028, 154.82166
126.77251, 179.0836
142.59341, 212.36382
169.59946, 236.53944
181.3832, 246.89746
193.43687, 262.43915
212.64473, 308.92856
224.34773, 341.00635
241.98785, 371.438
260.51187, 251.33594
271.9116, 283.9129
283.54352, 324.72696
298.2867, 372.42023
309.19302, 407.06592
320.75186, 435.98193
332.57407, 441.69043
347.3159, 465.0
363.04065, 470.91455
384.21808, 501.85648
399.2076, 535.0239
415.37927, 545.33374
430.5317, 562.5901
443.5159, 580.9385
457.58667, 591.8345
468.32144, 600.6216
479.4181, 613.3613
493.498, 629.61865
508.62622, 633.978
528.36865, 655.77155
542.2951, 675.2002
577.1393, 696.3409
606.07697, 729.6641
619.93677, 737.57056
632.38696, 760.4385
645.91327, 763.74805
745.91327, 888.83496
766.0475, 876.2899
777.7898, 872.66895
877.7898, 837.15625
977.7898, 965.5029
1077.7898, 1042.0293
