Energy (in eV), backscattering yield of material ka2k-NASCAP at isotropic incidence
   X,       Y
2720.0, 0.2697975
2730.0, 0.26965028
2740.0, 0.26950324
2750.0, 0.26935646
2760.0, 0.26920992
2770.0, 0.26906365
2780.0, 0.26891762
2790.0, 0.2687718
2800.0, 0.26862624
2810.0, 0.2684809
2820.0, 0.2683358
2830.0, 0.26819095
2840.0, 0.26804635
2850.0, 0.267902
2860.0, 0.26775786
2870.0, 0.26761395
2880.0, 0.2674703
2890.0, 0.26732686
2900.0, 0.2671837
2910.0, 0.26704076
2920.0, 0.26689804
2930.0, 0.26675552
2940.0, 0.2666133
2950.0, 0.2664713
2960.0, 0.26632953
2970.0, 0.26618797
2980.0, 0.26604667
2990.0, 0.2659056
3000.0, 0.26576474
3010.0, 0.26562414
3020.0, 0.26548377
3030.0, 0.2653436
3040.0, 0.2652037
3050.0, 0.26506403
3060.0, 0.2649246
3070.0, 0.26478538
3080.0, 0.26464638
3090.0, 0.26450762
3100.0, 0.26436907
3110.0, 0.2642308
3120.0, 0.2640927
3130.0, 0.26395488
3140.0, 0.26381728
3150.0, 0.2636799
3160.0, 0.2635427
3170.0, 0.2634058
3180.0, 0.2632691
3190.0, 0.2631326
3200.0, 0.26299638
3210.0, 0.26286033
3220.0, 0.26272452
3230.0, 0.26258898
3240.0, 0.2624536
3250.0, 0.2623185
3260.0, 0.26218358
3270.0, 0.2620489
3280.0, 0.26191443
3290.0, 0.26178023
3300.0, 0.2616462
3310.0, 0.26151243
3320.0, 0.26137885
3330.0, 0.26124552
3340.0, 0.26111242
3350.0, 0.2609795
3360.0, 0.26084682
3370.0, 0.26071438
3380.0, 0.26058212
3390.0, 0.26045015
3400.0, 0.26031834
3410.0, 0.26018676
3420.0, 0.2600554
3430.0, 0.25992426
3440.0, 0.25979334
3450.0, 0.25966263
3460.0, 0.25953215
3470.0, 0.2594019
3480.0, 0.25927183
3490.0, 0.259142
3500.0, 0.2590124
3510.0, 0.25888297
3520.0, 0.2587538
3530.0, 0.25862482
3540.0, 0.25849608
3550.0, 0.25836754
3560.0, 0.2582392
3570.0, 0.2581111
3580.0, 0.2579832
3590.0, 0.25785553
3600.0, 0.25772807
3610.0, 0.25760078
3620.0, 0.25747377
3630.0, 0.25734693
3640.0, 0.2572203
3650.0, 0.25709388
3660.0, 0.2569677
3670.0, 0.25684172
3680.0, 0.25671592
3690.0, 0.25659037
3700.0, 0.256465
3710.0, 0.25633985
3720.0, 0.25621492
3730.0, 0.2560902
3740.0, 0.25596568
3750.0, 0.25584137
3760.0, 0.25571725
3770.0, 0.2555934
3780.0, 0.25546968
3790.0, 0.2553462
3800.0, 0.25522292
3810.0, 0.25509986
3820.0, 0.25497702
3830.0, 0.25485435
3840.0, 0.2547319
3850.0, 0.25460967
3860.0, 0.2544876
3870.0, 0.2543658
3880.0, 0.25424418
3890.0, 0.25412273
3900.0, 0.25400153
3910.0, 0.2538805
3920.0, 0.2537597
3930.0, 0.25363907
3940.0, 0.25351867
3950.0, 0.25339848
3960.0, 0.2532785
3970.0, 0.2531587
3980.0, 0.25303906
3990.0, 0.25291967
4000.0, 0.25280046
4010.0, 0.2526815
4020.0, 0.2525627
4030.0, 0.2524441
4040.0, 0.25232568
4050.0, 0.25220752
4060.0, 0.2520895
4070.0, 0.2519717
4080.0, 0.2518541
4090.0, 0.2517367
4100.0, 0.2516195
4110.0, 0.25150248
4120.0, 0.2513857
4130.0, 0.25126907
4140.0, 0.25115266
4150.0, 0.2510364
4160.0, 0.25092041
4170.0, 0.25080457
4180.0, 0.25068894
4190.0, 0.2505735
4200.0, 0.25045824
4210.0, 0.2503432
4220.0, 0.25022835
4230.0, 0.2501137
4240.0, 0.24999923
4250.0, 0.24988495
4260.0, 0.24977088
4270.0, 0.24965699
4280.0, 0.2495433
4290.0, 0.24942978
4300.0, 0.24931647
4310.0, 0.24920337
4320.0, 0.24909042
4330.0, 0.24897769
4340.0, 0.24886514
4350.0, 0.24875279
4360.0, 0.24864064
4370.0, 0.24852866
4380.0, 0.24841687
4390.0, 0.24830528
4400.0, 0.24819386
4410.0, 0.24808265
4420.0, 0.24797161
4430.0, 0.24786079
4440.0, 0.24775013
4450.0, 0.24763966
4460.0, 0.24752939
4470.0, 0.2474193
4480.0, 0.24730939
4490.0, 0.24719967
4500.0, 0.24709015
4510.0, 0.2469808
4520.0, 0.24687165
4530.0, 0.24676266
4540.0, 0.24665388
4550.0, 0.24654527
4560.0, 0.24643685
4570.0, 0.24632862
4580.0, 0.24622057
4590.0, 0.2461127
4600.0, 0.24600501
4610.0, 0.24589752
4620.0, 0.24579018
4630.0, 0.24568307
4640.0, 0.24557611
4650.0, 0.24546935
4660.0, 0.24536276
4670.0, 0.24525635
4680.0, 0.24515012
4690.0, 0.24504408
4700.0, 0.24493822
