Energy (in eV), backscattering yield of material gr2k-NASCAP at incidence 20.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.013227642
70.0, 0.023499329
80.0, 0.03213398
90.0, 0.039603833
100.0, 0.046188757
110.0, 0.052074686
120.0, 0.057393108
130.0, 0.062240966
140.0, 0.066692024
150.0, 0.07080379
160.0, 0.074622
170.0, 0.07818371
180.0, 0.08151928
190.0, 0.08465401
200.0, 0.08760915
210.0, 0.09040271
220.0, 0.093050145
230.0, 0.09556475
240.0, 0.09795813
250.0, 0.10024039
260.0, 0.102420405
270.0, 0.10450609
280.0, 0.106504396
290.0, 0.10842161
300.0, 0.11026328
310.0, 0.112034485
320.0, 0.113739744
330.0, 0.11538318
340.0, 0.116968565
350.0, 0.11849927
360.0, 0.11997845
370.0, 0.121408984
380.0, 0.12279344
390.0, 0.12413429
400.0, 0.12543377
410.0, 0.12669395
420.0, 0.12791672
430.0, 0.12910388
440.0, 0.13025708
450.0, 0.1313779
460.0, 0.13246772
470.0, 0.13352793
480.0, 0.13455981
490.0, 0.13556449
500.0, 0.13654312
510.0, 0.13749674
520.0, 0.13842632
530.0, 0.1393328
540.0, 0.14021704
550.0, 0.14107987
560.0, 0.1419221
570.0, 0.1427444
580.0, 0.14354758
590.0, 0.14433222
600.0, 0.14509897
610.0, 0.14584844
620.0, 0.14658119
630.0, 0.14729777
640.0, 0.14799869
650.0, 0.14868446
660.0, 0.14935555
670.0, 0.15001239
680.0, 0.15065542
690.0, 0.15128505
700.0, 0.15190168
710.0, 0.15250567
720.0, 0.15309739
730.0, 0.15367717
740.0, 0.15424539
750.0, 0.15480231
760.0, 0.15534827
770.0, 0.15588354
780.0, 0.15640843
790.0, 0.1569232
800.0, 0.15742809
810.0, 0.1579234
820.0, 0.15840931
830.0, 0.15888609
840.0, 0.15935397
850.0, 0.15981315
860.0, 0.16026387
870.0, 0.16070627
880.0, 0.16114062
890.0, 0.16156705
900.0, 0.16198577
910.0, 0.16239695
920.0, 0.16280076
930.0, 0.16319738
940.0, 0.16358693
950.0, 0.1639696
960.0, 0.16434556
970.0, 0.16471492
980.0, 0.1650778
990.0, 0.16543439
1000.0, 0.16578478
1010.0, 0.16561228
1020.0, 0.1654401
1030.0, 0.16526824
