Time (s), variation of the average surface potential of esn 4 (s-1.V)
10.004141, -14.037159
20.60349, -39.688316
31.736023, -32.66947
42.584393, -24.079298
54.993843, -26.291775
65.314285, -42.769115
75.379776, -9.98702
89.25104, -34.34994
102.321465, -16.660223
112.98028, -17.875572
126.77251, -21.76507
142.59341, -22.207102
169.59946, -13.485001
181.3832, -23.877466
193.43687, -37.302128
212.64473, -13.876107
224.34773, -7.6813703
241.98785, -14.191913
260.51187, -7.5065436
271.9116, -40.382286
283.54352, -16.971052
298.2867, -14.018894
309.19302, -4.5387454
320.75186, -15.545429
332.57407, -5.3822684
347.3159, -14.217347
363.04065, -5.435635
384.21808, -16.575918
399.2076, -5.7986746
415.37927, -12.070087
430.5317, -11.137811
443.5159, -12.822436
457.58667, -3.8926015
468.32144, -12.231125
479.4181, -4.324837
493.498, -11.405136
508.62622, -2.527675
528.36865, -11.509344
542.2951, -2.89229
577.1393, -4.4911184
606.07697, -4.82934
619.93677, -7.189315
632.38696, -10.493244
645.91327, -1.2696586
745.91327, -2.0110743
766.0475, -10.668396
777.7898, -1.6857791
877.7898, -1.4453614
977.7898, -1.423379
1077.7898, -1.3088574
