Energy (in eV), SEEP yield of material osr2k-NASCAP at incidence 0.0 degree
   X,       Y
19200.0, 1.7657863
19400.0, 1.7727321
19600.0, 1.7796135
19800.0, 1.7864314
20000.0, 1.7931869
20200.0, 1.7998807
20400.0, 1.8065137
20600.0, 1.8130869
20800.0, 1.8196007
21000.0, 1.8260567
21200.0, 1.8324555
21400.0, 1.8387973
21600.0, 1.8450836
21800.0, 1.8513147
22000.0, 1.8574919
22200.0, 1.8636147
22400.0, 1.8696854
22600.0, 1.8757035
22800.0, 1.8816702
23000.0, 1.8875866
23200.0, 1.8934523
23400.0, 1.8992686
23600.0, 1.9050362
23800.0, 1.9107555
24000.0, 1.9164271
24200.0, 1.9220517
24400.0, 1.9276297
24600.0, 1.933162
24800.0, 1.938649
25000.0, 1.9440908
25200.0, 1.9494886
25400.0, 1.9548432
25600.0, 1.9601539
25800.0, 1.9654222
26000.0, 1.9706482
26200.0, 1.9758327
26400.0, 1.9809757
26600.0, 1.9860783
26800.0, 1.9911405
27000.0, 1.9961628
27200.0, 2.0011458
27400.0, 2.0060897
27600.0, 2.0109951
27800.0, 2.015863
28000.0, 2.0206926
28200.0, 2.0254853
28400.0, 2.030241
28600.0, 2.0349605
28800.0, 2.0396438
29000.0, 2.0442915
29200.0, 2.048904
29400.0, 2.0534816
29600.0, 2.0580244
29800.0, 2.0625336
30000.0, 2.0670083
30200.0, 2.0714502
30400.0, 2.0758586
30600.0, 2.0802343
30800.0, 2.0845776
31000.0, 2.0888884
31200.0, 2.0931678
31400.0, 2.097416
31600.0, 2.1016326
31800.0, 2.1058185
32000.0, 2.109974
32200.0, 2.114099
32400.0, 2.118194
32600.0, 2.1222596
32800.0, 2.126296
33000.0, 2.1303031
33200.0, 2.1342814
33400.0, 2.138231
33600.0, 2.142153
33800.0, 2.1460464
34000.0, 2.149912
34200.0, 2.1537507
34400.0, 2.1575618
34600.0, 2.1613462
34800.0, 2.1651037
35000.0, 2.168835
35200.0, 2.17254
35400.0, 2.176219
35600.0, 2.179872
35800.0, 2.1834998
36000.0, 2.1871026
36200.0, 2.1906798
36400.0, 2.1942325
36600.0, 2.1977606
36800.0, 2.2012644
37000.0, 2.2047439
37200.0, 2.2081993
37400.0, 2.211631
37600.0, 2.2150397
37800.0, 2.2184246
38000.0, 2.2217863
38200.0, 2.2251253
38400.0, 2.2284417
38600.0, 2.2317357
38800.0, 2.235007
39000.0, 2.2382562
39200.0, 2.2414837
39400.0, 2.2446892
39600.0, 2.247873
39800.0, 2.2510357
40000.0, 2.254177
40200.0, 2.2572973
40400.0, 2.2603967
40600.0, 2.2634754
40800.0, 2.2665339
41000.0, 2.2695718
41200.0, 2.2725892
41400.0, 2.2755866
41600.0, 2.2785647
41800.0, 2.2815228
42000.0, 2.2844613
42200.0, 2.2873805
42400.0, 2.29028
42600.0, 2.2931612
42800.0, 2.296023
43000.0, 2.298866
43200.0, 2.3016906
43400.0, 2.3044965
43600.0, 2.3072844
43800.0, 2.3100538
44000.0, 2.3128052
44200.0, 2.3155386
44400.0, 2.3182545
44600.0, 2.3209524
44800.0, 2.3236334
45000.0, 2.3262966
45200.0, 2.3289425
45400.0, 2.3315716
45600.0, 2.3341832
45800.0, 2.3367784
46000.0, 2.3393571
46200.0, 2.341919
46400.0, 2.344464
46600.0, 2.3469932
46800.0, 2.3495061
47000.0, 2.3520029
47200.0, 2.3544838
47400.0, 2.3569486
47600.0, 2.359398
47800.0, 2.3618312
48000.0, 2.3642495
48200.0, 2.3666523
48400.0, 2.3690395
48600.0, 2.3714118
48800.0, 2.373769
49000.0, 2.3761113
49200.0, 2.3784387
49400.0, 2.3807511
49600.0, 2.3830495
49800.0, 2.3853328
50000.0, 2.3876019
50200.0, 2.3898568
50400.0, 2.3920975
50600.0, 2.3943238
50800.0, 2.3965364
51000.0, 2.398735
51200.0, 2.4009194
51400.0, 2.4030907
51600.0, 2.4052482
51800.0, 2.4073918
52000.0, 2.4095223
52200.0, 2.4116395
52400.0, 2.4137435
52600.0, 2.4158342
52800.0, 2.417912
53000.0, 2.4199765
53200.0, 2.4220283
53400.0, 2.4240673
53600.0, 2.4260938
53800.0, 2.4281073
54000.0, 2.4301085
54200.0, 2.4320972
54400.0, 2.4340737
54600.0, 2.4360375
54800.0, 2.4379897
55000.0, 2.4399295
55200.0, 2.4418573
55400.0, 2.4437728
55600.0, 2.4456768
55800.0, 2.4475691
56000.0, 2.4494493
56200.0, 2.4513183
56400.0, 2.4531755
56600.0, 2.4550211
56800.0, 2.4568555
57000.0, 2.4586782
57200.0, 2.4604902
57400.0, 2.4622908
57600.0, 2.46408
57800.0, 2.4658587
58000.0, 2.467626
58200.0, 2.4693828
58400.0, 2.4711282
58600.0, 2.4728632
58800.0, 2.4745872
59000.0, 2.4763012
59200.0, 2.4780042
59400.0, 2.479697
59600.0, 2.481379
59800.0, 2.483051
60000.0, 2.4847126
60200.0, 2.486364
60400.0, 2.4880054
60600.0, 2.4896362
60800.0, 2.4912574
61000.0, 2.4928687
61200.0, 2.49447
61400.0, 2.4960613
61600.0, 2.497643
61800.0, 2.4992151
62000.0, 2.5007772
62200.0, 2.5023298
62400.0, 2.503873
62600.0, 2.5054066
62800.0, 2.5069313
63000.0, 2.508446
63200.0, 2.5099518
63400.0, 2.5114481
63600.0, 2.5129354
63800.0, 2.5144134
64000.0, 2.5158823
64200.0, 2.5173426
64400.0, 2.5187936
64600.0, 2.5202355
64800.0, 2.521669
65000.0, 2.5230935
65200.0, 2.5245092
65400.0, 2.525916
65600.0, 2.527315
65800.0, 2.5287046
66000.0, 2.5300863
66200.0, 2.531459
66400.0, 2.532823
66600.0, 2.5341792
66800.0, 2.5355272
67000.0, 2.5368664
67200.0, 2.5381975
67400.0, 2.5395205
67600.0, 2.5408356
67800.0, 2.5421422
68000.0, 2.543441
68200.0, 2.5447319
68400.0, 2.5460145
68600.0, 2.5472896
68800.0, 2.5485566
69000.0, 2.5498157
69200.0, 2.5510674
69400.0, 2.552311
69600.0, 2.553547
69800.0, 2.5547757
70000.0, 2.5559964
70200.0, 2.55721
70400.0, 2.558416
70600.0, 2.5596142
70800.0, 2.5608053
71000.0, 2.5619888
71200.0, 2.5631652
71400.0, 2.5643344
71600.0, 2.5654962
71800.0, 2.5666509
72000.0, 2.5677984
72200.0, 2.568939
72400.0, 2.5700722
72600.0, 2.5711985
72800.0, 2.5723178
73000.0, 2.5734298
73200.0, 2.5745354
73400.0, 2.575634
73600.0, 2.5767257
73800.0, 2.5778108
74000.0, 2.578889
74200.0, 2.5799603
74400.0, 2.581025
74600.0, 2.582083
74800.0, 2.5831347
75000.0, 2.5841796
75200.0, 2.585218
75400.0, 2.58625
75600.0, 2.5872755
75800.0, 2.5882945
76000.0, 2.5893073
76200.0, 2.5903134
76400.0, 2.5913136
76600.0, 2.5923073
76800.0, 2.5932949
77000.0, 2.594276
77200.0, 2.595251
77400.0, 2.59622
77600.0, 2.597183
77800.0, 2.5981395
78000.0, 2.5990899
78200.0, 2.600035
78400.0, 2.6009736
78600.0, 2.601906
78800.0, 2.602833
79000.0, 2.603754
79200.0, 2.604669
79400.0, 2.6055784
79600.0, 2.606482
79800.0, 2.6073797
80000.0, 2.6082716
80200.0, 2.6091583
80400.0, 2.6100388
80600.0, 2.6109138
80800.0, 2.6117833
81000.0, 2.6126475
81200.0, 2.6135058
81400.0, 2.6143584
81600.0, 2.6152055
81800.0, 2.6160476
82000.0, 2.616884
82200.0, 2.6177154
82400.0, 2.6185408
82600.0, 2.6193612
82800.0, 2.6201763
83000.0, 2.6209862
83200.0, 2.6217906
83400.0, 2.62259
83600.0, 2.623384
83800.0, 2.6241732
84000.0, 2.624957
84200.0, 2.6257355
84400.0, 2.626509
84600.0, 2.6272776
84800.0, 2.6280413
85000.0, 2.6287994
85200.0, 2.629553
85400.0, 2.6303017
85600.0, 2.6310453
85800.0, 2.631784
86000.0, 2.6325178
86200.0, 2.6332467
86400.0, 2.633971
86600.0, 2.6346905
86800.0, 2.6354048
87000.0, 2.6361148
87200.0, 2.6368196
87400.0, 2.63752
87600.0, 2.6382158
87800.0, 2.6389067
88000.0, 2.6395936
88200.0, 2.6402752
88400.0, 2.6409523
88600.0, 2.6416252
88800.0, 2.6422932
89000.0, 2.6429567
89200.0, 2.643616
89400.0, 2.6442702
89600.0, 2.6449208
89800.0, 2.6455665
90000.0, 2.6462076
90200.0, 2.646845
90400.0, 2.6474774
90600.0, 2.6481059
90800.0, 2.6487298
91000.0, 2.6493495
91200.0, 2.649965
91400.0, 2.650576
91600.0, 2.6511834
91800.0, 2.6517859
92000.0, 2.6523845
92200.0, 2.6529787
92400.0, 2.653569
92600.0, 2.6541553
92800.0, 2.6547372
93000.0, 2.6553154
93200.0, 2.655889
93400.0, 2.6564589
93600.0, 2.6570249
93800.0, 2.6575866
94000.0, 2.6581445
94200.0, 2.6586986
94400.0, 2.6592486
94600.0, 2.6597946
94800.0, 2.660337
