Energy (in eV), backscattering yield of material ka2k-NASCAP at incidence 20.0 degree
   X,       Y
0.0, 0.52134395
10.0, 0.20371407
20.0, 0.07960085
30.0, 0.031103866
40.0, 0.012153772
50.0, 0.004749061
60.0, 0.013958446
70.0, 0.022611136
80.0, 0.0303666
90.0, 0.03725118
100.0, 0.04338409
110.0, 0.048888903
120.0, 0.053870726
130.0, 0.05841397
140.0, 0.06258555
150.0, 0.0664386
160.0, 0.0700158
170.0, 0.07335185
180.0, 0.07647526
190.0, 0.07940978
200.0, 0.08217539
210.0, 0.08478901
220.0, 0.087265186
230.0, 0.0896164
240.0, 0.09185358
250.0, 0.093986206
260.0, 0.096022636
270.0, 0.0979703
280.0, 0.09983577
290.0, 0.10162491
300.0, 0.10334298
310.0, 0.10499472
320.0, 0.1065844
330.0, 0.1081159
340.0, 0.109592766
350.0, 0.11101816
360.0, 0.11239506
370.0, 0.113726154
380.0, 0.115013905
390.0, 0.11626058
400.0, 0.11746833
410.0, 0.11863905
420.0, 0.11977459
430.0, 0.120876595
440.0, 0.12194661
450.0, 0.122986145
460.0, 0.123996496
470.0, 0.12497897
480.0, 0.12593475
490.0, 0.12686495
500.0, 0.1277706
510.0, 0.12865269
520.0, 0.12951216
530.0, 0.13034987
540.0, 0.13116664
550.0, 0.13196325
560.0, 0.13274047
570.0, 0.13349892
580.0, 0.13423935
590.0, 0.13496232
600.0, 0.13566844
610.0, 0.13635829
620.0, 0.13703239
630.0, 0.13769129
640.0, 0.1383354
650.0, 0.13896528
660.0, 0.13958131
670.0, 0.14018393
680.0, 0.14077353
690.0, 0.14135054
700.0, 0.14191528
710.0, 0.14246812
720.0, 0.14300942
730.0, 0.14353947
740.0, 0.14405863
750.0, 0.14456715
760.0, 0.14506534
770.0, 0.14555347
780.0, 0.14603183
790.0, 0.14650066
800.0, 0.14696017
810.0, 0.14741068
820.0, 0.14785233
830.0, 0.14828539
840.0, 0.14871006
850.0, 0.14912654
860.0, 0.14953505
870.0, 0.14993572
880.0, 0.15032881
890.0, 0.15071447
900.0, 0.15109287
910.0, 0.15146413
920.0, 0.15182851
930.0, 0.15218608
940.0, 0.152537
950.0, 0.15288146
960.0, 0.1532196
970.0, 0.1535515
980.0, 0.15387735
990.0, 0.15419723
1000.0, 0.1545113
1010.0, 0.154338
1020.0, 0.15416504
1030.0, 0.15399241
1040.0, 0.15382011
1050.0, 0.15364815
1060.0, 0.1534765
1070.0, 0.15330522
1080.0, 0.15313424
1090.0, 0.15296361
1100.0, 0.15279329
1110.0, 0.1526233
1120.0, 0.15245363
1130.0, 0.15228431
1140.0, 0.1521153
1150.0, 0.15194662
1160.0, 0.15177827
1170.0, 0.15161023
1180.0, 0.15144253
1190.0, 0.15127514
