Energy (in eV), SEEE yield of material sc2k-NASCAP at incidence 90.0 degree
   X,       Y
2870.0, 7.057652
2880.0, 7.042203
2890.0, 7.0268035
2900.0, 7.011455
2910.0, 6.996157
2920.0, 6.9809093
2930.0, 6.9657135
2940.0, 6.9505696
2950.0, 6.935476
2960.0, 6.9204364
2970.0, 6.905447
2980.0, 6.890511
2990.0, 6.875628
3000.0, 6.8607993
