Energy (in eV), backscattering yield of material gr2k-NASCAP at isotropic incidence
   X,       Y
2730.0, 0.2829853
2740.0, 0.2828428
2750.0, 0.2827005
2760.0, 0.28255844
2770.0, 0.28241664
2780.0, 0.28227508
2790.0, 0.28213373
2800.0, 0.28199264
2810.0, 0.2818518
2820.0, 0.28171116
2830.0, 0.2815708
2840.0, 0.28143063
2850.0, 0.2812907
2860.0, 0.28115106
2870.0, 0.2810116
2880.0, 0.2808724
2890.0, 0.28073344
2900.0, 0.2805947
2910.0, 0.2804562
2920.0, 0.2803179
2930.0, 0.2801799
2940.0, 0.28004208
2950.0, 0.27990448
2960.0, 0.27976716
2970.0, 0.27963004
2980.0, 0.27949318
2990.0, 0.2793565
3000.0, 0.2792201
3010.0, 0.2790839
3020.0, 0.27894795
3030.0, 0.27881223
3040.0, 0.27867672
3050.0, 0.27854145
3060.0, 0.2784064
3070.0, 0.2782716
3080.0, 0.278137
3090.0, 0.27800262
3100.0, 0.2778685
3110.0, 0.2777346
3120.0, 0.27760094
3130.0, 0.27746746
3140.0, 0.27733424
3150.0, 0.27720124
3160.0, 0.27706847
3170.0, 0.2769359
3180.0, 0.27680358
3190.0, 0.27667147
3200.0, 0.2765396
3210.0, 0.27640793
3220.0, 0.2762765
3230.0, 0.27614528
3240.0, 0.2760143
3250.0, 0.27588353
3260.0, 0.275753
3270.0, 0.27562267
3280.0, 0.27549255
3290.0, 0.2753627
3300.0, 0.27523303
3310.0, 0.27510357
3320.0, 0.27497435
3330.0, 0.27484533
3340.0, 0.27471656
3350.0, 0.274588
3360.0, 0.27445963
3370.0, 0.2743315
3380.0, 0.27420357
3390.0, 0.2740759
3400.0, 0.27394843
3410.0, 0.27382115
3420.0, 0.2736941
3430.0, 0.27356726
3440.0, 0.27344063
3450.0, 0.27331427
3460.0, 0.27318805
3470.0, 0.27306208
3480.0, 0.27293634
3490.0, 0.2728108
3500.0, 0.27268547
3510.0, 0.27256036
3520.0, 0.27243546
3530.0, 0.27231076
3540.0, 0.27218628
3550.0, 0.272062
3560.0, 0.27193797
3570.0, 0.27181414
3580.0, 0.2716905
3590.0, 0.27156705
3600.0, 0.27144384
3610.0, 0.27132085
3620.0, 0.27119806
3630.0, 0.2710755
3640.0, 0.27095312
3650.0, 0.27083096
3660.0, 0.27070898
3670.0, 0.27058727
3680.0, 0.27046573
3690.0, 0.27034438
3700.0, 0.27022326
3710.0, 0.27010232
3720.0, 0.26998162
3730.0, 0.26986113
3740.0, 0.26974082
3750.0, 0.26962075
3760.0, 0.26950085
3770.0, 0.26938117
3780.0, 0.2692617
3790.0, 0.2691424
3800.0, 0.26902333
3810.0, 0.26890448
3820.0, 0.2687858
3830.0, 0.26866737
3840.0, 0.26854908
