Energy (in eV), backscattering yield of material te2k-NASCAP at incidence 10.0 degree
   X,       Y
0.0, 0.5052931
10.0, 0.18873253
20.0, 0.07049368
30.0, 0.026330167
40.0, 0.009834609
50.0, 0.0036733348
60.0, 0.012731313
70.0, 0.021342155
80.0, 0.02914095
90.0, 0.036126614
100.0, 0.042397004
110.0, 0.048061218
120.0, 0.05321504
130.0, 0.057936944
140.0, 0.062290043
150.0, 0.06632506
160.0, 0.07008314
170.0, 0.07359797
180.0, 0.07689746
190.0, 0.08000495
200.0, 0.082940236
210.0, 0.085720114
220.0, 0.0883591
230.0, 0.09086968
240.0, 0.09326283
250.0, 0.095548116
260.0, 0.09773397
270.0, 0.09982794
280.0, 0.101836644
290.0, 0.1037661
300.0, 0.105621636
310.0, 0.10740811
320.0, 0.10912989
330.0, 0.11079093
340.0, 0.11239489
350.0, 0.113945015
360.0, 0.11544437
370.0, 0.11689573
380.0, 0.1183016
390.0, 0.11966437
400.0, 0.120986216
410.0, 0.122269146
420.0, 0.12351504
430.0, 0.12472563
440.0, 0.12590252
450.0, 0.12704724
460.0, 0.12816118
470.0, 0.1292457
480.0, 0.13030198
490.0, 0.13133124
500.0, 0.13233453
510.0, 0.13331288
520.0, 0.13426727
530.0, 0.13519862
540.0, 0.13610776
550.0, 0.13699554
560.0, 0.13786271
570.0, 0.13870998
580.0, 0.1395381
590.0, 0.14034767
600.0, 0.14113934
610.0, 0.1419137
620.0, 0.1426713
630.0, 0.14341271
640.0, 0.14413841
650.0, 0.1448489
660.0, 0.14554465
670.0, 0.14622611
680.0, 0.14689368
690.0, 0.14754781
700.0, 0.14818887
710.0, 0.1488172
720.0, 0.14943323
730.0, 0.1500372
740.0, 0.15062957
750.0, 0.15121053
760.0, 0.15178046
770.0, 0.15233962
780.0, 0.15288834
790.0, 0.15342686
800.0, 0.1539554
810.0, 0.15447427
820.0, 0.15498367
830.0, 0.15548384
840.0, 0.15597504
850.0, 0.15645744
860.0, 0.1569313
870.0, 0.15739676
880.0, 0.15785407
890.0, 0.15830337
900.0, 0.15874489
910.0, 0.15917876
920.0, 0.15960522
930.0, 0.16002434
940.0, 0.16043636
950.0, 0.1608414
960.0, 0.16123962
970.0, 0.16163115
980.0, 0.16201617
990.0, 0.16239476
1000.0, 0.16276707
1010.0, 0.16260141
1020.0, 0.16243607
1030.0, 0.16227105
1040.0, 0.16210635
1050.0, 0.16194199
1060.0, 0.16177796
1070.0, 0.16161424
1080.0, 0.16145083
1090.0, 0.16128778
1100.0, 0.16112505
1110.0, 0.16096261
1120.0, 0.16080052
1130.0, 0.16063875
1140.0, 0.1604773
1150.0, 0.16031615
1160.0, 0.16015534
1170.0, 0.15999486
