Energy (in eV), backscattering yield of material ka2k-NASCAP at incidence 60.0 degree
   X,       Y
0.0, 0.70710677
10.0, 0.42888197
20.0, 0.26013008
30.0, 0.15777686
40.0, 0.09569651
50.0, 0.05804287
60.0, 0.10301216
70.0, 0.1331537
80.0, 0.15577577
90.0, 0.1736679
100.0, 0.18833834
110.0, 0.20069817
120.0, 0.21133284
130.0, 0.22063647
140.0, 0.22888497
150.0, 0.23627788
160.0, 0.24296387
170.0, 0.2490565
180.0, 0.2546443
190.0, 0.25979763
200.0, 0.2645734
210.0, 0.26901805
220.0, 0.2731702
230.0, 0.27706206
240.0, 0.28072107
250.0, 0.28417042
260.0, 0.28743017
270.0, 0.2905177
280.0, 0.29344812
290.0, 0.29623467
300.0, 0.29888898
310.0, 0.30142143
320.0, 0.30384117
330.0, 0.30615646
340.0, 0.3083746
350.0, 0.3105023
360.0, 0.31254545
370.0, 0.31450954
380.0, 0.31639946
390.0, 0.3182197
400.0, 0.3199744
410.0, 0.32166725
420.0, 0.3233018
430.0, 0.32488117
440.0, 0.32640824
450.0, 0.3278858
460.0, 0.32931632
470.0, 0.33070213
480.0, 0.3320454
490.0, 0.33334818
500.0, 0.33461225
510.0, 0.33583945
520.0, 0.3370314
530.0, 0.33818957
540.0, 0.33931547
550.0, 0.3404104
560.0, 0.34147573
570.0, 0.34251252
580.0, 0.343522
590.0, 0.3445052
600.0, 0.3454631
610.0, 0.34639665
620.0, 0.3473068
630.0, 0.34819436
640.0, 0.34906012
650.0, 0.34990487
660.0, 0.35072935
670.0, 0.35153425
680.0, 0.3523202
690.0, 0.3530878
700.0, 0.35383776
710.0, 0.3545705
720.0, 0.3552867
730.0, 0.35598674
740.0, 0.35667127
750.0, 0.35734063
760.0, 0.35799533
770.0, 0.35863578
780.0, 0.35926244
790.0, 0.3598757
800.0, 0.3604759
810.0, 0.36106342
820.0, 0.36163864
830.0, 0.36220184
840.0, 0.36275342
850.0, 0.36329365
860.0, 0.36382282
870.0, 0.36434123
880.0, 0.36484915
890.0, 0.36534688
900.0, 0.36583465
910.0, 0.3663127
920.0, 0.36678132
930.0, 0.3672407
940.0, 0.36769104
950.0, 0.36813262
960.0, 0.36856562
970.0, 0.36899024
980.0, 0.36940664
990.0, 0.36981505
1000.0, 0.37021565
1010.0, 0.36999467
1020.0, 0.36977398
1030.0, 0.36955363
1040.0, 0.36933354
1050.0, 0.36911377
1060.0, 0.36889434
1070.0, 0.3686752
1080.0, 0.36845636
1090.0, 0.36823785
1100.0, 0.3680196
1110.0, 0.3678017
1120.0, 0.3675841
1130.0, 0.36736682
1140.0, 0.36714983
1150.0, 0.36693314
1160.0, 0.36671674
1170.0, 0.36650065
1180.0, 0.3662849
1190.0, 0.36606944
1200.0, 0.36585426
1210.0, 0.36563942
1220.0, 0.36542487
1230.0, 0.3652106
1240.0, 0.36499664
1250.0, 0.36478302
1260.0, 0.36456963
1270.0, 0.3643566
1280.0, 0.36414388
1290.0, 0.36393142
1300.0, 0.36371928
1310.0, 0.36350745
1320.0, 0.36329588
1330.0, 0.36308467
1340.0, 0.3628737
1350.0, 0.36266306
1360.0, 0.36245275
1370.0, 0.36224267
1380.0, 0.36203295
1390.0, 0.3618235
1400.0, 0.36161435
1410.0, 0.3614055
1420.0, 0.36119694
1430.0, 0.36098868
1440.0, 0.36078072
1450.0, 0.36057302
1460.0, 0.36036566
1470.0, 0.3601586
1480.0, 0.3599518
1490.0, 0.35974532
1500.0, 0.35953912
1510.0, 0.35933322
1520.0, 0.3591276
1530.0, 0.3589223
1540.0, 0.35871726
1550.0, 0.35851255
1560.0, 0.35830814
1570.0, 0.35810396
1580.0, 0.3579001
1590.0, 0.35769656
1600.0, 0.3574933
1610.0, 0.35729033
1620.0, 0.35708764
1630.0, 0.35688525
1640.0, 0.35668314
1650.0, 0.3564813
1660.0, 0.3562798
1670.0, 0.35607857
1680.0, 0.3558776
1690.0, 0.35567695
1700.0, 0.35547656
1710.0, 0.35527647
1720.0, 0.3550767
1730.0, 0.35487717
1740.0, 0.35467795
1750.0, 0.354479
1760.0, 0.35428035
1770.0, 0.354082
1780.0, 0.3538839
1790.0, 0.3536861
1800.0, 0.3534886
1810.0, 0.35329136
1820.0, 0.35309443
1830.0, 0.3528978
1840.0, 0.3527014
1850.0, 0.3525053
1860.0, 0.3523095
1870.0, 0.35211396
1880.0, 0.35191873
1890.0, 0.35172376
1900.0, 0.3515291
1910.0, 0.3513347
1920.0, 0.3511406
1930.0, 0.35094672
1940.0, 0.3507532
1950.0, 0.3505599
1960.0, 0.35036692
1970.0, 0.3501742
1980.0, 0.34998176
1990.0, 0.3497896
2000.0, 0.34959772
2010.0, 0.34940612
2020.0, 0.3492148
2030.0, 0.34902376
2040.0, 0.34883296
2050.0, 0.34864247
2060.0, 0.34845227
2070.0, 0.34826234
2080.0, 0.34807268
2090.0, 0.34788328
2100.0, 0.3476942
2110.0, 0.34750533
2120.0, 0.34731677
2130.0, 0.3471285
2140.0, 0.3469405
2150.0, 0.34675276
2160.0, 0.34656528
2170.0, 0.3463781
2180.0, 0.34619117
2190.0, 0.34600455
2200.0, 0.34581816
2210.0, 0.34563205
2220.0, 0.34544623
2230.0, 0.34526068
2240.0, 0.3450754
2250.0, 0.3448904
2260.0, 0.34470564
2270.0, 0.34452116
2280.0, 0.34433696
2290.0, 0.34415302
2300.0, 0.34396937
2310.0, 0.34378597
2320.0, 0.34360284
2330.0, 0.34342
2340.0, 0.3432374
2350.0, 0.34305507
2360.0, 0.342873
2370.0, 0.34269124
2380.0, 0.34250972
2390.0, 0.34232846
2400.0, 0.34214747
2410.0, 0.34196675
2420.0, 0.3417863
