Energy (in eV), SEEP yield of material np2k-NASCAP at incidence 0.0 degree
   X,       Y
53400.0, 2.4240673
53600.0, 2.4260936
53800.0, 2.4281075
54000.0, 2.4301088
54200.0, 2.4320972
54400.0, 2.434074
54600.0, 2.4360378
54800.0, 2.4379897
55000.0, 2.4399292
55200.0, 2.4418573
55400.0, 2.4437728
55600.0, 2.445677
55800.0, 2.447569
56000.0, 2.4494493
56200.0, 2.4513183
56400.0, 2.4531755
56600.0, 2.4550211
56800.0, 2.4568555
57000.0, 2.4586782
57200.0, 2.4604902
57400.0, 2.4622908
57600.0, 2.46408
57800.0, 2.4658587
58000.0, 2.467626
58200.0, 2.4693825
58400.0, 2.4711285
58600.0, 2.4728632
58800.0, 2.4745874
59000.0, 2.4763014
59200.0, 2.4780045
59400.0, 2.479697
59600.0, 2.4813793
59800.0, 2.483051
60000.0, 2.4847126
60200.0, 2.4863641
60400.0, 2.4880054
60600.0, 2.4896362
60800.0, 2.4912574
61000.0, 2.4928687
61200.0, 2.49447
61400.0, 2.4960616
61600.0, 2.497643
61800.0, 2.499215
62000.0, 2.5007775
62200.0, 2.5023298
62400.0, 2.5038733
62600.0, 2.5054066
62800.0, 2.506931
63000.0, 2.508446
63200.0, 2.509952
63400.0, 2.5114481
63600.0, 2.5129354
63800.0, 2.5144136
64000.0, 2.5158825
64200.0, 2.517342
64400.0, 2.5187936
64600.0, 2.5202358
64800.0, 2.521669
65000.0, 2.5230935
65200.0, 2.5245092
65400.0, 2.525916
65600.0, 2.5273147
65800.0, 2.5287044
66000.0, 2.5300863
66200.0, 2.5314586
66400.0, 2.5328233
66600.0, 2.5341792
66800.0, 2.5355272
67000.0, 2.5368662
67200.0, 2.5381975
67400.0, 2.5395205
67600.0, 2.5408356
67800.0, 2.5421422
68000.0, 2.5434408
68200.0, 2.5447316
68400.0, 2.5460145
68600.0, 2.5472896
68800.0, 2.5485563
69000.0, 2.549816
69200.0, 2.5510674
69400.0, 2.5523114
69600.0, 2.5535471
69800.0, 2.5547755
70000.0, 2.5559964
70200.0, 2.5572097
70400.0, 2.5584157
70600.0, 2.559614
70800.0, 2.5608053
71000.0, 2.5619888
71200.0, 2.5631654
71400.0, 2.5643342
71600.0, 2.5654962
71800.0, 2.566651
72000.0, 2.5677984
72200.0, 2.5689387
72400.0, 2.5700722
72600.0, 2.5711987
72800.0, 2.5723176
73000.0, 2.5734298
73200.0, 2.5745356
73400.0, 2.5756342
73600.0, 2.576726
73800.0, 2.5778105
74000.0, 2.578889
74200.0, 2.5799603
74400.0, 2.5810254
74600.0, 2.582083
74800.0, 2.5831347
75000.0, 2.5841796
75200.0, 2.585218
75400.0, 2.5862498
75600.0, 2.5872753
75800.0, 2.5882943
76000.0, 2.589307
76200.0, 2.5903134
76400.0, 2.5913134
76600.0, 2.5923073
76800.0, 2.5932949
77000.0, 2.594276
77200.0, 2.5952508
77400.0, 2.59622
77600.0, 2.597183
77800.0, 2.5981395
78000.0, 2.5990903
78200.0, 2.600035
78400.0, 2.6009736
78600.0, 2.6019063
78800.0, 2.602833
79000.0, 2.6037545
79200.0, 2.604669
79400.0, 2.6055787
79600.0, 2.6064823
79800.0, 2.6073797
80000.0, 2.6082716
80200.0, 2.609158
80400.0, 2.6100388
80600.0, 2.6109138
80800.0, 2.6117833
81000.0, 2.6126473
81200.0, 2.6135056
81400.0, 2.6143584
81600.0, 2.6152055
81800.0, 2.6160476
82000.0, 2.616884
82200.0, 2.6177154
82400.0, 2.6185408
82600.0, 2.6193612
82800.0, 2.6201763
83000.0, 2.6209862
83200.0, 2.6217906
83400.0, 2.6225903
83600.0, 2.623384
83800.0, 2.6241732
84000.0, 2.6249568
84200.0, 2.6257355
84400.0, 2.626509
84600.0, 2.6272776
84800.0, 2.6280413
85000.0, 2.6287997
85200.0, 2.629553
85400.0, 2.6303017
85600.0, 2.631045
85800.0, 2.631784
86000.0, 2.6325176
86200.0, 2.6332467
86400.0, 2.633971
86600.0, 2.6346905
86800.0, 2.6354046
87000.0, 2.6361148
87200.0, 2.6368198
87400.0, 2.63752
87600.0, 2.6382158
87800.0, 2.638907
88000.0, 2.6395936
88200.0, 2.6402752
88400.0, 2.6409523
88600.0, 2.6416252
88800.0, 2.642293
89000.0, 2.6429567
89200.0, 2.643616
89400.0, 2.6442704
89600.0, 2.6449208
89800.0, 2.6455667
90000.0, 2.6462078
90200.0, 2.6468449
90400.0, 2.6474774
90600.0, 2.648106
90800.0, 2.64873
91000.0, 2.6493495
91200.0, 2.6499653
91400.0, 2.650576
91600.0, 2.6511831
91800.0, 2.651786
92000.0, 2.6523843
92200.0, 2.6529787
92400.0, 2.653569
92600.0, 2.6541553
92800.0, 2.6547372
93000.0, 2.6553152
93200.0, 2.6558893
93400.0, 2.6564593
93600.0, 2.657025
93800.0, 2.6575866
94000.0, 2.6581442
94200.0, 2.6586986
94400.0, 2.6592486
94600.0, 2.6597946
94800.0, 2.660337
95000.0, 2.660875
95200.0, 2.6614094
95400.0, 2.6619399
95600.0, 2.6624668
95800.0, 2.6629894
96000.0, 2.663509
96200.0, 2.664024
96400.0, 2.664536
96600.0, 2.6650438
96800.0, 2.665548
97000.0, 2.6660488
97200.0, 2.6665454
97400.0, 2.6670387
97600.0, 2.6675282
97800.0, 2.6680143
98000.0, 2.6684964
98200.0, 2.668975
98400.0, 2.66945
98600.0, 2.6699219
98800.0, 2.6703901
99000.0, 2.6708546
99200.0, 2.671316
99400.0, 2.6717732
99600.0, 2.6722274
99800.0, 2.672678
100000.0, 2.6731253
