Energy (in eV), SEEP yield of material ka2k-NASCAP at isotropic incidence
   X,       Y
54200.0, 4.858509
54400.0, 4.862473
54600.0, 4.866413
54800.0, 4.8703284
55000.0, 4.87422
55200.0, 4.878087
55400.0, 4.88193
55600.0, 4.88575
55800.0, 4.8895454
56000.0, 4.8933167
56200.0, 4.8970666
56400.0, 4.900792
56600.0, 4.9044952
56800.0, 4.908174
57000.0, 4.9118314
57200.0, 4.9154663
57400.0, 4.9190784
57600.0, 4.922668
57800.0, 4.926237
58000.0, 4.9297824
58200.0, 4.9333067
58400.0, 4.9368086
58600.0, 4.94029
58800.0, 4.943749
59000.0, 4.947188
59200.0, 4.9506044
59400.0, 4.9540005
59600.0, 4.957376
59800.0, 4.9607306
60000.0, 4.964065
60200.0, 4.9673777
60400.0, 4.970671
60600.0, 4.9739437
60800.0, 4.9771976
61000.0, 4.98043
61200.0, 4.983643
61400.0, 4.986837
61600.0, 4.99001
61800.0, 4.9931645
62000.0, 4.9962997
62200.0, 4.999415
62400.0, 5.0025125
62600.0, 5.00559
62800.0, 5.0086493
63000.0, 5.0116887
63200.0, 5.014711
63400.0, 5.017713
63600.0, 5.0206976
63800.0, 5.023664
64000.0, 5.0266123
64200.0, 5.029542
64400.0, 5.0324545
64600.0, 5.035349
64800.0, 5.0382257
65000.0, 5.041085
65200.0, 5.0439262
65400.0, 5.0467505
65600.0, 5.0495577
65800.0, 5.0523467
66000.0, 5.0551195
66200.0, 5.0578747
66400.0, 5.060613
66600.0, 5.063335
66800.0, 5.0660405
67000.0, 5.0687284
67200.0, 5.0714
67400.0, 5.0740557
67600.0, 5.0766954
67800.0, 5.079319
68000.0, 5.081926
68200.0, 5.084516
68400.0, 5.0870914
68600.0, 5.0896516
68800.0, 5.092194
69000.0, 5.0947223
69200.0, 5.097235
69400.0, 5.099732
69600.0, 5.102213
69800.0, 5.10468
70000.0, 5.1071305
70200.0, 5.109567
70400.0, 5.111988
70600.0, 5.114394
70800.0, 5.1167855
71000.0, 5.1191616
71200.0, 5.121524
71400.0, 5.1238704
71600.0, 5.1262035
71800.0, 5.1285224
72000.0, 5.1308255
72200.0, 5.133116
72400.0, 5.135391
72600.0, 5.137653
72800.0, 5.1399
73000.0, 5.1421337
73200.0, 5.144354
73400.0, 5.1465592
73600.0, 5.1487517
73800.0, 5.1509304
