Time (s), esn 5 net current (A), esn 5 collected current (A), esn 5 emitted current (A)
10.004141, 1.2505002E-4, -0.0015437417, -0.0016687918
20.60349, 1.4362364E-5, -0.0016434506, -0.001657813
31.736023, -3.5382243E-5, -0.0016805818, -0.0016451996
42.584393, 2.308181E-5, -0.0016143342, -0.001637416
54.993843, -1.9737188E-5, -0.0016498567, -0.0016301195
65.314285, 1.2473178E-5, -0.0016102819, -0.0016227551
75.379776, 3.0665142E-5, -0.0015877996, -0.0016184647
89.25104, -9.2584494E-5, -0.0017077381, -0.0016151536
102.321465, 5.6097106E-5, -0.0015567681, -0.0016128652
112.98028, 9.342693E-5, -0.0015147927, -0.0016082197
126.77251, 4.701592E-5, -0.0015591724, -0.0016061884
142.59341, -9.234699E-5, -0.001697078, -0.0016047311
169.59946, -5.169777E-5, -0.0016549586, -0.0016032609
181.3832, 8.882395E-6, -0.0015922032, -0.0016010855
193.43687, 1.9627463E-5, -0.0015770128, -0.0015966403
212.64473, 1.3333129E-5, -0.0015796098, -0.0015929429
224.34773, 1.3093709E-4, -0.0014612388, -0.0015921759
241.98785, -1.2263819E-4, -0.0017142148, -0.0015915766
260.51187, 9.648432E-5, -0.0014943543, -0.0015908387
271.9116, -3.7447226E-5, -0.0016250288, -0.0015875816
283.54352, 7.166007E-5, -0.0015138611, -0.0015855212
298.2867, -1.2143962E-5, -0.0015955355, -0.0015833916
309.19302, 1.7842988E-4, -0.0014037683, -0.0015821982
320.75186, -9.612995E-5, -0.001678081, -0.001581951
332.57407, 1.3046223E-4, -0.0014508449, -0.0015813072
347.3159, -9.617407E-5, -0.0016770383, -0.0015808642
363.04065, 1.2024655E-4, -0.0014587991, -0.0015790457
384.21808, -7.678917E-5, -0.0016544621, -0.001577673
399.2076, 9.2501636E-5, -0.001483306, -0.0015758077
415.37927, -3.652977E-6, -0.0015785036, -0.0015748506
430.5317, 8.851476E-6, -0.0015652871, -0.0015741385
443.5159, -5.9078448E-5, -0.0016321504, -0.0015730719
457.58667, 1.0989362E-4, -0.0014607447, -0.0015706383
468.32144, -5.073019E-5, -0.0016221313, -0.0015714011
479.4181, 7.941981E-5, -0.0014911612, -0.001570581
493.498, -5.59584E-5, -0.0016261016, -0.0015701432
508.62622, 1.2185017E-4, -0.0014464441, -0.0015682942
528.36865, -4.4100023E-5, -0.0016119373, -0.0015678372
542.2951, 7.090811E-5, -0.0014961663, -0.0015670744
577.1393, -3.2769985E-5, -0.0015993334, -0.0015665633
606.07697, -2.8305754E-5, -0.0015947236, -0.0015664177
619.93677, -2.3872744E-5, -0.0015886202, -0.0015647474
632.38696, -4.975067E-5, -0.001613964, -0.0015642133
645.91327, 8.2496554E-5, -0.0014809779, -0.0015634744
745.91327, -2.569391E-5, -0.0015890165, -0.0015633226
766.0475, -3.505935E-5, -0.0015976902, -0.0015626308
777.7898, 5.266245E-5, -0.0015100035, -0.0015626659
877.7898, -3.467151E-5, -0.001597299, -0.0015626275
977.7898, -6.050081E-5, -0.0016221518, -0.001561651
1077.7898, -5.835772E-5, -0.001619722, -0.0015613643
