#    time,   allInteract,  allInteract,  allInteract,  allInteract,  allInteract,  allInteract,  allInteract,  allInteract,  allInteract, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 0-photoemission, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 1-secondary emission from electrons of Ambiant_Electrons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 2-secondary emission from protons of Ambiant_Protons, 
#        ,   allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7,  allNodes,  node0,  node1,  node2,  node3,  node4,  node5,  node6,  node7, 
102.321465, -0.0020760836, -2.2363813E-4, -1.908879E-5, -5.427396E-6, -2.203149E-5, -2.7581793E-5, -0.0016122406, -1.3809392E-4, -2.798157E-5, -0.001334334, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -6.261369E-4, -4.6671437E-5, -1.2771411E-5, -4.2907704E-6, -3.1400834E-6, -1.3840964E-5, -4.4632898E-4, -8.872277E-5, -1.0370538E-5, -1.1561269E-4, -1.6422995E-5, -6.081417E-6, -1.1366257E-6, -2.0586242E-6, -9.162044E-6, -2.5994992E-5, -4.937115E-5, -5.384854E-6, 
111.122, -0.0020730956, -2.2313767E-4, -1.9150992E-5, -5.366508E-6, -2.2023316E-5, -2.7553762E-5, -0.0016089838, -1.3887146E-4, -2.8008219E-5, -0.001334334, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -6.2022166E-4, -4.6171845E-5, -1.2642025E-5, -4.2432407E-6, -3.1105808E-6, -1.3701667E-5, -4.4251946E-4, -8.758167E-5, -1.0251222E-5, -1.1854026E-4, -1.642209E-5, -6.2730037E-6, -1.1232676E-6, -2.079955E-6, -9.273313E-6, -2.654799E-5, -5.128979E-5, -5.530821E-6, 
122.55, -0.002071167, -2.230446E-4, -1.9409874E-5, -5.3917047E-6, -2.2026747E-5, -2.7602015E-5, -0.0016068334, -1.388441E-4, -2.8015007E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -6.162642E-4, -4.5805715E-5, -1.2548396E-5, -4.2056067E-6, -3.0891147E-6, -1.3600554E-5, -4.4013988E-4, -8.671234E-5, -1.0162609E-5, -1.2056926E-4, -1.6695163E-5, -6.6255134E-6, -1.1860986E-6, -2.1048497E-6, -9.422679E-6, -2.677697E-5, -5.213176E-5, -5.6262184E-6, 
136.41225, -0.0020706502, -2.232588E-4, -1.9203952E-5, -5.345921E-6, -2.2115375E-5, -2.7784397E-5, -0.0016053858, -1.3954562E-4, -2.801034E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -6.121625E-4, -4.538138E-5, -1.24346725E-5, -4.1620965E-6, -3.0639674E-6, -1.3477543E-5, -4.3799187E-4, -8.5598615E-5, -1.0052313E-5, -1.2415375E-4, -1.7333728E-5, -6.533313E-6, -1.1838248E-6, -2.218629E-6, -9.728068E-6, -2.747734E-5, -5.394701E-5, -5.7318452E-6, 
142.59341, -0.0020703094, -2.2405524E-4, -1.9260091E-5, -5.317424E-6, -2.2082118E-5, -2.7868207E-5, -0.0016042148, -1.3942845E-4, -2.808306E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -6.1045564E-4, -4.517638E-5, -1.2374252E-5, -4.1375033E-6, -3.0518613E-6, -1.3412134E-5, -4.3737784E-4, -8.493532E-5, -9.990382E-6, -1.2551979E-4, -1.8335157E-5, -6.6498737E-6, -1.1799206E-6, -2.1974756E-6, -9.87729E-6, -2.6920443E-5, -5.449314E-5, -5.8664987E-6, 
151.36903, -0.0020697631, -2.2317898E-4, -1.9502617E-5, -5.3816816E-6, -2.209519E-5, -2.786972E-5, -0.0016031241, -1.4030939E-4, -2.8301794E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -6.074468E-4, -4.4918877E-5, -1.2299554E-5, -4.1100443E-6, -3.0345125E-6, -1.3331245E-5, -4.3555588E-4, -8.4274136E-5, -9.922551E-6, -1.2798267E-4, -1.7716393E-5, -6.967098E-6, -1.2716371E-6, -2.2278964E-6, -9.959694E-6, -2.765162E-5, -5.6035267E-5, -6.1530645E-6, 
169.59946, -0.0020706058, -2.2339854E-4, -1.9361161E-5, -5.5126548E-6, -2.200991E-5, -2.780567E-5, -0.0016033266, -1.4111355E-4, -2.80778E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -6.066847E-4, -4.4769567E-5, -1.22633755E-5, -4.0946875E-6, -3.0257E-6, -1.3292053E-5, -4.3553332E-4, -8.38229E-5, -9.88314E-6, -1.2958738E-4, -1.8085278E-5, -6.8618215E-6, -1.4179667E-6, -2.1514304E-6, -9.934833E-6, -2.7876933E-5, -5.7290636E-5, -5.9684803E-6, 
179.2656, -0.0020677042, -2.2276427E-4, -1.9324221E-5, -5.394742E-6, -2.2167167E-5, -2.8416538E-5, -0.0016008759, -1.4054128E-4, -2.821974E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -6.0259114E-4, -4.4374825E-5, -1.21376315E-5, -4.0466807E-6, -2.997024E-6, -1.3155827E-5, -4.335558E-4, -8.256214E-5, -9.761162E-6, -1.3077886E-4, -1.7845747E-5, -6.9506245E-6, -1.3480613E-6, -2.3373634E-6, -1.0681929E-5, -2.7403594E-5, -5.7979138E-5, -6.232399E-6, 
181.3832, -0.0020708588, -2.2448845E-4, -1.9284786E-5, -5.402035E-6, -2.2076807E-5, -2.7961636E-5, -0.0016020425, -1.4125275E-4, -2.8350005E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -6.0025963E-4, -4.4117354E-5, -1.20714585E-5, -4.021198E-6, -2.9811104E-6, -1.3084119E-5, -4.323823E-4, -8.190424E-5, -9.697858E-6, -1.3626534E-4, -1.982738E-5, -6.9773623E-6, -1.3808368E-6, -2.262917E-6, -1.02987315E-5, -2.9743633E-5, -5.934851E-5, -6.4259652E-6, 
189.56155, -0.0020651976, -2.2323022E-4, -1.9402842E-5, -5.3896088E-6, -2.2196105E-5, -2.8234903E-5, -0.0015968361, -1.4153442E-4, -2.837282E-5, -0.001334334, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.940915E-4, -4.361927E-5, -1.1947416E-5, -3.9774677E-6, -2.9515206E-6, -1.2949685E-5, -4.281212E-4, -8.093403E-5, -9.590902E-6, -1.3677192E-4, -1.9067267E-5, -7.219462E-6, -1.412141E-6, -2.4118067E-6, -1.0706433E-5, -2.8798688E-5, -6.0600385E-5, -6.5557406E-6, 
201.10338, -0.0020643452, -2.2340009E-4, -1.9520347E-5, -5.320906E-6, -2.210781E-5, -2.8707615E-5, -0.0015939723, -1.4289521E-4, -2.8420873E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.883903E-4, -4.3156055E-5, -1.18280495E-5, -3.934529E-6, -2.9240484E-6, -1.28203155E-5, -4.242873E-4, -7.995481E-5, -9.485217E-6, -1.4162109E-4, -1.9700336E-5, -7.4563327E-6, -1.3863768E-6, -2.3509792E-6, -1.1308515E-5, -2.9768664E-5, -6.294041E-5, -6.7094807E-6, 
212.64473, -0.0020643603, -2.2348725E-4, -1.9914916E-5, -5.373712E-6, -2.2332506E-5, -2.8068864E-5, -0.0015925968, -1.4400497E-4, -2.8581317E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.861939E-4, -4.2955133E-5, -1.1775162E-5, -3.9149745E-6, -2.9123985E-6, -1.2762992E-5, -4.2296384E-4, -7.947314E-5, -9.436305E-6, -1.4383232E-4, -1.9988418E-5, -7.903789E-6, -1.4587376E-6, -2.5873271E-6, -1.0727089E-5, -2.9716291E-5, -6.4531836E-5, -6.9188336E-6, 
224.34773, -0.0020638513, -2.2332784E-4, -1.9648844E-5, -5.227442E-6, -2.2181503E-5, -2.8701375E-5, -0.0015921759, -1.4416977E-4, -2.8418479E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.8387197E-4, -4.2731088E-5, -1.1705172E-5, -3.888695E-6, -2.8989127E-6, -1.26871355E-5, -4.217903E-4, -7.879914E-5, -9.371524E-6, -1.4564533E-4, -2.0053041E-5, -7.7077075E-6, -1.338747E-6, -2.4498113E-6, -1.1435458E-5, -3.0469178E-5, -6.537063E-5, -6.820776E-6, 
241.98785, -0.0020619163, -2.2350125E-4, -1.9555999E-5, -5.302193E-6, -2.2216667E-5, -2.8445085E-5, -0.0015915767, -1.4296013E-4, -2.835834E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.830693E-4, -4.2595424E-5, -1.1666973E-5, -3.872483E-6, -2.8910447E-6, -1.2645727E-5, -4.2172268E-4, -7.8343044E-5, -9.331886E-6, -1.4451318E-4, -2.0362126E-5, -7.653062E-6, -1.4297101E-6, -2.4928443E-6, -1.1220574E-5, -2.9937486E-5, -6.4617096E-5, -6.800277E-6, 
260.51187, -0.0020627426, -2.2396956E-4, -1.9619674E-5, -5.3829467E-6, -2.2094562E-5, -2.8803515E-5, -0.0015908387, -1.4355635E-4, -2.8477323E-5, -0.0013343339, -1.605437E-4, -2.3596435E-7, 0.0, -1.683278E-5, -4.578783E-6, -0.0011399165, 0.0, -1.2226179E-5, -5.794504E-4, -4.2259246E-5, -1.1561238E-5, -3.8327094E-6, -2.868022E-6, -1.2531126E-5, -4.198236E-4, -7.734092E-5, -9.233548E-6, -1.4895832E-4, -2.1166612E-5, -7.82247E-6, -1.5502374E-6, -2.3937598E-6, -1.1693604E-5, -3.109861E-5, -6.6215434E-5, -7.0175965E-6, 
