Energy (in eV), backscattering yield of material te2k-NASCAP at incidence 40.0 degree
   X,       Y
2710.0, 0.21513146
2720.0, 0.21498914
2730.0, 0.21484706
2740.0, 0.21470523
2750.0, 0.21456367
2760.0, 0.21442236
2770.0, 0.2142813
2780.0, 0.21414049
2790.0, 0.21399994
2800.0, 0.21385963
2810.0, 0.21371959
2820.0, 0.2135798
2830.0, 0.21344025
2840.0, 0.21330096
2850.0, 0.21316192
2860.0, 0.21302314
2870.0, 0.21288459
2880.0, 0.21274629
2890.0, 0.21260826
2900.0, 0.21247047
2910.0, 0.21233292
2920.0, 0.21219562
2930.0, 0.21205857
2940.0, 0.21192177
2950.0, 0.21178521
2960.0, 0.2116489
2970.0, 0.21151282
2980.0, 0.211377
2990.0, 0.21124142
3000.0, 0.21110609
3010.0, 0.210971
3020.0, 0.21083616
3030.0, 0.21070156
3040.0, 0.21056719
3050.0, 0.21043308
3060.0, 0.21029921
3070.0, 0.21016558
3080.0, 0.2100322
3090.0, 0.20989904
3100.0, 0.20976612
3110.0, 0.20963344
3120.0, 0.20950103
3130.0, 0.20936884
3140.0, 0.20923688
3150.0, 0.20910515
3160.0, 0.20897368
3170.0, 0.20884244
3180.0, 0.20871145
3190.0, 0.20858067
3200.0, 0.20845014
3210.0, 0.20831986
3220.0, 0.2081898
3230.0, 0.20805997
3240.0, 0.20793037
3250.0, 0.20780101
3260.0, 0.2076719
3270.0, 0.20754303
3280.0, 0.20741437
3290.0, 0.20728594
3300.0, 0.20715776
3310.0, 0.2070298
3320.0, 0.20690206
3330.0, 0.20677458
3340.0, 0.2066473
3350.0, 0.20652027
3360.0, 0.20639348
3370.0, 0.20626691
3380.0, 0.20614056
3390.0, 0.20601445
3400.0, 0.20588855
3410.0, 0.2057629
3420.0, 0.20563747
3430.0, 0.20551226
3440.0, 0.2053873
3450.0, 0.20526254
3460.0, 0.20513801
3470.0, 0.20501372
3480.0, 0.20488966
3490.0, 0.20476581
3500.0, 0.20464218
3510.0, 0.20451877
3520.0, 0.20439559
3530.0, 0.20427266
3540.0, 0.20414992
3550.0, 0.20402743
3560.0, 0.20390515
3570.0, 0.20378308
3580.0, 0.20366123
3590.0, 0.20353961
3600.0, 0.20341821
3610.0, 0.20329705
3620.0, 0.20317608
3630.0, 0.20305535
3640.0, 0.20293483
3650.0, 0.20281453
3660.0, 0.20269445
3670.0, 0.2025746
3680.0, 0.20245494
3690.0, 0.20233552
3700.0, 0.20221631
3710.0, 0.20209733
3720.0, 0.20197855
3730.0, 0.20185998
3740.0, 0.20174164
3750.0, 0.2016235
3760.0, 0.2015056
3770.0, 0.2013879
3780.0, 0.2012704
3790.0, 0.20115314
3800.0, 0.20103608
3810.0, 0.20091924
3820.0, 0.20080261
3830.0, 0.20068617
3840.0, 0.20056997
3850.0, 0.20045398
3860.0, 0.20033818
3870.0, 0.20022263
3880.0, 0.20010726
3890.0, 0.1999921
3900.0, 0.19987716
3910.0, 0.19976243
3920.0, 0.1996479
3930.0, 0.1995336
3940.0, 0.19941948
3950.0, 0.19930558
3960.0, 0.1991919
3970.0, 0.1990784
3980.0, 0.19896513
3990.0, 0.19885206
4000.0, 0.1987392
4010.0, 0.19862653
4020.0, 0.19851409
4030.0, 0.19840184
4040.0, 0.1982898
4050.0, 0.19817796
4060.0, 0.19806632
4070.0, 0.1979549
4080.0, 0.19784367
4090.0, 0.19773266
4100.0, 0.19762182
4110.0, 0.19751121
4120.0, 0.1974008
4130.0, 0.19729058
4140.0, 0.19718057
4150.0, 0.19707076
4160.0, 0.19696115
4170.0, 0.19685175
4180.0, 0.19674253
4190.0, 0.19663352
4200.0, 0.19652471
4210.0, 0.1964161
4220.0, 0.19630769
4230.0, 0.19619948
4240.0, 0.19609146
4250.0, 0.19598365
4260.0, 0.19587602
4270.0, 0.1957686
4280.0, 0.19566137
4290.0, 0.19555433
4300.0, 0.1954475
4310.0, 0.19534086
4320.0, 0.19523442
4330.0, 0.19512817
4340.0, 0.19502212
4350.0, 0.19491625
4360.0, 0.19481058
4370.0, 0.19470511
4380.0, 0.19459984
4390.0, 0.19449475
4400.0, 0.19438986
4410.0, 0.19428517
4420.0, 0.19418065
4430.0, 0.19407633
4440.0, 0.1939722
4450.0, 0.19386828
4460.0, 0.19376452
4470.0, 0.19366097
4480.0, 0.1935576
4490.0, 0.19345444
4500.0, 0.19335145
4510.0, 0.19324866
4520.0, 0.19314605
4530.0, 0.19304363
4540.0, 0.1929414
4550.0, 0.19283935
4560.0, 0.1927375
4570.0, 0.19263583
4580.0, 0.19253436
4590.0, 0.19243306
4600.0, 0.19233195
4610.0, 0.19223103
4620.0, 0.19213028
4630.0, 0.19202974
4640.0, 0.19192937
4650.0, 0.19182919
4660.0, 0.19172919
4670.0, 0.19162938
4680.0, 0.19152974
4690.0, 0.1914303
4700.0, 0.19133103
4710.0, 0.19123195
4720.0, 0.19113305
4730.0, 0.19103433
4740.0, 0.19093579
4750.0, 0.19083744
4760.0, 0.19073927
4770.0, 0.19064127
4780.0, 0.19054347
4790.0, 0.19044583
4800.0, 0.19034837
4810.0, 0.1902511
4820.0, 0.19015402
4830.0, 0.1900571
4840.0, 0.18996036
4850.0, 0.1898638
4860.0, 0.18976742
4870.0, 0.18967122
4880.0, 0.1895752
4890.0, 0.18947935
4900.0, 0.18938367
4910.0, 0.18928818
4920.0, 0.18919286
4930.0, 0.18909772
4940.0, 0.18900275
4950.0, 0.18890797
4960.0, 0.18881334
4970.0, 0.1887189
4980.0, 0.18862464
4990.0, 0.18853053
5000.0, 0.18843661
5010.0, 0.18834287
5020.0, 0.18824929
5030.0, 0.18815589
5040.0, 0.18806267
5050.0, 0.18796961
5060.0, 0.18787673
5070.0, 0.18778402
5080.0, 0.18769147
5090.0, 0.1875991
5100.0, 0.1875069
5110.0, 0.18741487
5120.0, 0.187323
5130.0, 0.18723132
5140.0, 0.1871398
5150.0, 0.18704845
5160.0, 0.18695727
5170.0, 0.18686625
5180.0, 0.1867754
5190.0, 0.18668474
5200.0, 0.18659422
5210.0, 0.18650389
5220.0, 0.1864137
5230.0, 0.18632369
5240.0, 0.18623386
5250.0, 0.18614419
5260.0, 0.18605466
5270.0, 0.18596533
5280.0, 0.18587615
5290.0, 0.18578714
5300.0, 0.1856983
5310.0, 0.18560961
5320.0, 0.1855211
5330.0, 0.18543273
5340.0, 0.18534455
5350.0, 0.18525651
5360.0, 0.18516865
5370.0, 0.18508096
5380.0, 0.18499342
5390.0, 0.18490604
5400.0, 0.18481882
5410.0, 0.18473177
5420.0, 0.18464488
5430.0, 0.18455815
5440.0, 0.18447158
5450.0, 0.18438517
5460.0, 0.18429892
5470.0, 0.18421283
5480.0, 0.1841269
5490.0, 0.18404113
5500.0, 0.18395552
5510.0, 0.18387006
5520.0, 0.18378478
5530.0, 0.18369965
5540.0, 0.18361467
5550.0, 0.18352984
5560.0, 0.18344519
5570.0, 0.18336068
5580.0, 0.18327634
5590.0, 0.18319215
5600.0, 0.18310812
5610.0, 0.18302423
5620.0, 0.18294051
5630.0, 0.18285695
5640.0, 0.18277355
5650.0, 0.1826903
5660.0, 0.18260719
5670.0, 0.18252423
5680.0, 0.18244144
5690.0, 0.18235882
5700.0, 0.18227632
5710.0, 0.18219398
5720.0, 0.18211181
5730.0, 0.18202978
5740.0, 0.18194792
5750.0, 0.1818662
5760.0, 0.18178463
5770.0, 0.18170321
5780.0, 0.18162195
5790.0, 0.18154083
5800.0, 0.18145987
5810.0, 0.18137906
5820.0, 0.1812984
5830.0, 0.1812179
5840.0, 0.18113753
5850.0, 0.18105732
5860.0, 0.18097726
5870.0, 0.18089736
5880.0, 0.18081759
5890.0, 0.18073797
5900.0, 0.1806585
5910.0, 0.18057919
5920.0, 0.18050002
5930.0, 0.180421
5940.0, 0.18034212
5950.0, 0.18026339
5960.0, 0.18018481
5970.0, 0.18010637
5980.0, 0.18002808
5990.0, 0.17994994
6000.0, 0.17987195
6010.0, 0.17979409
6020.0, 0.1797164
6030.0, 0.17963882
6040.0, 0.1795614
6050.0, 0.17948414
6060.0, 0.17940702
6070.0, 0.17933002
6080.0, 0.17925319
6090.0, 0.1791765
6100.0, 0.17909995
6110.0, 0.17902353
6120.0, 0.17894726
6130.0, 0.17887114
6140.0, 0.17879516
6150.0, 0.17871931
6160.0, 0.17864361
6170.0, 0.17856807
6180.0, 0.17849265
6190.0, 0.17841737
6200.0, 0.17834224
6210.0, 0.17826724
6220.0, 0.17819239
6230.0, 0.17811768
6240.0, 0.1780431
6250.0, 0.17796867
6260.0, 0.17789437
6270.0, 0.17782022
6280.0, 0.1777462
6290.0, 0.17767231
6300.0, 0.17759858
6310.0, 0.17752498
6320.0, 0.1774515
6330.0, 0.17737818
6340.0, 0.177305
6350.0, 0.17723194
6360.0, 0.17715903
6370.0, 0.17708625
6380.0, 0.1770136
6390.0, 0.1769411
6400.0, 0.17686872
6410.0, 0.17679648
6420.0, 0.17672439
6430.0, 0.17665243
6440.0, 0.1765806
6450.0, 0.1765089
6460.0, 0.17643733
6470.0, 0.17636591
6480.0, 0.17629461
6490.0, 0.17622344
6500.0, 0.17615242
6510.0, 0.17608154
6520.0, 0.17601077
6530.0, 0.17594014
6540.0, 0.17586964
6550.0, 0.17579928
6560.0, 0.17572905
6570.0, 0.17565896
6580.0, 0.17558898
6590.0, 0.17551915
6600.0, 0.17544945
6610.0, 0.17537987
6620.0, 0.17531043
6630.0, 0.17524111
6640.0, 0.17517194
6650.0, 0.17510287
6660.0, 0.17503396
6670.0, 0.17496517
6680.0, 0.17489651
6690.0, 0.17482796
6700.0, 0.17475955
6710.0, 0.17469127
6720.0, 0.17462313
6730.0, 0.17455511
6740.0, 0.1744872
6750.0, 0.17441945
6760.0, 0.17435181
6770.0, 0.17428428
6780.0, 0.1742169
6790.0, 0.17414965
6800.0, 0.17408252
6810.0, 0.1740155
6820.0, 0.17394863
6830.0, 0.17388187
6840.0, 0.17381524
6850.0, 0.17374875
6860.0, 0.17368236
6870.0, 0.17361611
6880.0, 0.17354998
6890.0, 0.17348398
6900.0, 0.1734181
6910.0, 0.17335235
6920.0, 0.1732867
6930.0, 0.1732212
6940.0, 0.17315581
6950.0, 0.17309056
6960.0, 0.17302541
6970.0, 0.1729604
6980.0, 0.1728955
6990.0, 0.17283073
7000.0, 0.17276609
7010.0, 0.17270155
7020.0, 0.17263715
7030.0, 0.17257287
7040.0, 0.1725087
7050.0, 0.17244466
7060.0, 0.17238073
7070.0, 0.17231694
7080.0, 0.17225325
7090.0, 0.17218968
7100.0, 0.17212625
7110.0, 0.17206292
7120.0, 0.17199972
7130.0, 0.17193665
7140.0, 0.17187367
7150.0, 0.17181084
7160.0, 0.1717481
7170.0, 0.17168549
7180.0, 0.171623
7190.0, 0.17156065
7200.0, 0.17149837
7210.0, 0.17143625
7220.0, 0.17137423
7230.0, 0.17131232
7240.0, 0.17125054
7250.0, 0.17118886
7260.0, 0.1711273
7270.0, 0.17106587
7280.0, 0.17100455
7290.0, 0.17094335
7300.0, 0.17088225
7310.0, 0.17082128
7320.0, 0.17076042
7330.0, 0.17069969
7340.0, 0.17063905
7350.0, 0.17057854
7360.0, 0.17051813
7370.0, 0.17045785
7380.0, 0.17039768
7390.0, 0.17033763
7400.0, 0.17027768
7410.0, 0.17021784
7420.0, 0.17015813
7430.0, 0.17009853
7440.0, 0.17003903
7450.0, 0.16997965
7460.0, 0.16992038
7470.0, 0.16986123
7480.0, 0.16980219
7490.0, 0.16974325
7500.0, 0.16968444
7510.0, 0.16962573
7520.0, 0.16956714
7530.0, 0.16950864
7540.0, 0.16945027
7550.0, 0.169392
7560.0, 0.16933385
7570.0, 0.1692758
7580.0, 0.16921785
7590.0, 0.16916004
7600.0, 0.16910233
7610.0, 0.16904472
7620.0, 0.16898721
7630.0, 0.16892983
7640.0, 0.16887255
7650.0, 0.16881537
7660.0, 0.1687583
7670.0, 0.16870135
7680.0, 0.16864452
7690.0, 0.16858777
7700.0, 0.16853113
7710.0, 0.16847461
7720.0, 0.1684182
7730.0, 0.16836189
7740.0, 0.16830568
7750.0, 0.16824959
7760.0, 0.1681936
7770.0, 0.16813771
7780.0, 0.16808192
7790.0, 0.16802627
7800.0, 0.16797069
7810.0, 0.16791524
7820.0, 0.16785988
7830.0, 0.16780463
7840.0, 0.16774948
7850.0, 0.16769443
7860.0, 0.16763951
7870.0, 0.16758467
7880.0, 0.16752994
7890.0, 0.16747531
7900.0, 0.1674208
7910.0, 0.16736637
7920.0, 0.16731206
7930.0, 0.16725785
7940.0, 0.16720374
7950.0, 0.16714974
7960.0, 0.16709583
7970.0, 0.16704203
7980.0, 0.16698834
7990.0, 0.16693474
8000.0, 0.16688125
8010.0, 0.16682786
8020.0, 0.16677456
8030.0, 0.16672137
8040.0, 0.16666828
8050.0, 0.16661529
8060.0, 0.16656241
8070.0, 0.16650963
8080.0, 0.16645694
8090.0, 0.16640435
8100.0, 0.16635185
8110.0, 0.16629948
8120.0, 0.16624719
8130.0, 0.166195
8140.0, 0.16614291
8150.0, 0.16609092
8160.0, 0.16603903
8170.0, 0.16598724
8180.0, 0.16593555
8190.0, 0.16588396
8200.0, 0.16583246
8210.0, 0.16578107
8220.0, 0.16572976
8230.0, 0.16567856
8240.0, 0.16562745
