Energy (in eV), backscattering yield of material gr2k-NASCAP at incidence 10.0 degree
   X,       Y
2720.0, 0.12788881
2730.0, 0.12777093
2740.0, 0.12765327
2750.0, 0.12753585
2760.0, 0.12741867
2770.0, 0.12730171
2780.0, 0.12718499
2790.0, 0.12706849
2800.0, 0.12695223
2810.0, 0.1268362
2820.0, 0.1267204
2830.0, 0.12660483
2840.0, 0.12648948
2850.0, 0.12637436
2860.0, 0.12625949
2870.0, 0.12614483
2880.0, 0.1260304
2890.0, 0.1259162
2900.0, 0.12580222
2910.0, 0.12568848
2920.0, 0.12557495
2930.0, 0.12546165
2940.0, 0.12534858
2950.0, 0.12523572
2960.0, 0.1251231
2970.0, 0.1250107
2980.0, 0.12489852
2990.0, 0.12478656
3000.0, 0.124674834
3010.0, 0.12456332
3020.0, 0.124452025
3030.0, 0.12434096
3040.0, 0.12423012
3050.0, 0.124119475
3060.0, 0.12400907
3070.0, 0.12389888
3080.0, 0.12378891
3090.0, 0.12367915
3100.0, 0.12356962
3110.0, 0.1234603
3120.0, 0.1233512
3130.0, 0.123242304
3140.0, 0.123133644
3150.0, 0.12302519
3160.0, 0.122916944
3170.0, 0.12280892
3180.0, 0.12270111
3190.0, 0.122593515
3200.0, 0.12248614
3210.0, 0.12237896
3220.0, 0.12227201
3230.0, 0.12216527
3240.0, 0.122058734
3250.0, 0.12195241
3260.0, 0.1218463
3270.0, 0.1217404
3280.0, 0.121634714
3290.0, 0.12152924
3300.0, 0.12142397
3310.0, 0.1213189
3320.0, 0.121214055
3330.0, 0.1211094
3340.0, 0.12100498
3350.0, 0.12090074
3360.0, 0.12079672
3370.0, 0.12069291
3380.0, 0.12058929
3390.0, 0.12048589
3400.0, 0.12038269
3410.0, 0.12027969
3420.0, 0.120176904
3430.0, 0.12007432
3440.0, 0.11997193
3450.0, 0.11986976
3460.0, 0.11976778
3470.0, 0.119666
3480.0, 0.11956443
3490.0, 0.119463064
3500.0, 0.1193619
3510.0, 0.11926093
3520.0, 0.11916016
3530.0, 0.11905959
3540.0, 0.118959226
3550.0, 0.11885905
3560.0, 0.11875908
3570.0, 0.11865931
3580.0, 0.11855973
3590.0, 0.118460365
3600.0, 0.11836118
3610.0, 0.1182622
3620.0, 0.11816342
3630.0, 0.11806483
3640.0, 0.117966436
3650.0, 0.11786824
3660.0, 0.11777023
3670.0, 0.11767243
3680.0, 0.11757481
3690.0, 0.11747739
3700.0, 0.117380165
3710.0, 0.11728312
3720.0, 0.117186286
3730.0, 0.11708964
3740.0, 0.11699318
3750.0, 0.11689691
3760.0, 0.11680084
3770.0, 0.116704956
3780.0, 0.11660926
3790.0, 0.11651375
3800.0, 0.11641844
3810.0, 0.11632332
3820.0, 0.11622839
3830.0, 0.11613363
3840.0, 0.116039075
3850.0, 0.115944706
3860.0, 0.115850516
3870.0, 0.11575653
3880.0, 0.11566272
3890.0, 0.115569085
3900.0, 0.11547565
3910.0, 0.115382396
3920.0, 0.11528933
3930.0, 0.115196444
3940.0, 0.115103744
3950.0, 0.11501123
3960.0, 0.1149189
3970.0, 0.11482675
3980.0, 0.114734784
3990.0, 0.114643
4000.0, 0.11455141
4010.0, 0.114459984
4020.0, 0.11436875
4030.0, 0.11427769
4040.0, 0.11418682
4050.0, 0.11409613
4060.0, 0.11400562
4070.0, 0.11391528
4080.0, 0.11382513
4090.0, 0.113735154
4100.0, 0.11364535
4110.0, 0.11355574
4120.0, 0.11346629
4130.0, 0.11337703
4140.0, 0.11328795
4150.0, 0.11319904
4160.0, 0.11311031
4170.0, 0.113021754
4180.0, 0.11293337
4190.0, 0.11284516
4200.0, 0.11275713
4210.0, 0.11266928
4220.0, 0.112581596
4230.0, 0.11249409
4240.0, 0.11240676
4250.0, 0.1123196
4260.0, 0.11223262
4270.0, 0.112145804
4280.0, 0.11205917
4290.0, 0.11197269
4300.0, 0.1118864
4310.0, 0.111800276
4320.0, 0.11171432
4330.0, 0.11162853
4340.0, 0.11154292
4350.0, 0.11145748
4360.0, 0.1113722
4370.0, 0.1112871
4380.0, 0.11120217
4390.0, 0.1111174
4400.0, 0.11103281
4410.0, 0.11094837
4420.0, 0.11086411
4430.0, 0.110780016
4440.0, 0.110696085
4450.0, 0.110612325
4460.0, 0.11052873
4470.0, 0.110445306
4480.0, 0.11036204
4490.0, 0.11027894
4500.0, 0.11019601
4510.0, 0.11011324
4520.0, 0.110030636
4530.0, 0.1099482
4540.0, 0.109865926
4550.0, 0.10978381
4560.0, 0.109701864
4570.0, 0.10962008
4580.0, 0.10953846
4590.0, 0.10945699
4600.0, 0.1093757
4610.0, 0.109294556
4620.0, 0.109213576
4630.0, 0.10913277
4640.0, 0.10905211
4650.0, 0.10897161
4660.0, 0.10889128
4670.0, 0.1088111
4680.0, 0.10873108
4690.0, 0.10865123
4700.0, 0.10857153
4710.0, 0.10849199
4720.0, 0.10841261
4730.0, 0.10833338
4740.0, 0.10825431
4750.0, 0.108175404
4760.0, 0.10809665
4770.0, 0.10801805
4780.0, 0.10793961
4790.0, 0.107861325
4800.0, 0.1077832
4810.0, 0.10770522
4820.0, 0.10762741
4830.0, 0.10754974
4840.0, 0.107472226
4850.0, 0.107394874
4860.0, 0.107317664
4870.0, 0.10724062
4880.0, 0.10716373
4890.0, 0.10708698
4900.0, 0.10701039
4910.0, 0.106933944
4920.0, 0.106857665
4930.0, 0.10678153
4940.0, 0.10670555
4950.0, 0.10662971
4960.0, 0.106554024
4970.0, 0.10647849
4980.0, 0.10640311
4990.0, 0.106327884
5000.0, 0.1062528
5010.0, 0.10617786
5020.0, 0.106103085
