Time (s), esn 2 surface potential difference wrt to esn ground(V)
10.004141, -23.268496
20.60349, -72.45041
31.736023, -134.92587
42.584393, -176.21655
54.993843, -228.9799
65.314285, -266.4876
75.379776, -307.7474
89.25104, -349.4439
102.321465, -388.92407
112.98028, -439.26474
126.77251, -484.87955
142.59341, -528.80865
169.59946, -591.41425
181.3832, -628.94183
193.43687, -652.6553
212.64473, -691.8186
224.34773, -726.89844
241.98785, -760.80273
260.51187, -790.291
271.9116, -804.5002
283.54352, -822.0094
298.2867, -841.6089
309.19302, -859.6001
320.75186, -871.42285
332.57407, -883.11035
347.3159, -901.7207
363.04065, -918.5132
384.21808, -931.2245
399.2076, -942.4551
415.37927, -949.67737
430.5317, -959.2023
443.5159, -965.0215
457.58667, -971.5034
468.32144, -973.68896
479.4181, -1170.667
493.498, -1175.8457
508.62622, -1178.665
528.36865, -1184.392
542.2951, -1186.5605
577.1393, -1179.4246
606.07697, -1207.2123
619.93677, -1199.0693
632.38696, -1191.331
645.91327, -1186.8574
745.91327, -1128.998
766.0475, -1119.5446
777.7898, -1109.8203
877.7898, -1030.8428
977.7898, -930.07715
1077.7898, -817.1992
