Energy (in eV), backscattering yield of material np2k-NASCAP at incidence 30.0 degree
   X,       Y
2710.0, 0.15173586
2720.0, 0.15160114
2730.0, 0.15146665
2740.0, 0.15133244
2750.0, 0.15119846
2760.0, 0.15106472
2770.0, 0.15093125
2780.0, 0.15079802
2790.0, 0.15066503
2800.0, 0.1505323
2810.0, 0.15039982
2820.0, 0.15026757
2830.0, 0.15013559
2840.0, 0.15000384
2850.0, 0.14987233
2860.0, 0.14974108
2870.0, 0.14961007
2880.0, 0.1494793
2890.0, 0.14934877
2900.0, 0.14921848
2910.0, 0.14908846
2920.0, 0.14895865
2930.0, 0.14882909
2940.0, 0.14869978
2950.0, 0.1485707
2960.0, 0.14844188
2970.0, 0.14831328
2980.0, 0.14818494
2990.0, 0.14805682
3000.0, 0.14792895
3010.0, 0.14780131
3020.0, 0.1476739
3030.0, 0.14754675
3040.0, 0.14741983
3050.0, 0.14729314
3060.0, 0.1471667
3070.0, 0.14704049
3080.0, 0.1469145
3090.0, 0.14678876
3100.0, 0.14666325
3110.0, 0.14653797
3120.0, 0.14641294
3130.0, 0.14628813
3140.0, 0.14616355
3150.0, 0.14603922
3160.0, 0.14591509
3170.0, 0.14579122
3180.0, 0.14566757
3190.0, 0.14554416
3200.0, 0.14542097
3210.0, 0.14529802
3220.0, 0.1451753
3230.0, 0.14505279
3240.0, 0.14493053
3250.0, 0.14480849
3260.0, 0.14468667
3270.0, 0.14456509
3280.0, 0.14444374
3290.0, 0.1443226
3300.0, 0.1442017
3310.0, 0.14408101
3320.0, 0.14396057
3330.0, 0.14384034
3340.0, 0.14372034
3350.0, 0.14360057
3360.0, 0.143481
3370.0, 0.14336167
3380.0, 0.14324257
3390.0, 0.14312369
3400.0, 0.14300503
3410.0, 0.14288658
3420.0, 0.14276835
3430.0, 0.14265037
3440.0, 0.14253259
3450.0, 0.14241503
3460.0, 0.14229769
3470.0, 0.14218058
3480.0, 0.14206368
3490.0, 0.14194699
3500.0, 0.14183053
3510.0, 0.14171429
3520.0, 0.14159827
3530.0, 0.14148246
3540.0, 0.14136685
3550.0, 0.14125147
3560.0, 0.14113632
3570.0, 0.14102139
3580.0, 0.14090665
3590.0, 0.14079213
3600.0, 0.14067784
3610.0, 0.14056376
3620.0, 0.14044988
3630.0, 0.14033623
3640.0, 0.14022277
3650.0, 0.14010954
3660.0, 0.13999651
3670.0, 0.13988371
3680.0, 0.1397711
3690.0, 0.13965872
3700.0, 0.13954654
3710.0, 0.13943458
3720.0, 0.13932282
3730.0, 0.13921128
3740.0, 0.13909994
3750.0, 0.13898881
3760.0, 0.13887788
3770.0, 0.13876718
3780.0, 0.13865668
3790.0, 0.13854636
3800.0, 0.13843627
3810.0, 0.13832639
3820.0, 0.13821672
3830.0, 0.13810724
3840.0, 0.13799797
3850.0, 0.13788891
3860.0, 0.13778006
3870.0, 0.13767141
3880.0, 0.13756296
3890.0, 0.1374547
3900.0, 0.13734666
3910.0, 0.13723882
3920.0, 0.13713118
3930.0, 0.13702375
3940.0, 0.1369165
3950.0, 0.13680947
3960.0, 0.13670264
3970.0, 0.13659601
3980.0, 0.13648957
3990.0, 0.13638334
4000.0, 0.13627732
4010.0, 0.13617148
4020.0, 0.13606586
4030.0, 0.13596042
4040.0, 0.13585517
4050.0, 0.13575013
4060.0, 0.13564529
4070.0, 0.13554065
4080.0, 0.13543619
4090.0, 0.13533194
4100.0, 0.13522789
4110.0, 0.13512403
4120.0, 0.13502036
4130.0, 0.13491689
4140.0, 0.1348136
4150.0, 0.13471052
4160.0, 0.13460764
4170.0, 0.13450493
4180.0, 0.13440244
4190.0, 0.13430013
4200.0, 0.13419801
4210.0, 0.13409609
4220.0, 0.13399436
4230.0, 0.1338928
4240.0, 0.13379145
4250.0, 0.1336903
4260.0, 0.13358933
4270.0, 0.13348855
4280.0, 0.13338795
4290.0, 0.13328755
4300.0, 0.13318734
4310.0, 0.13308732
4320.0, 0.13298748
4330.0, 0.13288783
4340.0, 0.13278838
4350.0, 0.1326891
4360.0, 0.13259001
4370.0, 0.13249111
4380.0, 0.1323924
4390.0, 0.13229388
4400.0, 0.13219553
4410.0, 0.13209736
4420.0, 0.1319994
4430.0, 0.13190162
4440.0, 0.131804
4450.0, 0.1317066
4460.0, 0.13160935
4470.0, 0.1315123
4480.0, 0.13141543
4490.0, 0.13131875
4500.0, 0.13122223
4510.0, 0.13112591
4520.0, 0.13102977
4530.0, 0.13093382
4540.0, 0.13083804
4550.0, 0.13074243
4560.0, 0.13064702
4570.0, 0.13055179
4580.0, 0.13045672
4590.0, 0.13036184
4600.0, 0.13026714
4610.0, 0.13017263
4620.0, 0.13007827
4630.0, 0.12998411
4640.0, 0.12989011
4650.0, 0.12979631
4660.0, 0.12970267
4670.0, 0.12960921
4680.0, 0.12951593
4690.0, 0.12942283
4700.0, 0.1293299
4710.0, 0.12923715
4720.0, 0.12914456
4730.0, 0.12905216
4740.0, 0.12895994
4750.0, 0.12886788
4760.0, 0.128776
4770.0, 0.12868428
4780.0, 0.12859274
4790.0, 0.12850139
4800.0, 0.12841019
4810.0, 0.12831917
4820.0, 0.12822832
4830.0, 0.12813766
4840.0, 0.12804715
4850.0, 0.12795682
4860.0, 0.12786666
4870.0, 0.12777667
4880.0, 0.12768684
4890.0, 0.1275972
4900.0, 0.12750772
4910.0, 0.1274184
4920.0, 0.12732926
4930.0, 0.12724027
4940.0, 0.12715147
4950.0, 0.12706283
4960.0, 0.12697436
4970.0, 0.12688605
4980.0, 0.12679791
4990.0, 0.12670994
5000.0, 0.12662214
5010.0, 0.12653449
5020.0, 0.12644702
5030.0, 0.12635972
5040.0, 0.12627257
5050.0, 0.1261856
5060.0, 0.12609878
5070.0, 0.12601213
5080.0, 0.12592565
5090.0, 0.12583932
5100.0, 0.12575316
5110.0, 0.12566717
5120.0, 0.12558134
5130.0, 0.12549567
5140.0, 0.12541017
5150.0, 0.12532482
5160.0, 0.12523963
5170.0, 0.1251546
5180.0, 0.12506975
5190.0, 0.12498504
5200.0, 0.124900505
5210.0, 0.12481612
5220.0, 0.124731906
5230.0, 0.12464784
5240.0, 0.12456393
5250.0, 0.12448019
5260.0, 0.12439661
5270.0, 0.12431318
5280.0, 0.124229915
5290.0, 0.124146804
5300.0, 0.12406386
5310.0, 0.12398106
5320.0, 0.12389842
5330.0, 0.12381593
5340.0, 0.12373361
5350.0, 0.12365144
5360.0, 0.12356943
5370.0, 0.12348757
5380.0, 0.12340586
5390.0, 0.12332431
5400.0, 0.12324291
5410.0, 0.12316168
5420.0, 0.12308059
5430.0, 0.12299966
5440.0, 0.122918874
5450.0, 0.12283825
5460.0, 0.122757785
5470.0, 0.12267745
5480.0, 0.12259729
5490.0, 0.12251728
5500.0, 0.12243742
5510.0, 0.122357704
5520.0, 0.12227814
5530.0, 0.12219872
5540.0, 0.12211947
5550.0, 0.12204036
5560.0, 0.1219614
5570.0, 0.121882595
5580.0, 0.12180394
5590.0, 0.121725425
5600.0, 0.12164707
5610.0, 0.12156885
5620.0, 0.12149079
5630.0, 0.12141287
5640.0, 0.12133511
5650.0, 0.121257484
5660.0, 0.12118002
5670.0, 0.12110268
5680.0, 0.12102551
5690.0, 0.12094848
5700.0, 0.120871596
5710.0, 0.120794855
