Energy (in eV), backscattering yield of material gr2k-NASCAP at incidence 80.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.44963917
70.0, 0.5000154
80.0, 0.52978337
90.0, 0.5506459
100.0, 0.56652147
110.0, 0.5792183
120.0, 0.5897211
130.0, 0.5986244
140.0, 0.6063142
150.0, 0.6130546
160.0, 0.6190337
170.0, 0.6243904
180.0, 0.6292296
190.0, 0.63363236
200.0, 0.6376629
210.0, 0.6413723
220.0, 0.64480245
230.0, 0.6479876
240.0, 0.6509564
250.0, 0.6537327
260.0, 0.656337
270.0, 0.6587866
280.0, 0.6610965
290.0, 0.66327965
300.0, 0.6653474
310.0, 0.6673096
320.0, 0.66917497
330.0, 0.6709513
340.0, 0.67264545
350.0, 0.6742635
360.0, 0.67581093
370.0, 0.6772928
380.0, 0.67871344
390.0, 0.6800769
400.0, 0.68138695
410.0, 0.6826468
420.0, 0.6838595
430.0, 0.68502796
440.0, 0.6861546
450.0, 0.6872418
460.0, 0.6882917
470.0, 0.68930644
480.0, 0.6902877
490.0, 0.6912372
500.0, 0.6921567
510.0, 0.6930474
520.0, 0.69391084
530.0, 0.69474834
540.0, 0.695561
550.0, 0.69635
560.0, 0.6971163
570.0, 0.69786096
580.0, 0.6985849
590.0, 0.69928896
600.0, 0.699974
610.0, 0.7006407
620.0, 0.70128983
630.0, 0.7019221
640.0, 0.70253813
650.0, 0.7031386
660.0, 0.70372397
670.0, 0.70429486
680.0, 0.70485175
690.0, 0.7053952
700.0, 0.7059256
710.0, 0.7064435
720.0, 0.7069492
730.0, 0.7074431
740.0, 0.7079258
750.0, 0.70839745
760.0, 0.7088585
770.0, 0.70930916
780.0, 0.70974994
790.0, 0.710181
800.0, 0.7106027
810.0, 0.71101534
820.0, 0.7114191
830.0, 0.7118143
840.0, 0.7122012
850.0, 0.71257997
860.0, 0.7129509
870.0, 0.7133142
880.0, 0.7136701
890.0, 0.71401864
900.0, 0.7143603
910.0, 0.71469504
920.0, 0.7150231
930.0, 0.71534467
940.0, 0.71565986
950.0, 0.71596897
960.0, 0.71627206
970.0, 0.71656924
980.0, 0.7168607
990.0, 0.7171466
1000.0, 0.717427
1010.0, 0.71728903
1020.0, 0.71715117
1030.0, 0.7170135
