Energy (in eV), SEEP yield of material gr2k-NASCAP at incidence 0.0 degree
   X,       Y
53200.0, 2.422028
53400.0, 2.4240673
53600.0, 2.4260938
53800.0, 2.4281075
54000.0, 2.4301085
54200.0, 2.4320974
54400.0, 2.4340737
54600.0, 2.4360378
54800.0, 2.4379897
55000.0, 2.4399295
55200.0, 2.4418573
55400.0, 2.4437728
55600.0, 2.4456768
55800.0, 2.4475691
56000.0, 2.4494495
56200.0, 2.4513183
56400.0, 2.4531753
56600.0, 2.4550211
56800.0, 2.4568555
57000.0, 2.4586782
57200.0, 2.4604902
57400.0, 2.4622908
57600.0, 2.46408
57800.0, 2.4658587
58000.0, 2.4676263
58200.0, 2.4693825
58400.0, 2.471128
58600.0, 2.4728632
58800.0, 2.4745874
59000.0, 2.4763012
59200.0, 2.4780042
59400.0, 2.4796968
59600.0, 2.481379
59800.0, 2.4830508
60000.0, 2.4847126
60200.0, 2.486364
60400.0, 2.4880054
60600.0, 2.4896362
60800.0, 2.4912574
61000.0, 2.4928687
61200.0, 2.4944701
61400.0, 2.496061
61600.0, 2.497643
61800.0, 2.499215
62000.0, 2.5007772
62200.0, 2.5023298
62400.0, 2.503873
62600.0, 2.5054069
62800.0, 2.506931
63000.0, 2.508446
63200.0, 2.5099518
63400.0, 2.5114481
63600.0, 2.5129354
63800.0, 2.5144134
64000.0, 2.5158823
64200.0, 2.5173423
64400.0, 2.5187933
64600.0, 2.5202358
64800.0, 2.521669
65000.0, 2.5230935
65200.0, 2.5245094
65400.0, 2.5259163
65600.0, 2.5273147
65800.0, 2.5287044
66000.0, 2.530086
66200.0, 2.5314589
66400.0, 2.5328233
66600.0, 2.5341792
66800.0, 2.535527
67000.0, 2.5368662
67200.0, 2.5381978
67400.0, 2.5395205
67600.0, 2.5408356
67800.0, 2.5421424
68000.0, 2.543441
68200.0, 2.5447316
68400.0, 2.5460145
68600.0, 2.5472896
68800.0, 2.5485563
69000.0, 2.5498154
69200.0, 2.551067
69400.0, 2.5523112
69600.0, 2.553547
69800.0, 2.5547757
70000.0, 2.5559967
70200.0, 2.55721
70400.0, 2.558416
70600.0, 2.5596142
70800.0, 2.5608053
71000.0, 2.5619888
71200.0, 2.5631654
71400.0, 2.5643344
71600.0, 2.5654962
71800.0, 2.5666506
72000.0, 2.5677984
72200.0, 2.5689387
72400.0, 2.5700722
72600.0, 2.5711985
72800.0, 2.5723178
73000.0, 2.57343
73200.0, 2.5745356
73400.0, 2.575634
73600.0, 2.5767257
73800.0, 2.5778108
74000.0, 2.578889
74200.0, 2.57996
74400.0, 2.5810251
74600.0, 2.582083
74800.0, 2.5831347
75000.0, 2.5841796
75200.0, 2.585218
75400.0, 2.5862498
75600.0, 2.5872753
75800.0, 2.5882947
76000.0, 2.5893073
76200.0, 2.5903137
76400.0, 2.5913134
76600.0, 2.5923073
76800.0, 2.5932946
77000.0, 2.594276
77200.0, 2.595251
77400.0, 2.59622
77600.0, 2.597183
77800.0, 2.5981393
78000.0, 2.59909
78200.0, 2.600035
78400.0, 2.6009734
78600.0, 2.601906
78800.0, 2.602833
79000.0, 2.603754
79200.0, 2.604669
79400.0, 2.6055787
79600.0, 2.606482
79800.0, 2.6073797
80000.0, 2.6082718
80200.0, 2.6091583
80400.0, 2.6100388
80600.0, 2.6109138
80800.0, 2.6117833
81000.0, 2.6126475
81200.0, 2.6135056
81400.0, 2.6143587
81600.0, 2.6152055
81800.0, 2.6160476
82000.0, 2.616884
82200.0, 2.6177154
82400.0, 2.6185405
82600.0, 2.6193612
82800.0, 2.6201763
83000.0, 2.6209862
83200.0, 2.6217906
83400.0, 2.62259
83600.0, 2.623384
