Energy (in eV), backscattering yield of material sc2k-NASCAP at incidence 10.0 degree
   X,       Y
2710.0, 0.17007083
2720.0, 0.16995323
2730.0, 0.16983587
2740.0, 0.16971873
2750.0, 0.16960181
2760.0, 0.16948514
2770.0, 0.1693687
2780.0, 0.16925249
2790.0, 0.16913651
2800.0, 0.16902076
2810.0, 0.16890524
2820.0, 0.16878994
2830.0, 0.16867489
2840.0, 0.16856006
2850.0, 0.16844545
2860.0, 0.16833107
2870.0, 0.16821693
2880.0, 0.16810301
2890.0, 0.1679893
2900.0, 0.16787584
2910.0, 0.16776259
2920.0, 0.16764957
2930.0, 0.16753678
2940.0, 0.16742422
2950.0, 0.16731186
2960.0, 0.16719975
2970.0, 0.16708785
2980.0, 0.16697617
2990.0, 0.16686472
3000.0, 0.16675347
3010.0, 0.16664247
3020.0, 0.16653168
3030.0, 0.1664211
3040.0, 0.16631076
3050.0, 0.16620062
3060.0, 0.1660907
3070.0, 0.165981
3080.0, 0.16587153
3090.0, 0.16576226
3100.0, 0.16565323
3110.0, 0.1655444
3120.0, 0.16543579
3130.0, 0.1653274
3140.0, 0.16521922
3150.0, 0.16511126
3160.0, 0.16500351
3170.0, 0.16489598
3180.0, 0.16478865
3190.0, 0.16468155
3200.0, 0.16457465
3210.0, 0.16446796
3220.0, 0.16436149
3230.0, 0.16425523
3240.0, 0.1641492
3250.0, 0.16404337
3260.0, 0.16393773
3270.0, 0.16383232
3280.0, 0.1637271
3290.0, 0.16362211
3300.0, 0.16351733
3310.0, 0.16341275
3320.0, 0.16330838
3330.0, 0.16320422
3340.0, 0.16310026
3350.0, 0.1629965
3360.0, 0.16289297
3370.0, 0.16278961
3380.0, 0.1626865
3390.0, 0.16258356
3400.0, 0.16248085
3410.0, 0.16237833
3420.0, 0.16227601
3430.0, 0.1621739
3440.0, 0.16207199
3450.0, 0.16197029
3460.0, 0.16186877
3470.0, 0.16176748
3480.0, 0.16166638
3490.0, 0.16156547
3500.0, 0.16146477
3510.0, 0.16136427
3520.0, 0.16126399
3530.0, 0.16116388
3540.0, 0.16106397
3550.0, 0.16096428
3560.0, 0.16086477
3570.0, 0.16076547
3580.0, 0.16066636
3590.0, 0.16056745
3600.0, 0.16046874
3610.0, 0.16037022
3620.0, 0.1602719
3630.0, 0.16017376
3640.0, 0.16007584
3650.0, 0.15997809
3660.0, 0.15988056
3670.0, 0.15978321
3680.0, 0.15968606
3690.0, 0.1595891
3700.0, 0.15949233
3710.0, 0.15939575
3720.0, 0.15929936
3730.0, 0.15920317
3740.0, 0.15910716
3750.0, 0.15901136
3760.0, 0.15891573
3770.0, 0.1588203
3780.0, 0.15872507
3790.0, 0.15863001
3800.0, 0.15853515
3810.0, 0.15844049
3820.0, 0.158346
3830.0, 0.15825172
3840.0, 0.1581576
3850.0, 0.15806368
3860.0, 0.15796995
3870.0, 0.15787639
3880.0, 0.15778302
3890.0, 0.15768985
3900.0, 0.15759686
3910.0, 0.15750405
3920.0, 0.15741144
3930.0, 0.157319
3940.0, 0.15722674
3950.0, 0.15713468
3960.0, 0.15704277
3970.0, 0.15695107
3980.0, 0.15685955
3990.0, 0.15676822
4000.0, 0.15667705
4010.0, 0.15658608
4020.0, 0.15649529
4030.0, 0.15640466
4040.0, 0.15631422
4050.0, 0.15622398
4060.0, 0.1561339
4070.0, 0.156044
4080.0, 0.15595429
4090.0, 0.15586475
4100.0, 0.1557754
4110.0, 0.1556862
4120.0, 0.1555972
4130.0, 0.15550837
4140.0, 0.1554197
4150.0, 0.15533124
4160.0, 0.15524293
4170.0, 0.15515481
4180.0, 0.15506686
4190.0, 0.1549791
4200.0, 0.15489149
4210.0, 0.15480408
4220.0, 0.15471682
4230.0, 0.15462974
4240.0, 0.15454283
4250.0, 0.15445611
4260.0, 0.15436955
4270.0, 0.15428315
4280.0, 0.15419693
4290.0, 0.15411091
4300.0, 0.15402502
4310.0, 0.15393934
4320.0, 0.15385379
