Time (s), esn 5 surface potential difference wrt to esn ground(V)
10.004141, 81.58635
20.60349, 220.52243
31.736023, 356.24115
42.584393, 489.72766
54.993843, 638.0029
65.314285, 722.53217
75.379776, 823.72125
89.25104, 929.7784
102.321465, 1045.2667
112.98028, 1134.4613
126.77251, 1257.2218
142.59341, 1401.3107
169.59946, 1626.359
181.3832, 1754.9625
193.43687, 1777.5656
212.64473, 1887.9397
224.34773, 2017.0444
241.98785, 2133.101
260.51187, 2275.6199
271.9116, 2275.5571
283.54352, 2337.1614
298.2867, 2390.9106
309.19302, 2471.8625
320.75186, 2516.8735
332.57407, 2584.0908
347.3159, 2641.1958
363.04065, 2729.7134
384.21808, 2769.179
399.2076, 2875.7256
415.37927, 2904.2256
430.5317, 2948.508
443.5159, 2997.5352
457.58667, 3058.628
468.32144, 3080.7935
479.4181, 3126.7656
493.498, 3153.3228
508.62622, 3208.268
528.36865, 3229.345
542.2951, 3280.6343
577.1393, 3351.269
606.07697, 3416.3096
619.93677, 3441.8647
632.38696, 3463.7925
645.91327, 3490.8174
745.91327, 3687.8218
766.0475, 3693.913
777.7898, 3721.315
877.7898, 3863.4912
977.7898, 3999.0337
1077.7898, 4125.7085
