Energy (in eV), SEEE yield of material ka2k-NASCAP at isotropic incidence
   X,       Y
2740.0, 0.81347907
2750.0, 0.8113008
2760.0, 0.8091359
2770.0, 0.8069841
2780.0, 0.8048451
2790.0, 0.80271906
2800.0, 0.80060595
2810.0, 0.79850537
2820.0, 0.7964174
2830.0, 0.79434174
2840.0, 0.79227835
2850.0, 0.79022723
2860.0, 0.7881881
2870.0, 0.78616107
2880.0, 0.7841458
2890.0, 0.78214216
2900.0, 0.78015035
2910.0, 0.7781699
2920.0, 0.77620107
2930.0, 0.77424353
2940.0, 0.77229714
2950.0, 0.77036196
2960.0, 0.7684376
2970.0, 0.7665244
2980.0, 0.76462203
2990.0, 0.7627303
3000.0, 0.7608493
3010.0, 0.7589787
3020.0, 0.7571187
3030.0, 0.7552691
3040.0, 0.75342965
3050.0, 0.75160044
3060.0, 0.74978137
3070.0, 0.74797237
3080.0, 0.7461733
3090.0, 0.7443839
3100.0, 0.74260443
3110.0, 0.7408347
3120.0, 0.73907435
3130.0, 0.73732364
3140.0, 0.73558235
3150.0, 0.73385036
3160.0, 0.73212785
3170.0, 0.73041433
3180.0, 0.7287101
3190.0, 0.72701484
3200.0, 0.7253286
3210.0, 0.72365123
3220.0, 0.7219827
3230.0, 0.7203229
3240.0, 0.7186719
3250.0, 0.71702945
3260.0, 0.71539557
3270.0, 0.7137702
3280.0, 0.71215314
3290.0, 0.71054447
3300.0, 0.70894396
3310.0, 0.7073519
3320.0, 0.7057679
3330.0, 0.7041918
3340.0, 0.702624
3350.0, 0.70106393
3360.0, 0.6995118
3370.0, 0.69796765
3380.0, 0.6964311
3390.0, 0.69490236
3400.0, 0.69338113
3410.0, 0.6918676
3420.0, 0.69036156
3430.0, 0.68886304
3440.0, 0.6873719
3450.0, 0.6858882
3460.0, 0.6844117
3470.0, 0.68294245
3480.0, 0.68148035
3490.0, 0.68002546
3500.0, 0.6785776
3510.0, 0.67713684
3520.0, 0.6757029
3530.0, 0.6742761
3540.0, 0.6728561
3550.0, 0.6714428
3560.0, 0.6700363
3570.0, 0.66863656
3580.0, 0.6672435
3590.0, 0.6658571
3600.0, 0.66447717
3610.0, 0.66310376
3620.0, 0.66173685
3630.0, 0.66037637
3640.0, 0.65902233
3650.0, 0.65767455
3660.0, 0.656333
3670.0, 0.6549979
3680.0, 0.6536689
3690.0, 0.65234596
3700.0, 0.6510291
3710.0, 0.6497185
3720.0, 0.6484138
3730.0, 0.647115
3740.0, 0.6458222
3750.0, 0.6445354
3760.0, 0.64325434
3770.0, 0.6419791
3780.0, 0.6407096
3790.0, 0.6394458
3800.0, 0.6381879
3810.0, 0.63693535
3820.0, 0.6356886
3830.0, 0.63444734
3840.0, 0.6332117
3850.0, 0.6319815
3860.0, 0.6307566
3870.0, 0.6295373
3880.0, 0.6283234
3890.0, 0.6271147
3900.0, 0.6259114
3910.0, 0.6247133
3920.0, 0.62352055
3930.0, 0.6223329
3940.0, 0.62115043
3950.0, 0.6199731
3960.0, 0.6188009
3970.0, 0.61763376
3980.0, 0.6164717
3990.0, 0.6153144
4000.0, 0.6141622
4010.0, 0.61301506
4020.0, 0.6118726
4030.0, 0.6107351
4040.0, 0.6096024
4050.0, 0.60847455
4060.0, 0.60735136
4070.0, 0.60623294
4080.0, 0.6051193
4090.0, 0.6040102
4100.0, 0.60290587
4110.0, 0.60180604
4120.0, 0.60071087
4130.0, 0.5996203
4140.0, 0.5985341
4150.0, 0.5974525
4160.0, 0.5963753
4170.0, 0.5953026
4180.0, 0.59423435
4190.0, 0.5931703
4200.0, 0.5921108
4210.0, 0.59105545
4220.0, 0.59000444
4230.0, 0.5889578
4240.0, 0.58791524
4250.0, 0.586877
4260.0, 0.5858429
4270.0, 0.58481306
4280.0, 0.5837872
4290.0, 0.5827655
4300.0, 0.58174795
4310.0, 0.58073455
4320.0, 0.57972497
4330.0, 0.57871956
4340.0, 0.57771796
4350.0, 0.57672054
4360.0, 0.5757269
4370.0, 0.5747372
4380.0, 0.5737514
4390.0, 0.57276946
4400.0, 0.57179135
4410.0, 0.5708171
4420.0, 0.5698465
4430.0, 0.56887984
4440.0, 0.56791687
4450.0, 0.56695765
4460.0, 0.56600213
4470.0, 0.5650502
4480.0, 0.56410205
4490.0, 0.5631575
4500.0, 0.56221646
4510.0, 0.56127906
4520.0, 0.5603452
4530.0, 0.55941504
4540.0, 0.5584883
4550.0, 0.55756503
4560.0, 0.55664533
4570.0, 0.55572903
4580.0, 0.5548163
4590.0, 0.5539069
4600.0, 0.5530009
4610.0, 0.5520984
4620.0, 0.5511992
4630.0, 0.55030316
4640.0, 0.54941064
4650.0, 0.54852146
4660.0, 0.5476355
4670.0, 0.5467528
4680.0, 0.5458734
4690.0, 0.54499716
4700.0, 0.54412425
4710.0, 0.54325444
4720.0, 0.5423878
4730.0, 0.54152435
4740.0, 0.5406641
4750.0, 0.53980684
4760.0, 0.53895277
4770.0, 0.5381018
4780.0, 0.53725386
4790.0, 0.5364091
4800.0, 0.5355672
4810.0, 0.5347284
4820.0, 0.53389263
4830.0, 0.5330598
4840.0, 0.5322299
4850.0, 0.5314031
4860.0, 0.5305791
4870.0, 0.5297581
4880.0, 0.52893996
4890.0, 0.5281248
4900.0, 0.52731234
4910.0, 0.52650285
4920.0, 0.52569616
4930.0, 0.52489233
4940.0, 0.5240913
4950.0, 0.52329314
4960.0, 0.5224976
4970.0, 0.521705
4980.0, 0.5209149
4990.0, 0.5201278
5000.0, 0.5193433
5010.0, 0.51856154
5020.0, 0.5177824
5030.0, 0.51700604
5040.0, 0.51623225
5050.0, 0.5154612
5060.0, 0.5146927
5070.0, 0.51392686
5080.0, 0.5131637
5090.0, 0.512403
5100.0, 0.51164496
5110.0, 0.5108894
5120.0, 0.5101364
5130.0, 0.50938606
5140.0, 0.50863814
5150.0, 0.5078928
5160.0, 0.5071499
5170.0, 0.50640947
5180.0, 0.5056716
5190.0, 0.50493604
5200.0, 0.50420314
5210.0, 0.5034725
5220.0, 0.50274444
5230.0, 0.50201863
5240.0, 0.50129527
5250.0, 0.50057435
5260.0, 0.4998557
5270.0, 0.4991395
5280.0, 0.49842557
5290.0, 0.49771398
5300.0, 0.4970048
5310.0, 0.49629787
5320.0, 0.49559325
5330.0, 0.49489096
5340.0, 0.49419087
5350.0, 0.49349308
5360.0, 0.49279752
5370.0, 0.49210426
5380.0, 0.4914132
5390.0, 0.49072438
5400.0, 0.4900377
5410.0, 0.48935333
5420.0, 0.48867103
5430.0, 0.48799095
5440.0, 0.4873131
5450.0, 0.4866373
5460.0, 0.48596367
5470.0, 0.48529226
5480.0, 0.4846229
5490.0, 0.48395565
5500.0, 0.48329052
5510.0, 0.48262745
5520.0, 0.48196653
5530.0, 0.4813076
5540.0, 0.4806508
5550.0, 0.479996
5560.0, 0.47934324
5570.0, 0.47869253
5580.0, 0.47804385
5590.0, 0.4773972
5600.0, 0.47675258
5610.0, 0.47610986
5620.0, 0.47546914
5630.0, 0.47483042
5640.0, 0.4741937
5650.0, 0.47355887
5660.0, 0.47292602
5670.0, 0.47229505
5680.0, 0.47166613
5690.0, 0.47103903
5700.0, 0.47041383
5710.0, 0.46979055
5720.0, 0.4691692
5730.0, 0.46854964
5740.0, 0.46793208
5750.0, 0.46731624
5760.0, 0.46670237
5770.0, 0.46609026
5780.0, 0.46548003
5790.0, 0.46487162
5800.0, 0.46426505
5810.0, 0.4636603
5820.0, 0.46305734
5830.0, 0.46245614
5840.0, 0.46185675
5850.0, 0.46125922
5860.0, 0.46066338
5870.0, 0.4600692
5880.0, 0.45947692
5890.0, 0.45888636
5900.0, 0.45829752
5910.0, 0.45771042
5920.0, 0.45712498
5930.0, 0.4565413
5940.0, 0.45595935
5950.0, 0.45537916
5960.0, 0.45480052
5970.0, 0.4542236
5980.0, 0.4536484
5990.0, 0.45307484
6000.0, 0.45250297
6010.0, 0.4519327
6020.0, 0.4513641
6030.0, 0.4507971
6040.0, 0.45023185
6050.0, 0.44966814
6060.0, 0.44910604
6070.0, 0.44854552
6080.0, 0.44798663
6090.0, 0.4474294
6100.0, 0.4468737
6110.0, 0.44631955
6120.0, 0.44576707
6130.0, 0.445216
6140.0, 0.4446666
6150.0, 0.44411877
6160.0, 0.4435725
6170.0, 0.44302762
6180.0, 0.44248435
6190.0, 0.44194263
6200.0, 0.44140247
6210.0, 0.44086382
6220.0, 0.44032663
6230.0, 0.43979084
6240.0, 0.4392567
6250.0, 0.43872395
6260.0, 0.4381927
6270.0, 0.437663
6280.0, 0.43713465
6290.0, 0.43660787
6300.0, 0.43608245
6310.0, 0.43555853
6320.0, 0.4350361
6330.0, 0.43451497
6340.0, 0.43399543
6350.0, 0.43347713
6360.0, 0.43296033
6370.0, 0.43244502
6380.0, 0.43193102
6390.0, 0.43141845
6400.0, 0.43090722
6410.0, 0.4303975
6420.0, 0.42988902
6430.0, 0.42938203
6440.0, 0.42887634
6450.0, 0.42837206
6460.0, 0.42786908
6470.0, 0.4273675
6480.0, 0.42686722
6490.0, 0.42636836
6500.0, 0.42587078
6510.0, 0.42537454
6520.0, 0.42487967
6530.0, 0.42438596
6540.0, 0.42389375
6550.0, 0.4234028
6560.0, 0.4229131
6570.0, 0.4224247
