Time (s), variation of the average surface potential of esn 5 (s-1.V)
10.004141, 1.8532759
20.60349, -28.432255
31.736023, -20.689547
42.584393, -13.088807
54.993843, -14.785282
65.314285, -36.633705
75.379776, 1.4247264
89.25104, -26.562195
102.321465, -10.264983
112.98028, -9.713053
126.77251, -12.675139
142.59341, -13.968737
169.59946, -4.6866226
181.3832, -17.098356
193.43687, -34.30291
212.64473, -6.845229
224.34773, 0.08269452
241.98785, -7.612731
260.51187, 0.18716474
271.9116, -39.696598
283.54352, -12.440133
298.2867, -9.50085
309.19302, 1.7982076
320.75186, -11.651521
332.57407, 0.30328047
347.3159, -10.343604
363.04065, 0.1936696
384.21808, -13.861823
399.2076, 0.10756203
415.37927, -9.210629
430.5317, -8.365176
443.5159, -10.238199
457.58667, 0.44942263
468.32144, -10.166154
479.4181, -0.18217066
493.498, -9.518961
508.62622, 1.10449
528.36865, -9.883055
542.2951, -0.0018582576
577.1393, -2.0822766
606.07697, -2.6900458
619.93677, -5.7844834
632.38696, -9.059676
645.91327, 0.72843283
745.91327, -0.04104004
766.0475, -10.02188
777.7898, 0.058341097
877.7898, -0.023598634
977.7898, -0.06794433
1077.7898, -0.042207032
