Energy (in eV), SEEE yield of material ka2k-NASCAP at incidence 0.0 degree
   X,       Y
2720.0, 0.41055205
2730.0, 0.40943488
2740.0, 0.4083246
2750.0, 0.40722123
2760.0, 0.40612462
2770.0, 0.40503475
2780.0, 0.40395153
2790.0, 0.40287495
2800.0, 0.40180492
2810.0, 0.40074137
2820.0, 0.39968428
2830.0, 0.39863357
2840.0, 0.39758906
2850.0, 0.3965509
2860.0, 0.39551884
2870.0, 0.394493
2880.0, 0.39347318
2890.0, 0.3924594
2900.0, 0.39145157
2910.0, 0.3904496
2920.0, 0.38945356
2930.0, 0.38846332
2940.0, 0.3874788
2950.0, 0.38649997
2960.0, 0.38552678
2970.0, 0.3845592
2980.0, 0.3835972
2990.0, 0.3826407
3000.0, 0.38168958
