Time (s), esn 7 surface potential difference wrt to esn ground(V)
10.004141, -32.901432
20.60349, -93.537926
31.736023, -159.62224
42.584393, -221.18962
54.993843, -293.4944
65.314285, -350.49063
75.379776, -409.00293
89.25104, -466.30414
102.321465, -517.73505
112.98028, -573.9837
126.77251, -628.82263
142.59341, -686.59344
169.59946, -775.0133
181.3832, -827.59326
193.43687, -857.2564
212.64473, -909.0133
224.34773, -952.7925
241.98785, -997.3579
260.51187, -1036.3545
271.9116, -1056.2539
283.54352, -1080.8005
298.2867, -1106.952
309.19302, -1128.4204
320.75186, -1145.0605
332.57407, -1162.9775
347.3159, -1190.5073
363.04065, -1268.395
384.21808, -1283.3326
399.2076, -1303.1162
415.37927, -1312.176
430.5317, -1336.3838
443.5159, -1359.1543
457.58667, -1367.7915
468.32144, -1376.4438
479.4181, -1382.3682
493.498, -1393.7041
508.62622, -1402.4941
528.36865, -1403.2926
542.2951, -1406.2451
577.1393, -1405.6993
606.07697, -1406.3386
619.93677, -1438.6036
632.38696, -1442.8154
645.91327, -1468.0713
745.91327, -1486.0156
766.0475, -1480.8782
777.7898, -1508.3906
877.7898, -1489.706
977.7898, -1463.6416
1077.7898, -1421.3184
