Time (s), esn 5 average surface potential (V), esn 5 ground potential (V), esn 5 min surface potential (V), esn 5 max surface potential (V)
10.004141, -62.245064, -143.83142, -93.48145, -37.381958
20.60349, -200.39395, -420.91638, -282.85645, -152.9292
31.736023, -412.50784, -768.74896, -544.67804, -325.21603
42.584393, -579.30304, -1069.0306, -734.9829, -456.56122
54.993843, -797.3478, -1435.3507, -1013.7023, -663.1087
65.314285, -1102.6439, -1825.176, -1405.1539, -932.2108
75.379776, -1309.1067, -2132.828, -1825.6038, -1078.2443
89.25104, -1501.4196, -2431.198, -1930.5968, -1260.9664
102.321465, -1632.1412, -2677.408, -2180.5408, -1282.5513
112.98028, -1949.5874, -3084.0488, -2480.7383, -1598.0345
126.77251, -2089.569, -3346.791, -2504.4004, -1720.3214
142.59341, -2206.565, -3607.8755, -2629.5967, -1882.5665
169.59946, -2363.7742, -3990.133, -2949.098, -1987.7927
181.3832, -2501.0476, -4256.0103, -3245.768, -2116.5173
193.43687, -2853.8645, -4631.43, -3658.7703, -2369.9614
212.64473, -3103.5664, -4991.506, -3752.3608, -2638.1804
224.34773, -3152.5479, -5169.5923, -3779.9785, -2675.2812
241.98785, -3286.8374, -5419.9385, -4055.2688, -2829.735
260.51187, -3283.3704, -5558.99, -4052.8113, -2744.102
271.9116, -3661.2126, -5936.7695, -4592.122, -3136.1538
283.54352, -3764.296, -6101.457, -4744.2363, -2924.8445
298.2867, -3979.4915, -6370.4023, -5022.887, -3335.5059
309.19302, -4001.0642, -6472.927, -4976.8057, -3180.0115
320.75186, -4135.742, -6652.6157, -5208.526, -3479.4187
332.57407, -4132.1567, -6716.2476, -5126.739, -3428.9805
347.3159, -4284.64, -6925.836, -5440.173, -3614.2979
363.04065, -4281.5947, -7011.308, -5325.1074, -3547.0015
384.21808, -4535.8936, -7305.0728, -5641.5024, -3797.2295
399.2076, -4573.54, -7449.2656, -5614.1177, -3801.661
415.37927, -4722.5537, -7626.7793, -5863.1514, -3958.049
430.5317, -4849.286, -7797.794, -5996.51, -4071.1592
443.5159, -4982.1787, -7979.714, -6205.93, -4219.6797
457.58667, -4975.855, -8034.483, -6106.403, -4139.8857
468.32144, -5084.9863, -8165.78, -6292.1934, -4304.919
479.4181, -5087.008, -8213.773, -6197.114, -4254.9014
493.498, -5221.0337, -8374.356, -6472.5845, -4424.521
508.62622, -5204.3247, -8412.593, -6304.691, -4315.5693
528.36865, -5367.1206, -8596.466, -6449.639, -4551.2075
542.2951, -5399.4663, -8680.101, -6410.5825, -4559.1973
577.1393, -5471.9854, -8823.254, -6367.501, -4659.465
606.07697, -5549.6406, -8965.95, -6392.5835, -4733.3896
619.93677, -5627.671, -9069.535, -6462.107, -4825.075
632.38696, -5742.8315, -9206.624, -6735.3047, -4962.7417
645.91327, -5732.9785, -9223.796, -6652.77, -4847.745
745.91327, -5737.0825, -9424.904, -6596.3438, -4887.9067
766.0475, -5898.351, -9592.264, -6885.2783, -5074.403
777.7898, -5938.18, -9659.495, -6905.9736, -5074.635
877.7898, -5940.54, -9804.031, -6873.13, -5051.966
977.7898, -5947.3345, -9946.368, -6889.8374, -5031.4404
1077.7898, -5951.555, -10077.264, -6925.1113, -4979.669
