Time (s), esn 2 average surface potential (V), esn 2 ground potential (V), esn 2 min surface potential (V), esn 2 max surface potential (V)
10.004141, -167.09991, -143.83142, -167.52863, -166.73514
20.60349, -493.3668, -420.91638, -501.80176, -489.2753
31.736023, -903.67487, -768.74896, -906.92706, -900.4129
42.584393, -1245.2472, -1069.0306, -1246.2051, -1243.926
54.993843, -1664.3307, -1435.3507, -1665.7408, -1663.2576
65.314285, -2091.6636, -1825.176, -2092.5564, -2091.0806
75.379776, -2440.5754, -2132.828, -2441.8433, -2439.588
89.25104, -2780.6418, -2431.198, -2781.6594, -2779.4111
102.321465, -3066.332, -2677.408, -3067.2493, -3064.9966
112.98028, -3523.3135, -3084.0488, -3537.652, -3514.3838
126.77251, -3831.6707, -3346.791, -3842.7878, -3822.515
142.59341, -4136.684, -3607.8755, -4142.7134, -4132.69
169.59946, -4581.5474, -3990.133, -4588.848, -4575.6577
181.3832, -4884.952, -4256.0103, -4894.4146, -4878.768
193.43687, -5284.0854, -4631.43, -5290.706, -5280.201
212.64473, -5683.3247, -4991.506, -5685.36, -5680.2676
224.34773, -5896.4907, -5169.5923, -5904.606, -5891.3076
241.98785, -6180.741, -5419.9385, -6185.345, -6178.5796
260.51187, -6349.2812, -5558.99, -6358.5464, -6344.4297
271.9116, -6741.2695, -5936.7695, -6745.1143, -6737.908
283.54352, -6923.4663, -6101.457, -6929.642, -6921.111
298.2867, -7212.011, -6370.4023, -7218.7173, -7209.7188
309.19302, -7332.527, -6472.927, -7342.6406, -7328.1226
320.75186, -7524.0386, -6652.6157, -7532.5854, -7520.4126
332.57407, -7599.358, -6716.2476, -7610.989, -7595.229
347.3159, -7827.5566, -6925.836, -7837.189, -7823.5713
363.04065, -7929.8213, -7011.308, -7941.4395, -7921.0103
384.21808, -8236.297, -7305.0728, -8246.166, -8230.6045
399.2076, -8391.721, -7449.2656, -8405.122, -8383.108
415.37927, -8576.457, -7626.7793, -8590.015, -8566.702
430.5317, -8756.996, -7797.794, -8774.677, -8747.739
443.5159, -8944.735, -7979.714, -8958.698, -8936.061
457.58667, -9005.986, -8034.483, -9020.804, -8999.96
468.32144, -9139.469, -8165.78, -9152.332, -9133.965
479.4181, -9384.44, -8213.773, -9624.966, -9197.6045
493.498, -9550.202, -8374.356, -9668.482, -9389.73
508.62622, -9591.258, -8412.593, -9686.223, -9469.132
528.36865, -9780.857, -8596.466, -9845.679, -9712.771
542.2951, -9866.661, -8680.101, -9912.765, -9826.579
577.1393, -10002.679, -8823.254, -10021.01, -9986.109
606.07697, -10173.163, -8965.95, -10195.911, -10146.097
619.93677, -10268.6045, -9069.535, -10273.943, -10262.899
632.38696, -10397.955, -9206.624, -10403.697, -10393.998
645.91327, -10410.653, -9223.796, -10434.21, -10398.711
745.91327, -10553.902, -9424.904, -10603.603, -10522.085
766.0475, -10711.809, -9592.264, -10741.394, -10687.643
777.7898, -10769.315, -9659.495, -10800.025, -10743.033
877.7898, -10834.874, -9804.031, -10861.82, -10806.655
977.7898, -10876.445, -9946.368, -10919.102, -10855.049
1077.7898, -10894.463, -10077.264, -10963.843, -10801.082
