Energy (in eV), backscattering yield of material gr2k-NASCAP at incidence 30.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.018567305
70.0, 0.03153237
80.0, 0.042073738
90.0, 0.05101145
100.0, 0.058780055
110.0, 0.06565031
120.0, 0.07180571
130.0, 0.077377506
140.0, 0.082463294
150.0, 0.08713775
160.0, 0.09145944
170.0, 0.095475174
180.0, 0.09922295
190.0, 0.102734104
200.0, 0.10603478
210.0, 0.10914695
220.0, 0.112089396
230.0, 0.11487812
240.0, 0.11752707
250.0, 0.1200483
260.0, 0.12245239
270.0, 0.1247487
280.0, 0.12694544
290.0, 0.12904999
300.0, 0.13106887
310.0, 0.13300802
320.0, 0.13487269
330.0, 0.13666768
340.0, 0.13839738
350.0, 0.14006568
360.0, 0.14167623
370.0, 0.14323232
380.0, 0.14473692
390.0, 0.14619285
400.0, 0.1476027
410.0, 0.1489688
420.0, 0.15029335
430.0, 0.15157838
440.0, 0.15282574
450.0, 0.15403727
460.0, 0.15521449
470.0, 0.15635902
480.0, 0.15747225
490.0, 0.15855554
500.0, 0.15961011
510.0, 0.16063716
520.0, 0.16163777
530.0, 0.16261302
540.0, 0.16356386
550.0, 0.16449124
560.0, 0.16539603
570.0, 0.16627903
580.0, 0.1671411
590.0, 0.16798288
600.0, 0.16880514
610.0, 0.16960853
620.0, 0.1703937
630.0, 0.17116125
640.0, 0.17191173
650.0, 0.17264573
660.0, 0.17336375
670.0, 0.17406629
680.0, 0.17475381
690.0, 0.1754268
700.0, 0.17608567
710.0, 0.17673081
720.0, 0.17736268
730.0, 0.1779816
740.0, 0.17858802
750.0, 0.1791822
760.0, 0.17976451
770.0, 0.18033527
780.0, 0.18089484
790.0, 0.18144344
800.0, 0.1819814
810.0, 0.182509
820.0, 0.18302648
830.0, 0.1835341
840.0, 0.18403214
850.0, 0.1845208
860.0, 0.18500035
870.0, 0.18547094
880.0, 0.18593289
890.0, 0.1863863
900.0, 0.18683144
910.0, 0.18726847
920.0, 0.18769757
930.0, 0.18811895
940.0, 0.18853274
950.0, 0.18893917
960.0, 0.18933839
970.0, 0.18973051
980.0, 0.1901157
990.0, 0.19049415
1000.0, 0.19086595
1010.0, 0.19068292
1020.0, 0.1905002
1030.0, 0.19031782
