Energy (in eV), SEEE yield of material gr2k-NASCAP at incidence 90.0 degree
   X,       Y
2350.0, 1.8616497E-9
2360.0, 1.7766932E-9
2370.0, 1.6959486E-9
2380.0, 1.6191889E-9
2390.0, 1.5462049E-9
2400.0, 1.4767957E-9
2410.0, 1.4107714E-9
2420.0, 1.3479541E-9
2430.0, 1.2881757E-9
2440.0, 1.2312777E-9
2450.0, 1.1771104E-9
2460.0, 1.1255323E-9
2470.0, 1.07641E-9
2480.0, 1.029617E-9
2490.0, 9.850344E-10
2500.0, 9.425495E-10
2510.0, 9.020556E-10
2520.0, 8.634523E-10
2530.0, 8.2664414E-10
2540.0, 7.91541E-10
2550.0, 7.580579E-10
2560.0, 7.2611384E-10
2570.0, 6.956327E-10
2580.0, 6.665421E-10
2590.0, 6.387737E-10
2600.0, 6.122624E-10
2610.0, 5.8694694E-10
2620.0, 5.6276905E-10
2630.0, 5.3967314E-10
2640.0, 5.1760785E-10
2650.0, 4.965231E-10
2660.0, 4.763719E-10
2670.0, 4.571095E-10
2680.0, 4.3869366E-10
2690.0, 4.210843E-10
2700.0, 4.0424322E-10
2710.0, 3.8813425E-10
2720.0, 3.7272307E-10
2730.0, 3.5797695E-10
2740.0, 3.4386505E-10
2750.0, 3.3035785E-10
2760.0, 3.1742733E-10
2770.0, 3.0504704E-10
2780.0, 2.931916E-10
2790.0, 2.8183705E-10
2800.0, 2.709605E-10
2810.0, 2.6054023E-10
2820.0, 2.5055563E-10
2830.0, 2.4098698E-10
2840.0, 2.318156E-10
2850.0, 2.2302368E-10
2860.0, 2.1459423E-10
2870.0, 2.0651117E-10
2880.0, 1.9875894E-10
2890.0, 1.9132328E-10
2900.0, 1.8419005E-10
2910.0, 1.7734592E-10
2920.0, 1.7077834E-10
2930.0, 1.6447514E-10
2940.0, 1.5842493E-10
2950.0, 1.5261667E-10
2960.0, 1.4703995E-10
2970.0, 1.4168479E-10
2980.0, 1.365417E-10
2990.0, 1.3160159E-10
3000.0, 1.2685583E-10
