Energy (in eV), backscattering yield of material gr2k-NASCAP at incidence 40.0 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.029418359
70.0, 0.046997227
80.0, 0.06065496
90.0, 0.071922526
100.0, 0.08153048
110.0, 0.08990513
120.0, 0.09732249
130.0, 0.103973344
140.0, 0.10999584
150.0, 0.115493484
160.0, 0.12054596
170.0, 0.12521608
180.0, 0.12955415
190.0, 0.13360117
200.0, 0.13739105
210.0, 0.14095202
220.0, 0.14430802
230.0, 0.14747931
240.0, 0.15048343
250.0, 0.15333545
260.0, 0.15604854
270.0, 0.15863423
280.0, 0.16110268
290.0, 0.1634629
300.0, 0.1657229
310.0, 0.16788983
320.0, 0.16997012
330.0, 0.17196955
340.0, 0.17389336
350.0, 0.17574626
360.0, 0.1775326
370.0, 0.1792563
380.0, 0.18092093
390.0, 0.1825298
400.0, 0.18408601
410.0, 0.18559226
420.0, 0.18705119
430.0, 0.18846516
440.0, 0.18983638
450.0, 0.19116695
460.0, 0.1924587
470.0, 0.19371349
480.0, 0.19493297
490.0, 0.19611865
500.0, 0.19727203
510.0, 0.19839445
520.0, 0.1994872
530.0, 0.2005515
540.0, 0.20158844
550.0, 0.20259912
560.0, 0.20358457
570.0, 0.20454566
580.0, 0.2054834
590.0, 0.20639856
600.0, 0.20729198
610.0, 0.20816441
620.0, 0.20901658
630.0, 0.2098492
640.0, 0.21066289
650.0, 0.2114583
660.0, 0.21223602
670.0, 0.2129966
680.0, 0.2137406
690.0, 0.21446854
700.0, 0.21518089
710.0, 0.21587811
720.0, 0.2165607
730.0, 0.21722902
740.0, 0.21788359
750.0, 0.2185247
760.0, 0.21915276
770.0, 0.21976814
780.0, 0.22037122
790.0, 0.22096229
800.0, 0.22154167
810.0, 0.22210972
820.0, 0.2226667
830.0, 0.22321288
840.0, 0.22374858
850.0, 0.22427402
860.0, 0.22478952
870.0, 0.22529525
880.0, 0.22579151
890.0, 0.22627848
900.0, 0.22675645
910.0, 0.22722556
920.0, 0.22768606
930.0, 0.22813815
940.0, 0.22858196
950.0, 0.2290178
960.0, 0.22944577
970.0, 0.22986606
980.0, 0.2302788
990.0, 0.23068424
1000.0, 0.23108245
1010.0, 0.23088643
1020.0, 0.23069072
1030.0, 0.23049535
