Energy (in eV), backscattering yield of material ka2k-NASCAP at incidence 80.0 degree
   X,       Y
2720.0, 0.6850486
2730.0, 0.6849267
2740.0, 0.6848049
2750.0, 0.6846833
2760.0, 0.68456185
2770.0, 0.68444055
2780.0, 0.6843194
2790.0, 0.6841983
2800.0, 0.6840774
2810.0, 0.6839566
2820.0, 0.68383604
2830.0, 0.6837155
2840.0, 0.6835952
2850.0, 0.68347496
2860.0, 0.6833549
2870.0, 0.683235
2880.0, 0.6831152
2890.0, 0.68299556
2900.0, 0.68287605
2910.0, 0.68275666
2920.0, 0.68263745
2930.0, 0.68251836
2940.0, 0.6823994
2950.0, 0.6822806
2960.0, 0.6821619
2970.0, 0.68204343
2980.0, 0.681925
2990.0, 0.68180674
3000.0, 0.68168867
3010.0, 0.68157065
3020.0, 0.6814528
3030.0, 0.68133515
3040.0, 0.68121755
3050.0, 0.68110013
3060.0, 0.6809829
3070.0, 0.6808657
3080.0, 0.6807487
3090.0, 0.6806319
3100.0, 0.6805151
3110.0, 0.6803985
3120.0, 0.68028206
3130.0, 0.68016577
3140.0, 0.6800496
3150.0, 0.67993355
3160.0, 0.6798176
3170.0, 0.67970186
3180.0, 0.67958623
3190.0, 0.6794708
3200.0, 0.67935544
3210.0, 0.67924017
3220.0, 0.67912513
3230.0, 0.6790102
3240.0, 0.67889535
3250.0, 0.67878073
3260.0, 0.6786662
3270.0, 0.6785518
3280.0, 0.67843753
3290.0, 0.67832345
3300.0, 0.6782094
3310.0, 0.6780956
3320.0, 0.6779819
3330.0, 0.6778683
3340.0, 0.6777549
3350.0, 0.67764163
3360.0, 0.67752844
3370.0, 0.67741543
3380.0, 0.67730254
3390.0, 0.67718977
3400.0, 0.6770772
3410.0, 0.6769647
3420.0, 0.67685235
3430.0, 0.6767401
3440.0, 0.67662805
3450.0, 0.6765161
3460.0, 0.6764043
3470.0, 0.67629266
3480.0, 0.67618114
3490.0, 0.67606974
3500.0, 0.6759585
3510.0, 0.67584735
3520.0, 0.67573637
3530.0, 0.6756255
3540.0, 0.6755148
3550.0, 0.67540425
3560.0, 0.6752938
3570.0, 0.6751835
3580.0, 0.67507327
3590.0, 0.67496324
3600.0, 0.6748533
3610.0, 0.6747436
3620.0, 0.6746339
3630.0, 0.6745244
3640.0, 0.67441505
3650.0, 0.6743058
3660.0, 0.6741967
3670.0, 0.67408776
3680.0, 0.6739789
3690.0, 0.6738702
3700.0, 0.67376167
3710.0, 0.67365324
3720.0, 0.67354494
3730.0, 0.67343676
3740.0, 0.67332876
3750.0, 0.6732208
3760.0, 0.67311305
3770.0, 0.67300546
3780.0, 0.67289793
3790.0, 0.6727906
3800.0, 0.67268336
3810.0, 0.67257625
3820.0, 0.6724693
3830.0, 0.67236245
3840.0, 0.67225575
3850.0, 0.6721492
3860.0, 0.6720428
3870.0, 0.67193645
3880.0, 0.6718303
3890.0, 0.67172426
3900.0, 0.67161834
3910.0, 0.6715126
3920.0, 0.671407
3930.0, 0.6713014
3940.0, 0.67119604
3950.0, 0.67109084
3960.0, 0.6709857
3970.0, 0.67088073
3980.0, 0.6707759
3990.0, 0.67067116
4000.0, 0.6705666
4010.0, 0.67046213
4020.0, 0.6703578
4030.0, 0.67025363
4040.0, 0.67014956
4050.0, 0.6700457
4060.0, 0.66994184
4070.0, 0.6698382
4080.0, 0.66973466
4090.0, 0.66963124
4100.0, 0.669528
4110.0, 0.66942483
4120.0, 0.66932184
4130.0, 0.66921896
4140.0, 0.6691162
4150.0, 0.6690136
4160.0, 0.6689111
4170.0, 0.66880876
4180.0, 0.66870654
4190.0, 0.66860443
4200.0, 0.66850245
4210.0, 0.6684006
4220.0, 0.6682989
4230.0, 0.66819733
4240.0, 0.6680959
4250.0, 0.66799456
4260.0, 0.66789335
4270.0, 0.6677923
