Time (s), variation of the average surface potential of esn 7 (s-1.V)
10.004141, -19.978144
20.60349, -45.58887
31.736023, -38.457138
42.584393, -29.178535
54.993843, -31.820408
65.314285, -48.339054
75.379776, -14.811392
89.25104, -39.10694
102.321465, -19.683968
112.98028, -22.080845
126.77251, -25.761446
142.59341, -25.813927
169.59946, -16.878944
181.3832, -27.141178
193.43687, -40.58262
212.64473, -16.488487
224.34773, -10.239601
241.98785, -16.718224
260.51187, -9.611762
271.9116, -42.638287
283.54352, -18.998907
298.2867, -15.78272
309.19302, -6.0750456
320.75186, -16.9852
332.57407, -6.8979273
347.3159, -16.084745
363.04065, -10.388696
384.21808, -17.490763
399.2076, -6.822729
415.37927, -12.8024645
430.5317, -13.677462
443.5159, -13.262463
457.58667, -4.5062327
468.32144, -13.036999
479.4181, -4.8589406
493.498, -12.210252
508.62622, -3.1085165
528.36865, -11.510184
542.2951, -3.160861
577.1393, -4.4594765
606.07697, -4.8748646
619.93677, -9.907943
632.38696, -10.386804
645.91327, -3.136676
745.91327, -2.1905274
766.0475, -10.301085
777.7898, -4.2207685
877.7898, -1.2585156
977.7898, -1.1627246
1077.7898, -0.88572264
