Time (s), variation of the average surface potential of esn 6 (s-1.V)
10.004141, -25.513119
20.60349, -51.02666
31.736023, -43.74637
42.584393, -33.64613
54.993843, -36.67011
65.314285, -52.767677
75.379776, -19.685207
89.25104, -43.59566
102.321465, -22.865835
112.98028, -26.365713
126.77251, -29.958145
142.59341, -30.117392
169.59946, -20.92278
181.3832, -31.032057
193.43687, -44.00724
212.64473, -20.103163
224.34773, -13.652357
241.98785, -20.111727
260.51187, -13.190969
271.9116, -45.667416
283.54352, -21.904766
298.2867, -18.71906
309.19302, -8.953476
320.75186, -20.105955
332.57407, -9.658387
347.3159, -18.304861
363.04065, -9.320299
384.21808, -20.241886
399.2076, -9.077558
415.37927, -15.535592
430.5317, -14.088196
443.5159, -15.74415
457.58667, -7.0042744
468.32144, -14.796123
479.4181, -6.754483
493.498, -13.770823
508.62622, -4.7735786
528.36865, -13.802002
542.2951, -4.8056645
577.1393, -6.270442
606.07697, -6.431515
619.93677, -8.67292
632.38696, -11.79884
645.91327, -2.5071893
745.91327, -3.117871
766.0475, -11.685933
777.7898, -2.4904122
877.7898, -1.9405469
977.7898, -1.9807324
1077.7898, -1.7131054
