Energy (in eV), backscattering yield of material gr2k-NASCAP at incidence 50.000004 degree
   X,       Y
0.0, 0.0
10.0, 0.0
20.0, 0.0
30.0, 0.0
40.0, 0.0
50.0, 0.0
60.0, 0.051882196
70.0, 0.076866366
80.0, 0.09521462
90.0, 0.109848924
100.0, 0.12203631
110.0, 0.13247105
120.0, 0.14158267
130.0, 0.1496579
140.0, 0.15689866
150.0, 0.1634528
160.0, 0.16943206
170.0, 0.17492302
180.0, 0.17999409
190.0, 0.18470037
200.0, 0.18908682
210.0, 0.19319063
220.0, 0.19704297
230.0, 0.20067008
240.0, 0.2040944
250.0, 0.20733519
260.0, 0.2104091
270.0, 0.2133307
280.0, 0.21611267
290.0, 0.21876629
300.0, 0.22130142
310.0, 0.22372694
320.0, 0.22605076
330.0, 0.22827992
340.0, 0.23042086
350.0, 0.23247927
360.0, 0.23446043
370.0, 0.2363691
380.0, 0.23820955
390.0, 0.23998576
400.0, 0.24170144
410.0, 0.24335982
420.0, 0.24496403
430.0, 0.24651691
440.0, 0.24802102
450.0, 0.24947889
460.0, 0.25089264
470.0, 0.2522645
480.0, 0.25359637
490.0, 0.25489005
500.0, 0.2561473
510.0, 0.25736964
520.0, 0.2585586
530.0, 0.25971562
540.0, 0.2608419
550.0, 0.2619388
560.0, 0.26300746
570.0, 0.26404893
580.0, 0.2650643
590.0, 0.2660545
600.0, 0.26702052
610.0, 0.2679632
620.0, 0.26888338
630.0, 0.26978183
640.0, 0.27065933
650.0, 0.27151656
660.0, 0.27235425
670.0, 0.273173
680.0, 0.27397344
690.0, 0.27475616
700.0, 0.27552173
710.0, 0.27627063
720.0, 0.27700344
730.0, 0.27772057
740.0, 0.2784226
750.0, 0.27910984
760.0, 0.2797828
770.0, 0.28044188
780.0, 0.2810875
790.0, 0.28171998
800.0, 0.2823397
810.0, 0.282947
820.0, 0.28354225
830.0, 0.28412575
840.0, 0.2846978
850.0, 0.2852587
860.0, 0.28580877
870.0, 0.28634822
880.0, 0.2868774
890.0, 0.28739646
900.0, 0.28790578
910.0, 0.28840548
920.0, 0.28889582
930.0, 0.28937706
940.0, 0.28984937
950.0, 0.29031304
960.0, 0.29076818
970.0, 0.29121503
980.0, 0.29165375
990.0, 0.29208454
1000.0, 0.2925076
1010.0, 0.29229936
1020.0, 0.29209143
1030.0, 0.29188386
