Time (s), variation of the average surface potential of esn 0 (s-1.V)
10.004141, -14.707475
20.60349, -40.446697
31.736023, -34.79987
42.584393, -26.916058
54.993843, -27.394194
65.314285, -44.12945
75.379776, -10.725966
89.25104, -35.13045
102.321465, -17.944862
112.98028, -19.60101
126.77251, -22.630169
142.59341, -21.148144
169.59946, -12.64887
181.3832, -25.72383
193.43687, -39.595295
212.64473, -13.398677
224.34773, -7.5320024
241.98785, -12.782634
260.51187, -7.259504
271.9116, -42.116882
283.54352, -17.428482
298.2867, -13.365918
309.19302, -6.879348
320.75186, -13.41308
332.57407, -5.8588934
347.3159, -12.847214
363.04065, -5.570741
384.21808, -16.403639
399.2076, -10.480262
415.37927, -10.215141
430.5317, -10.981554
443.5159, -11.60254
457.58667, -5.3357787
468.32144, -11.347378
479.4181, -4.683546
493.498, -9.978705
508.62622, -3.7313173
528.36865, -10.24551
542.2951, -3.0310636
577.1393, -3.831401
606.07697, -4.0295005
619.93677, -5.079531
632.38696, -13.085062
645.91327, 1.3037355
745.91327, -0.9671875
766.0475, -12.221839
777.7898, -0.48277986
877.7898, -0.8041699
977.7898, -0.7013184
1077.7898, -1.4488965
