Energy (in eV), backscattering yield of material osr2k-NASCAP at incidence 40.0 degree
   X,       Y
2710.0, 0.25207874
2720.0, 0.25194314
2730.0, 0.2518078
2740.0, 0.2516727
2750.0, 0.25153783
2760.0, 0.2514032
2770.0, 0.25126886
2780.0, 0.25113475
2790.0, 0.25100085
2800.0, 0.25086725
2810.0, 0.25073385
2820.0, 0.25060073
2830.0, 0.25046784
2840.0, 0.2503352
2850.0, 0.25020278
2860.0, 0.25007063
2870.0, 0.2499387
2880.0, 0.24980703
2890.0, 0.24967559
2900.0, 0.2495444
2910.0, 0.24941345
2920.0, 0.24928273
2930.0, 0.24915227
2940.0, 0.24902204
2950.0, 0.24889204
2960.0, 0.24876231
2970.0, 0.24863279
2980.0, 0.2485035
2990.0, 0.24837448
3000.0, 0.24824567
3010.0, 0.24811712
3020.0, 0.24798879
3030.0, 0.24786068
3040.0, 0.24773285
3050.0, 0.24760522
3060.0, 0.24747783
3070.0, 0.24735068
3080.0, 0.24722376
3090.0, 0.24709709
3100.0, 0.24697064
3110.0, 0.24684443
3120.0, 0.24671844
3130.0, 0.24659269
3140.0, 0.24646717
3150.0, 0.24634188
3160.0, 0.24621683
3170.0, 0.246092
3180.0, 0.2459674
3190.0, 0.24584305
3200.0, 0.2457189
3210.0, 0.245595
3220.0, 0.24547131
3230.0, 0.24534786
3240.0, 0.24522464
3250.0, 0.24510165
3260.0, 0.24497887
3270.0, 0.24485633
3280.0, 0.24473402
3290.0, 0.24461192
3300.0, 0.24449006
3310.0, 0.24436842
3320.0, 0.244247
3330.0, 0.24412583
3340.0, 0.24400485
3350.0, 0.2438841
3360.0, 0.24376358
3370.0, 0.24364328
3380.0, 0.24352321
3390.0, 0.24340335
3400.0, 0.24328372
3410.0, 0.2431643
3420.0, 0.24304512
3430.0, 0.24292615
3440.0, 0.2428074
3450.0, 0.24268886
3460.0, 0.24257053
3470.0, 0.24245246
3480.0, 0.24233457
3490.0, 0.24221693
3500.0, 0.24209948
3510.0, 0.24198227
3520.0, 0.24186526
3530.0, 0.24174847
3540.0, 0.2416319
3550.0, 0.24151553
3560.0, 0.2413994
3570.0, 0.24128348
3580.0, 0.24116775
3590.0, 0.24105226
3600.0, 0.24093698
3610.0, 0.24082191
3620.0, 0.24070705
3630.0, 0.2405924
3640.0, 0.24047798
3650.0, 0.24036376
3660.0, 0.24024977
3670.0, 0.24013597
3680.0, 0.24002238
3690.0, 0.239909
3700.0, 0.23979583
3710.0, 0.23968288
3720.0, 0.23957013
3730.0, 0.23945759
3740.0, 0.23934527
3750.0, 0.23923315
3760.0, 0.23912123
3770.0, 0.23900953
3780.0, 0.23889804
3790.0, 0.23878676
3800.0, 0.23867567
3810.0, 0.23856479
3820.0, 0.23845412
3830.0, 0.23834367
3840.0, 0.2382334
3850.0, 0.23812334
3860.0, 0.2380135
3870.0, 0.23790385
3880.0, 0.2377944
3890.0, 0.23768516
3900.0, 0.23757613
3910.0, 0.23746729
3920.0, 0.23735866
3930.0, 0.23725024
3940.0, 0.237142
3950.0, 0.23703398
3960.0, 0.23692614
3970.0, 0.23681852
3980.0, 0.2367111
3990.0, 0.23660387
4000.0, 0.23649684
4010.0, 0.23639002
4020.0, 0.23628339
4030.0, 0.23617695
4040.0, 0.23607072
4050.0, 0.2359647
4060.0, 0.23585886
4070.0, 0.23575322
4080.0, 0.23564777
4090.0, 0.23554254
4100.0, 0.23543748
4110.0, 0.23533262
4120.0, 0.23522796
4130.0, 0.2351235
4140.0, 0.23501922
4150.0, 0.23491515
4160.0, 0.23481126
4170.0, 0.23470756
