Energy (in eV), SEEP yield of material osr2k-NASCAP at isotropic incidence
   X,       Y
54000.0, 4.8456454
54200.0, 4.849653
54400.0, 4.8536353
54600.0, 4.857594
54800.0, 4.8615274
55000.0, 4.865436
55200.0, 4.869322
55400.0, 4.873182
55600.0, 4.8770194
55800.0, 4.8808336
56000.0, 4.8846226
56200.0, 4.8883905
56400.0, 4.892133
56600.0, 4.8958535
56800.0, 4.899551
57000.0, 4.9032254
57200.0, 4.906878
57400.0, 4.910508
57600.0, 4.9141145
57800.0, 4.9177003
58000.0, 4.921263
58200.0, 4.924804
58400.0, 4.9283237
58600.0, 4.931822
58800.0, 4.935298
59000.0, 4.9387536
59200.0, 4.942188
59400.0, 4.945601
59600.0, 4.9489927
59800.0, 4.952364
60000.0, 4.9557147
60200.0, 4.9590445
60400.0, 4.9623547
60600.0, 4.965644
60800.0, 4.968913
61000.0, 4.9721627
61200.0, 4.9753923
61400.0, 4.9786024
61600.0, 4.981792
61800.0, 4.984963
62000.0, 4.9881144
62200.0, 4.9912457
62400.0, 4.994359
62600.0, 4.9974527
62800.0, 5.0005283
63000.0, 5.003584
63200.0, 5.006622
63400.0, 5.00964
63600.0, 5.0126405
63800.0, 5.015623
64000.0, 5.018586
64200.0, 5.021532
64400.0, 5.0244603
64600.0, 5.0273705
64800.0, 5.030263
65000.0, 5.0331373
65200.0, 5.035994
65400.0, 5.0388336
65600.0, 5.041656
65800.0, 5.044461
66000.0, 5.047249
66200.0, 5.0500197
66400.0, 5.052773
66600.0, 5.0555096
66800.0, 5.0582304
67000.0, 5.060934
67200.0, 5.06362
67400.0, 5.0662913
67600.0, 5.068947
67800.0, 5.0715847
68000.0, 5.074206
68200.0, 5.076812
68400.0, 5.0794015
68600.0, 5.081976
68800.0, 5.0845337
69000.0, 5.0870767
69200.0, 5.0896034
69400.0, 5.0921154
69600.0, 5.094611
69800.0, 5.097091
70000.0, 5.0995574
70200.0, 5.102008
70400.0, 5.104443
70600.0, 5.106863
70800.0, 5.1092687
71000.0, 5.11166
71200.0, 5.1140356
71400.0, 5.1163974
71600.0, 5.1187444
71800.0, 5.121077
72000.0, 5.1233945
72200.0, 5.1256986
72400.0, 5.127988
72600.0, 5.1302633
72800.0, 5.132525
73000.0, 5.134772
73200.0, 5.137006
73400.0, 5.139225
73600.0, 5.141431
73800.0, 5.143624
74000.0, 5.1458025
74200.0, 5.147968
74400.0, 5.1501193
74600.0, 5.1522574
74800.0, 5.1543837
75000.0, 5.156495
75200.0, 5.158595
75400.0, 5.1606803
75600.0, 5.162753
75800.0, 5.164813
76000.0, 5.16686
76200.0, 5.1688943
76400.0, 5.170916
76600.0, 5.1729255
76800.0, 5.1749215
77000.0, 5.1769056
77200.0, 5.1788774
77400.0, 5.180836
77600.0, 5.1827836
77800.0, 5.184718
78000.0, 5.1866407
78200.0, 5.188551
78400.0, 5.190449
78600.0, 5.192336
78800.0, 5.19421
79000.0, 5.1960735
79200.0, 5.197924
79400.0, 5.1997647
79600.0, 5.201592
79800.0, 5.203408
80000.0, 5.205212
80200.0, 5.207006
80400.0, 5.208788
80600.0, 5.210558
80800.0, 5.2123175
81000.0, 5.214066
81200.0, 5.2158036
81400.0, 5.217529
81600.0, 5.2192435
81800.0, 5.2209477
82000.0, 5.22264
82200.0, 5.224323
82400.0, 5.225994
82600.0, 5.227654
82800.0, 5.229305
83000.0, 5.2309437
83200.0, 5.2325726
83400.0, 5.2341914
83600.0, 5.2357993
83800.0, 5.2373967
84000.0, 5.2389836
84200.0, 5.240561
84400.0, 5.2421265
84600.0, 5.2436833
84800.0, 5.2452307
85000.0, 5.2467666
85200.0, 5.2482924
85400.0, 5.2498083
85600.0, 5.2513156
85800.0, 5.252812
86000.0, 5.254298
86200.0, 5.2557755
86400.0, 5.257242
86600.0, 5.258701
86800.0, 5.260148
87000.0, 5.2615857
87200.0, 5.263015
87400.0, 5.2644343
87600.0, 5.2658453
87800.0, 5.267245
88000.0, 5.268638
88200.0, 5.2700195
88400.0, 5.271391
88600.0, 5.272756
88800.0, 5.2741103
89000.0, 5.275456
89200.0, 5.2767925
89400.0, 5.278119
89600.0, 5.279438
89800.0, 5.280748
90000.0, 5.282048
90200.0, 5.283341
90400.0, 5.2846236
90600.0, 5.285899
90800.0, 5.2871637
91000.0, 5.288421
91200.0, 5.28967
91400.0, 5.2909102
91600.0, 5.2921424
91800.0, 5.293365
92000.0, 5.29458
92200.0, 5.295786
92400.0, 5.296984
92600.0, 5.298174
92800.0, 5.299355
93000.0, 5.3005285
93200.0, 5.301694
93400.0, 5.302851
93600.0, 5.303999
93800.0, 5.3051405
94000.0, 5.306273
94200.0, 5.307399
94400.0, 5.308516
94600.0, 5.309624
94800.0, 5.3107266
95000.0, 5.311819
95200.0, 5.312906
95400.0, 5.3139834
95600.0, 5.3150535
95800.0, 5.3161163
96000.0, 5.3171706
96200.0, 5.3182187
96400.0, 5.319258
96600.0, 5.320291
96800.0, 5.3213153
97000.0, 5.322334
97200.0, 5.3233433
97400.0, 5.324346
97600.0, 5.325341
97800.0, 5.32633
98000.0, 5.3273115
98200.0, 5.328285
98400.0, 5.3292503
98600.0, 5.3302107
98800.0, 5.3311625
99000.0, 5.332108
99200.0, 5.333047
99400.0, 5.3339777
99600.0, 5.3349023
99800.0, 5.3358183
100000.0, 5.3367295
