Energy (in eV), SEEP yield of material osr2k-NASCAP at incidence 90.0 degree
   X,       Y
0.0, 0.0
200.0, 2.7905061
400.0, 6.3052
600.0, 8.675188
800.0, 12.225906
1000.0, 14.890462
1200.0, 17.645964
1400.0, 20.496923
1600.0, 23.444126
1800.0, 26.48659
2000.0, 29.622496
2200.0, 32.849617
2400.0, 36.165565
2600.0, 39.567913
2800.0, 41.004063
3000.0, 44.50307
3200.0, 48.084007
3400.0, 51.744495
3600.0, 53.170486
3800.0, 56.923325
4000.0, 60.75101
4200.0, 62.164936
4400.0, 66.0813
4600.0, 70.068115
4800.0, 71.47627
5000.0, 75.54767
5200.0, 76.93768
5400.0, 81.09173
5600.0, 85.30999
5800.0, 86.70093
6000.0, 90.99772
6200.0, 92.375374
6400.0, 96.74865
6600.0, 98.11469
6800.0, 102.562454
7000.0, 103.91821
7200.0, 108.43848
7400.0, 109.78509
7600.0, 114.3759
7800.0, 115.71428
8000.0, 120.373764
8200.0, 121.70469
8400.0, 126.43098
8600.0, 127.75509
8800.0, 132.54642
9000.0, 133.86426
9200.0, 138.71895
9400.0, 140.03093
9600.0, 144.94728
9800.0, 146.25385
10000.0, 151.23024
10200.0, 152.53168
10400.0, 157.5666
10600.0, 158.86319
10800.0, 163.95514
11000.0, 165.2471
11200.0, 166.52203
11400.0, 171.68219
11600.0, 172.95317
11800.0, 178.16724
12000.0, 179.43436
12200.0, 184.70096
12400.0, 185.96437
12600.0, 187.21242
12800.0, 192.54204
13000.0, 193.78679
13200.0, 199.16614
13400.0, 200.40764
13600.0, 205.83553
13800.0, 207.0739
14000.0, 208.29814
14200.0, 213.78435
14400.0, 215.0057
14600.0, 220.53786
14800.0, 221.7564
15000.0, 227.33348
15200.0, 228.54907
15400.0, 229.75172
15600.0, 235.38275
15800.0, 236.58273
16000.0, 242.25636
16200.0, 243.45364
16400.0, 244.6386
16600.0, 250.3635
16800.0, 251.54594
17000.0, 257.3113
17200.0, 258.4912
17400.0, 259.65933
17600.0, 265.4734
17800.0, 266.63916
18000.0, 272.49167
18200.0, 273.65494
18400.0, 274.80698
18600.0, 280.70578
18800.0, 281.85547
19000.0, 282.99432
19200.0, 288.93814
19400.0, 290.0747
19600.0, 296.05408
19800.0, 297.1883
20000.0, 298.31213
20200.0, 304.3343
20400.0, 305.45584
20600.0, 311.5119
