Energy (in eV), SEEE yield of material sc2k-NASCAP at isotropic incidence
   X,       Y
2810.0, 6.4579196
2820.0, 6.4466577
2830.0, 6.4354224
2840.0, 6.424214
2850.0, 6.4130306
2860.0, 6.4018745
2870.0, 6.3907456
2880.0, 6.3796434
2890.0, 6.368568
2900.0, 6.3575206
2910.0, 6.3465004
2920.0, 6.3355083
2930.0, 6.324543
2940.0, 6.3136067
2950.0, 6.302698
2960.0, 6.29182
2970.0, 6.2809677
2980.0, 6.2701435
2990.0, 6.2593484
3000.0, 6.2485833
3010.0, 6.237846
3020.0, 6.2271376
3030.0, 6.216458
3040.0, 6.2058067
3050.0, 6.1951866
3060.0, 6.184594
3070.0, 6.1740303
3080.0, 6.1634965
3090.0, 6.152992
3100.0, 6.1425166
3110.0, 6.13207
3120.0, 6.1216545
3130.0, 6.111267
3140.0, 6.10091
3150.0, 6.090582
3160.0, 6.080283
3170.0, 6.0700135
3180.0, 6.059775
3190.0, 6.049565
3200.0, 6.039384
3210.0, 6.029233
3220.0, 6.0191116
3230.0, 6.009021
3240.0, 5.9989586
3250.0, 5.9889264
3260.0, 5.978923
3270.0, 5.9689484
3280.0, 5.959005
3290.0, 5.9490905
3300.0, 5.9392047
3310.0, 5.92935
3320.0, 5.919523
3330.0, 5.9097257
3340.0, 5.8999596
3350.0, 5.89022
3360.0, 5.880512
3370.0, 5.8708305
3380.0, 5.861181
3390.0, 5.8515587
3400.0, 5.841967
3410.0, 5.832404
3420.0, 5.822869
3430.0, 5.8133636
3440.0, 5.8038864
3450.0, 5.7944384
3460.0, 5.7850194
3470.0, 5.7756305
3480.0, 5.7662683
3490.0, 5.756936
3500.0, 5.747631
3510.0, 5.7383556
3520.0, 5.729108
3530.0, 5.719889
3540.0, 5.7106977
3550.0, 5.701536
3560.0, 5.692401
3570.0, 5.683295
3580.0, 5.6742167
3590.0, 5.665167
3600.0, 5.656144
3610.0, 5.6471486
3620.0, 5.638182
3630.0, 5.629243
3640.0, 5.6203313
3650.0, 5.6114473
3660.0, 5.60259
3670.0, 5.5937614
3680.0, 5.5849595
3690.0, 5.5761847
3700.0, 5.567437
3710.0, 5.5587163
3720.0, 5.5500226
3730.0, 5.541356
3740.0, 5.5327163
3750.0, 5.524103
3760.0, 5.5155163
3770.0, 5.5069566
3780.0, 5.498423
3790.0, 5.489916
3800.0, 5.4814353
3810.0, 5.4729805
3820.0, 5.4645524
3830.0, 5.456149
3840.0, 5.447774
3850.0, 5.4394236
3860.0, 5.431099
3870.0, 5.422799
3880.0, 5.414527
3890.0, 5.406279
3900.0, 5.398057
3910.0, 5.3898597
3920.0, 5.381688
3930.0, 5.373543
3940.0, 5.365421
3950.0, 5.357324
3960.0, 5.3492537
3970.0, 5.341207
3980.0, 5.333185
3990.0, 5.3251886
4000.0, 5.317216
4010.0, 5.3092685
4020.0, 5.301345
4030.0, 5.2934465
4040.0, 5.285571
4050.0, 5.277721
4060.0, 5.269894
4070.0, 5.262092
4080.0, 5.254313
4090.0, 5.2465577
4100.0, 5.2388268
4110.0, 5.23112
4120.0, 5.223437
4130.0, 5.215776
4140.0, 5.208139
4150.0, 5.200525
4160.0, 5.1929336
4170.0, 5.1853676
4180.0, 5.1778226
4190.0, 5.1703014
4200.0, 5.162803
4210.0, 5.1553273
4220.0, 5.1478744
4230.0, 5.1404443
4240.0, 5.133036
4250.0, 5.125651
4260.0, 5.1182866
4270.0, 5.1109467
4280.0, 5.103627
4290.0, 5.0963316
4300.0, 5.089057
4310.0, 5.0818048
4320.0, 5.0745735
4330.0, 5.0673647
4340.0, 5.060177
4350.0, 5.0530114
4360.0, 5.045867
4370.0, 5.0387444
4380.0, 5.031643
4390.0, 5.024563
