Energy (in eV), SEEE yield of material te2k-NASCAP at incidence 90.0 degree
   X,       Y
2760.0, 1.5713161
2770.0, 1.567036
2780.0, 1.5627825
2790.0, 1.5585552
2800.0, 1.5543542
2810.0, 1.550179
2820.0, 1.5460294
2830.0, 1.5419048
2840.0, 1.5378057
2850.0, 1.5337313
2860.0, 1.5296816
2870.0, 1.5256561
2880.0, 1.5216548
2890.0, 1.5176775
2900.0, 1.5137241
2910.0, 1.509794
2920.0, 1.5058872
2930.0, 1.5020034
2940.0, 1.4981426
2950.0, 1.4943044
2960.0, 1.4904885
2970.0, 1.486695
2980.0, 1.4829235
2990.0, 1.4791738
3000.0, 1.4754456
